	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	11.91980	1.50999	30.44893	2.18792	1.42207	4.48613	-3.55925	2.49231	11.95585	1.24631	27.80608	3.28213	0.46554	6.17454	-0.03643	1.82261	11.87066	27.59338	2.66878	-5.58268	13.51340	22.93776	-9.54559	-3.56361	13.18824	11.58407	30.59015	28.70826	-0.69178	-0.15136	-2.05053	-1.84379	11.95852	24.11713	-2.46681	-1.79192	10.66959	28.28210	-1.62142	-1.08533	12.02229	28.20645	4.02605	1.67039	11.28069	11.09819	31.55053	30.43909	1.47397	3.41296	-3.36134	-2.31218	10.16479	29.15838	7.07171	0.55811	11.35075	10.17257	29.46391	28.17179	4.89418	-4.40524	-0.59639	-5.33741	12.67917	34.54753	11.19188	2.92243	10.08837	29.77524	4.34081	-2.73170	11.50336	27.09929	-1.01330	0.52649	14.64829	15.61515	36.16672	30.99112	12.76414	-3.49089	0.72031	-6.42494	14.56943	28.14984	-3.59142	0.20818	11.98680	31.70903	0.64736	-4.72324	10.89843	26.26346	-2.26851	-1.45342	12.71237	30.77009	-1.39753	-8.02475	10.98620	28.56662	1.11560	0.52977	11.96379	11.71815	29.03902	30.12068	-0.52939	-2.98881	-2.72535	-7.43078	11.47276	31.46576	6.40222	-1.22165	10.76907	33.81180	7.82732	-3.43785	11.74601	25.35464	-5.80084	1.21451
2	11.81482	1.50990	30.25129	2.24033	2.11185	4.26155	-4.02646	2.53959	11.89540	1.18403	27.73828	3.09847	1.38317	5.64391	-0.60379	1.74904	11.70761	27.21302	3.78807	-5.80809	13.39030	22.93815	-8.05999	-3.89215	13.12340	11.47734	30.40837	28.41916	0.29004	0.29584	-1.99958	-2.59871	11.98693	24.16583	-1.41878	-2.38632	10.41604	28.03629	-1.52254	-1.16983	11.89369	28.10295	4.76323	0.88872	11.32185	11.03353	31.41594	30.21237	2.00400	4.08160	-4.05789	-2.75991	10.20511	29.03739	7.71571	0.00151	11.29814	9.94212	29.07566	27.85386	4.76696	-3.60486	-1.16043	-5.86953	12.49348	33.80123	10.61389	2.47041	9.93153	29.33846	4.63396	-3.36867	11.47425	27.28744	0.47616	0.06364	14.45154	15.51690	35.85126	30.99076	12.90812	-2.18051	0.44314	-6.95146	14.43192	28.31858	-2.16788	-0.45455	12.00764	32.08601	2.31863	-4.93445	10.90305	26.30942	-1.59793	-1.84056	12.48513	30.59295	-0.42758	-8.34467	11.11320	28.83448	2.18567	-0.16608	11.88001	11.65665	28.90044	30.03059	-0.21552	-1.67084	-3.60764	-8.20170	11.42248	31.11898	6.91187	-1.74940	10.78772	33.59551	8.32421	-4.03398	11.53500	25.20662	-4.20708	0.42308
3	11.71483	1.51440	30.07420	2.32636	3.11636	4.06189	-4.52785	2.60864	11.83485	1.11995	27.72378	2.97753	2.59347	5.26792	-1.26910	1.68109	11.54759	26.68467	4.63764	-6.05105	13.24623	22.84346	-6.64249	-4.31626	13.05721	11.43291	30.11263	28.21002	1.30338	1.09592	-2.02932	-3.54145	12.00344	24.21214	-0.31643	-3.01561	10.19375	27.84225	-0.89794	-1.28469	11.76844	28.09179	5.88948	0.05014	11.36425	10.96361	31.29994	30.00194	2.88673	5.10427	-4.84570	-3.26191	10.24766	28.91897	8.54657	-0.64867	11.23943	9.68873	28.69005	27.58489	5.00985	-2.45097	-1.73720	-6.54629	12.29728	33.13294	10.63461	1.91973	9.80087	28.94858	5.33163	-4.04548	11.47177	27.58998	2.29547	-0.42028	14.26053	15.43067	35.59123	31.09865	13.40189	-0.45133	0.24396	-7.38820	14.28196	28.51810	-0.43473	-1.25021	12.04543	32.51409	4.36860	-5.10210	10.90445	26.44543	-0.41844	-2.34899	12.24043	30.44488	0.89923	-8.70240	11.26983	29.15037	3.48910	-0.99459	11.78943	11.55785	28.82803	29.91618	0.57045	-0.09622	-4.61142	-8.94403	11.38005	30.96006	7.91931	-2.35934	10.82452	33.41922	9.14861	-4.59830	11.31220	25.09830	-2.43432	-0.57605
4	11.61615	1.52493	29.90299	2.44282	4.33470	3.89714	-4.99755	2.66713	11.77082	1.06009	27.74496	2.92285	3.99978	5.04931	-1.93916	1.62915	11.40444	26.04127	5.26297	-6.22111	13.09080	22.66683	-5.33203	-4.73768	12.99189	11.43954	29.68313	28.05570	2.23251	2.10847	-2.18189	-4.54879	12.00945	24.26422	0.82227	-3.57182	9.99621	27.65533	0.09764	-1.48766	11.64607	28.15695	7.28184	-0.75985	11.39179	10.88299	31.18363	29.79651	4.01724	6.36057	-5.64626	-3.73701	10.29052	28.78359	9.47509	-1.29969	11.18055	9.41049	28.31720	27.37970	5.55734	-1.00995	-2.28337	-7.27132	12.08862	32.60039	11.26060	1.38115	9.68980	28.59165	6.31116	-4.67561	11.48647	27.95488	4.27998	-0.87200	14.08097	15.34670	35.37021	31.29108	14.17836	1.58713	0.12405	-7.60963	14.11760	28.69790	1.42789	-2.10298	12.09205	32.93723	6.61710	-5.19906	10.89937	26.64325	1.14323	-2.92967	11.97264	30.30783	2.48227	-8.99761	11.43890	29.43427	4.88860	-1.87579	11.68605	11.41313	28.79870	29.75865	1.73772	1.62499	-5.62462	-9.53798	11.33580	30.95907	9.29342	-2.92741	10.87916	33.28001	10.18962	-5.06284	11.07540	25.03317	-0.54333	-1.63506
5	11.51418	1.54271	29.72602	2.57664	5.67292	3.77142	-5.35167	2.66980	11.70005	1.01128	27.78337	2.91830	5.51136	4.96476	-2.49636	1.60795	11.29027	25.33964	5.75355	-6.22597	12.93698	22.44284	-4.12977	-5.04917	12.93017	11.47593	29.12300	27.93147	2.98801	3.23091	-2.49045	-5.41654	12.00673	24.33581	1.99774	-3.95027	9.81870	27.43614	1.29171	-1.84672	11.52736	28.27380	8.80065	-1.44044	11.38867	10.78698	31.05359	29.59101	5.30353	7.74331	-6.34575	-4.08098	10.33094	28.61065	10.41871	-1.84889	11.12441	9.10763	27.96515	27.25813	6.32940	0.67992	-2.74403	-7.90278	11.86298	32.24422	12.45488	1.00214	9.59024	28.25763	7.45127	-5.14466	11.50877	28.32350	6.27014	-1.22982	13.91513	15.25453	35.14556	31.53595	15.09369	3.81972	0.06447	-7.52733	13.93872	28.81833	3.27810	-2.89709	12.13897	33.30663	8.90957	-5.15964	10.88324	26.87736	2.95728	-3.47211	11.67452	30.16085	4.22884	-9.11071	11.60310	29.62645	6.28336	-2.68873	11.56216	11.21825	28.79491	29.55026	3.19450	3.41489	-6.48512	-9.84656	11.27920	31.05113	10.86854	-3.32892	10.95025	33.16632	11.33386	-5.36393	10.82249	25.01298	1.42532	-2.55668
6	11.40584	1.56834	29.53103	2.70858	7.04636	3.68412	-5.52101	2.58092	11.62126	0.98017	27.81597	2.93432	7.03845	4.97599	-2.84088	1.62620	11.21451	24.64502	6.20236	-6.01417	12.80073	22.21217	-3.02846	-5.18171	12.87378	11.51573	28.46350	27.80817	3.53673	4.39450	-2.95609	-5.95120	11.99665	24.43204	3.20151	-4.08873	9.65966	27.15171	2.51618	-2.41585	11.41519	28.40603	10.31167	-1.90459	11.34338	10.67431	30.89693	29.37557	6.66644	9.15575	-6.83002	-4.21360	10.36617	28.37912	11.30674	-2.21347	11.07216	8.78703	27.64026	27.23035	7.24413	2.57696	-3.06846	-8.30163	11.61523	32.06327	14.11326	0.90380	9.49525	27.93131	8.63737	-5.35994	11.53247	28.63689	8.12107	-1.44993	13.76369	15.14786	34.86011	31.78323	15.98142	6.10924	0.04882	-7.12368	13.74924	28.85243	5.01658	-3.51075	12.17937	33.58187	11.12490	-4.92361	10.85112	27.12788	4.90157	-3.83018	11.33990	29.97644	6.05000	-8.95292	11.74908	29.69720	7.61076	-3.30497	11.41145	10.97640	28.80290	29.29373	4.85347	5.22405	-7.03397	-9.77003	11.20305	31.13714	12.45057	-3.49387	11.03896	33.05544	12.46821	-5.46983	10.55494	25.03153	3.41766	-3.17523
