	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	-4.12174	1.55500	-1.80309	1.76840	-0.59635	0.84674	-24.78351	3.01366	2.74036	1.21381	-5.09835	2.31255	0.64686	0.93967	-20.38321	4.35053	-3.00307	-4.27179	0.31423	-26.00459	2.54303	-5.20227	-0.18689	-23.50502	-4.18036	-4.59178	-1.48818	-1.77324	0.91078	-1.05407	-30.37437	-25.61658	3.92119	-5.48682	1.54638	-24.48419	-2.47405	0.05538	-0.38699	-20.91597	1.96640	-8.47609	1.61843	-21.49796	-5.99120	-2.75763	-2.11860	-0.06697	-1.17245	-0.30157	-22.51947	-23.75612	0.40900	-2.79534	0.60989	-18.64850	-2.93544	-3.71844	1.11601	-1.63067	0.11134	-1.86667	-25.80843	-24.37004	2.41288	-2.77558	2.48990	-13.63022	-6.19070	-3.83251	-1.08103	-25.32703	2.58324	-4.96444	0.10050	-16.70519	-6.71280	-4.48325	-3.70044	0.04400	0.80149	-1.89097	-29.48120	-18.82070	4.44007	-2.34081	-0.20731	-16.58542	-3.70453	-0.84107	-0.62644	-25.96006	3.45141	-3.87321	0.22736	-23.90456	-2.57237	-3.03980	-1.06367	-20.65662	2.12096	-6.71768	0.40140	-26.89046	-1.65141	-6.38638	0.24197	-3.57579	-1.30701	-0.81297	-26.02057	-26.36595	1.91836	-9.38685	1.09949	-15.48923	-4.59449	-3.96776	-0.11554	-24.53858	4.37738	-4.06279	-0.58365	-22.87452
2	-4.11233	1.54358	-1.67254	1.75343	-0.61362	0.75839	-24.23571	2.92063	2.72015	1.17291	-5.03139	2.34528	0.74693	0.86715	-20.60289	4.11456	-2.84813	-3.95758	0.31083	-24.24065	2.44734	-5.02077	-0.18256	-23.70390	-4.29797	-4.64738	-1.43928	-1.61081	1.01816	-1.17255	-30.36326	-25.20237	3.92169	-5.07052	1.31735	-24.13695	-2.48179	0.04261	-0.51270	-20.57263	1.97264	-8.32231	1.65786	-21.43468	-5.90976	-2.71046	-2.05200	0.27439	-1.10525	-0.36835	-22.27268	-22.94496	0.48001	-2.66916	0.75898	-18.70543	-2.86496	-3.77167	1.36590	-1.67190	-0.09686	-1.72033	-24.60004	-24.37547	2.20876	-2.87108	2.38728	-14.80239	-6.21162	-3.80570	-1.16664	-25.36212	2.59932	-4.88698	0.32369	-17.18475	-6.70788	-4.53958	-3.20619	0.20106	0.30173	-1.62567	-28.35422	-18.92662	4.33741	-2.24097	-0.03205	-17.15305	-3.66302	-0.91159	-0.42992	-25.57711	3.44326	-3.74791	0.22910	-24.28376	-2.59676	-3.10901	-0.95036	-19.87560	2.01792	-6.91175	0.72277	-26.58787	-1.72906	-6.25362	0.34505	-3.42027	-1.35213	-0.69093	-25.38778	-25.58282	2.19785	-9.50975	1.42493	-15.25722	-4.56365	-3.80539	-0.25690	-24.13300	4.29549	-4.09412	-0.39107	-23.38180
3	-4.09345	1.53534	-1.51613	1.74639	-0.56416	0.67606	-23.65961	2.87541	2.72587	1.13728	-4.90241	2.36102	0.88079	0.82435	-20.66231	3.90965	-2.70767	-3.61424	0.26861	-22.76791	2.41266	-4.79050	-0.13506	-23.81023	-4.42090	-4.71361	-1.34590	-1.46754	1.06064	-1.19944	-30.25667	-24.84893	3.95227	-4.65652	1.13029	-23.51347	-2.47402	0.06104	-0.57117	-20.26504	1.99555	-8.06647	1.64434	-21.13021	-5.80612	-2.64559	-1.95404	0.58790	-0.94301	-0.31877	-22.04661	-22.03390	0.59120	-2.50647	0.98814	-18.73928	-2.79227	-3.82057	1.60220	-1.65687	-0.25473	-1.51541	-23.27361	-24.30658	2.04258	-2.91622	2.33555	-15.61998	-6.22495	-3.80785	-1.15345	-25.24103	2.65105	-4.73876	0.53999	-17.47050	-6.69149	-4.58064	-2.75901	0.46293	-0.02283	-1.30172	-27.09434	-18.95657	4.24204	-2.11559	0.14669	-17.55037	-3.59391	-0.99801	-0.15495	-25.08673	3.43505	-3.55967	0.24601	-24.46399	-2.60136	-3.08966	-0.71347	-19.17424	1.90722	-7.03065	1.06778	-26.18506	-1.78721	-6.09390	0.47258	-3.11550	-1.25878	-0.61818	-24.73464	-24.76620	2.52654	-9.49790	1.83639	-15.07295	-4.54097	-3.63610	-0.32998	-23.70085	4.22842	-4.04773	-0.11139	-23.72935
4	-4.06147	1.52999	-1.33436	1.74821	-0.44340	0.60051	-23.10573	2.85445	2.76038	1.11222	-4.70696	2.35046	1.05164	0.81533	-20.56590	3.73373	-2.58474	-3.25798	0.22850	-21.68325	2.45004	-4.51360	-0.01891	-23.83110	-4.54626	-4.78564	-1.21353	-1.33865	1.00726	-1.13534	-30.01217	-24.57007	4.00696	-4.26676	1.03381	-22.72738	-2.45492	0.12039	-0.60144	-19.98905	2.03649	-7.71701	1.59875	-20.60502	-5.68660	-2.55911	-1.82058	0.87223	-0.69936	-0.13224	-21.85584	-21.12663	0.73194	-2.29630	1.29232	-18.75156	-2.71410	-3.84916	1.82927	-1.57175	-0.33548	-1.25981	-21.93816	-24.19664	1.92816	-2.88076	2.33615	-16.08768	-6.22281	-3.81421	-1.03880	-24.99479	2.73559	-4.53141	0.75494	-17.55505	-6.65789	-4.60024	-2.39872	0.80307	-0.08291	-0.92470	-25.81914	-18.94156	4.16115	-1.97344	0.33457	-17.77329	-3.49029	-1.07364	0.19934	-24.54360	3.42788	-3.31766	0.28989	-24.41172	-2.58422	-2.96100	-0.38783	-18.59095	1.80114	-7.05611	1.41534	-25.71460	-1.82148	-5.90291	0.63605	-2.69472	-1.02790	-0.58412	-24.11134	-24.01954	2.89546	-9.31367	2.28726	-14.92460	-4.52319	-3.46602	-0.31963	-23.29896	4.18939	-3.90982	0.24389	-23.84285
5	-4.01224	1.52797	-1.13257	1.75584	-0.23635	0.54587	-22.62316	2.83622	2.82559	1.10097	-4.44656	2.30800	1.27180	0.82732	-20.34284	3.58165	-2.48100	-2.90231	0.23936	-20.99760	2.55726	-4.19257	0.17945	-23.78168	-4.66772	-4.85698	-1.05212	-1.22661	0.85841	-0.96308	-29.61870	-24.38062	4.07641	-3.91660	1.06685	-21.90519	-2.42596	0.21839	-0.62509	-19.73907	2.09779	-7.29273	1.57439	-19.93243	-5.55640	-2.44792	-1.65775	1.12411	-0.38021	0.21583	-21.71161	-20.32606	0.89202	-2.03458	1.66313	-18.74537	-2.62444	-3.84305	2.05135	-1.42098	-0.30714	-0.93679	-20.70785	-24.08218	1.87269	-2.75467	2.40708	-16.26329	-6.19681	-3.80329	-0.80032	-24.68698	2.84972	-4.27803	0.99493	-17.45624	-6.60501	-4.59386	-2.13980	1.17622	0.17282	-0.49174	-24.66319	-18.90905	4.10732	-1.82159	0.57043	-17.84146	-3.34641	-1.10827	0.64572	-24.01355	3.42738	-3.03426	0.38911	-24.14412	-2.54127	-2.71558	-0.01463	-18.15620	1.71887	-6.97116	1.74394	-25.21105	-1.82785	-5.67909	0.83677	-2.20987	-0.65961	-0.53077	-23.56972	-23.42445	3.29270	-8.94671	2.73419	-14.80089	-4.50213	-3.29136	-0.20433	-22.98373	4.18931	-3.66928	0.66631	-23.68958
6	-3.94203	1.53055	-0.91775	1.76343	0.06812	0.55229	-22.24293	2.81069	2.92156	1.10290	-4.12570	2.23407	1.55220	0.83556	-20.04461	3.45176	-2.39626	-2.55829	0.32985	-20.63847	2.71683	-3.83040	0.44591	-23.68687	-4.77594	-4.92210	-0.87684	-1.13752	0.65332	-0.67267	-29.11297	-24.27769	4.14903	-3.61146	1.24462	-21.16509	-2.38440	0.34554	-0.63882	-19.51472	2.18251	-6.81581	1.63914	-19.21855	-5.41957	-2.31067	-1.47731	1.34490	0.01058	0.72940	-21.61762	-19.69817	1.06343	-1.72157	2.07777	-18.72735	-2.51637	-3.79155	2.27163	-1.21951	-0.14473	-0.52447	-19.67578	-23.98942	1.87696	-2.54828	2.57740	-16.23592	-6.13935	-3.75560	-0.42089	-24.38231	2.98943	-3.98788	1.28956	-17.21807	-6.53597	-4.55866	-1.97020	1.53422	0.72767	-0.00318	-23.73453	-18.87280	4.09379	-1.65349	0.89264	-17.79507	-3.16137	-1.07069	1.18945	-23.54796	3.44232	-2.72181	0.59366	-23.73007	-2.46658	-2.36048	0.36761	-17.87655	1.68244	-6.75873	2.03511	-24.71368	-1.80361	-5.42428	1.06476	-1.71853	-0.15951	-0.37775	-23.14927	-23.01329	3.70516	-8.41202	3.13498	-14.69380	-4.46582	-3.10009	0.02401	-22.78529	4.23527	-3.32128	1.14338	-23.30619
