	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-5.93907	2.67565	2.54350	3.09601	4.88334	3.05469	-3.07981	1.50247	12.66103	2.78328	-4.34094	4.51679	3.31799	3.53604	1.88894	1.82648	-3.92344	-0.83961	4.15966	-3.73457	15.39306	-7.94554	1.55274	1.72040	-5.59002	-10.92570	-0.08613	2.54257	0.64428	8.40024	-3.19309	-4.43737	15.76178	-11.40257	3.46457	1.35357	-10.34769	4.33406	9.50866	-4.39751	11.84758	-6.13308	8.03642	-0.76622	-5.32883	-3.53365	5.41078	0.52057	5.57161	5.94961	-3.79053	-3.47830	8.16392	-1.27900	8.81242	-0.08855	-5.38174	-3.22803	0.36041	3.11114	5.24880	1.96670	-2.89273	-2.49328	8.38923	3.55384	5.98951	2.44120	-7.10302	2.79028	6.24817	-2.66128	14.12495	-1.49865	2.42872	2.06995	-9.47609	-4.05218	-0.21683	8.70238	9.86916	4.30295	-4.65117	-3.95805	13.49603	0.25672	0.25370	2.57290	-6.33770	0.44972	5.08250	-1.52187	10.07924	-7.09984	0.75971	5.50101	-1.54553	0.14408	3.54986	0.90325	11.96798	-9.44564	0.83209	3.93083	-3.99525	-8.01890	1.82477	9.49942	3.59321	-1.88686	-5.13746	-1.64302	15.24968	-4.24404	6.47534	2.15269	-6.23738	2.14832	5.92490	-2.19004	14.79793	-2.51253	-2.10735	-0.10938
2	-5.81020	2.69880	2.81141	3.02111	5.30155	3.10578	-3.38769	1.47135	12.70746	2.82663	-4.31069	4.18345	3.16831	3.53995	1.78816	1.85646	-3.77679	-0.09928	5.61236	-4.42899	15.29533	-8.35120	2.31097	1.31401	-5.39672	-10.96786	-0.21590	3.00681	0.69963	8.73001	-3.17514	-4.70242	15.54083	-11.42082	4.59420	0.83263	-10.22319	4.42824	9.73758	-4.46537	11.90691	-6.21411	7.81962	-0.35393	-5.14310	-3.51433	5.74149	0.84190	5.39049	6.59271	-3.94000	-3.79129	8.10233	-0.78881	8.48875	-0.31973	-5.32873	-2.88632	1.31549	3.15182	5.46075	2.05067	-3.01657	-3.02448	8.50814	2.99856	5.46117	2.30840	-6.89620	2.36032	6.70159	-2.91498	14.28301	-2.23804	2.57794	2.06597	-9.51589	-4.18810	0.32004	9.20640	10.73168	3.97196	-5.10448	-4.23588	13.54043	-0.57225	0.42362	2.65442	-6.06402	0.41887	5.94149	-2.22977	10.14582	-6.82719	-0.13258	5.71979	-1.29670	1.04804	3.46028	0.60492	11.68701	-7.62729	-0.09960	3.76394	-4.10518	-7.66913	2.55883	9.42929	3.83209	-0.88702	-5.34004	-2.18938	15.91577	-3.71589	5.80231	1.85327	-5.99093	1.47015	6.79851	-2.24913	14.85646	-2.66054	-2.39499	-0.16907
3	-5.74488	2.69691	3.13931	2.94194	5.91823	3.09551	-3.89615	1.46270	12.66464	2.86890	-4.25460	3.87709	3.36403	3.56280	1.55244	1.88007	-3.74270	0.56042	7.17914	-5.36448	15.08988	-8.60451	3.08503	0.88960	-5.21859	-11.03231	-0.62423	3.51396	1.13859	9.05705	-3.18633	-5.04721	15.22228	-11.04631	5.91973	0.06333	-10.06814	4.41470	10.11772	-4.62083	11.85231	-6.31753	8.16092	-0.11816	-5.00789	-3.53738	6.08911	1.48838	5.24112	7.20638	-4.14409	-4.30620	7.99228	-0.09413	7.95473	-0.49183	-5.33862	-2.68896	2.54130	3.24807	5.75866	2.51766	-3.35863	-3.83463	8.57925	2.26494	5.76387	1.90058	-6.73303	2.17574	7.33309	-3.41515	14.34706	-2.86972	3.04890	1.89905	-9.57237	-4.42418	1.26570	9.61322	11.59117	4.07049	-5.80212	-4.72985	13.55255	-1.45547	1.20239	2.35350	-5.80590	0.52411	7.07795	-3.29163	10.12012	-6.61231	-0.56236	5.82012	-1.16269	1.86942	3.52768	0.21931	11.33375	-5.97176	-0.53043	3.44760	-4.30636	-7.41600	3.43633	9.13106	4.11057	0.81438	-5.65577	-3.14440	16.47013	-3.15203	5.22465	1.50116	-5.86299	0.98169	7.95004	-2.65640	14.75142	-2.94182	-2.26314	-0.18806
4	-5.75422	2.66961	3.56865	2.89288	6.70332	3.02897	-4.65776	1.50950	12.52151	2.90977	-4.12404	3.61878	3.92879	3.59007	1.10550	1.90049	-3.82711	1.17384	8.71483	-6.50124	14.76245	-8.64063	3.87546	0.38874	-5.06104	-11.12670	-1.21953	4.06969	1.96961	9.45787	-3.30301	-5.58771	14.81184	-10.27147	7.32239	-0.95407	-9.90103	4.37813	10.66234	-4.95117	11.67670	-6.31598	9.05073	-0.21117	-4.94926	-3.60729	6.45720	2.47784	5.20153	7.77286	-4.47660	-5.11340	7.82486	0.75311	7.37904	-0.71109	-5.41567	-2.65408	4.00500	3.43853	6.13357	3.36720	-3.97710	-4.97078	8.58001	1.48390	6.73717	1.25290	-6.63432	2.34819	8.04478	-4.20111	14.31052	-3.29533	3.81805	1.50265	-9.64514	-4.74774	2.73614	9.93357	12.25671	4.64933	-6.76810	-5.52817	13.53133	-2.22746	2.55146	1.54313	-5.58925	0.79356	8.43051	-4.71062	9.98364	-6.38561	-0.42378	5.66126	-1.16458	2.55694	3.91315	-0.38811	10.90931	-4.61256	-0.35316	2.94535	-4.60997	-7.27967	4.40789	8.72094	4.45242	2.97784	-6.10795	-4.46443	16.89131	-2.59582	4.91449	0.97990	-5.85471	0.82051	9.24856	-3.47466	14.45468	-3.25663	-1.65514	-0.23708
5	-5.84272	2.62118	4.13661	2.93298	7.60148	2.89961	-5.69266	1.61362	12.27847	2.95390	-3.87244	3.40350	4.85897	3.59773	0.36739	1.91670	-4.02111	1.78709	10.06387	-7.73677	14.31977	-8.44723	4.75355	-0.28367	-4.93783	-11.25723	-1.86473	4.69909	3.15321	9.98853	-3.61621	-6.42820	14.32890	-9.13124	8.66621	-2.18163	-9.74839	4.42082	11.35088	-5.52111	11.38629	-6.08665	10.41805	-0.78142	-4.98408	-3.72152	6.85400	3.78639	5.35426	8.31046	-5.01768	-6.29072	7.59901	1.68498	6.96320	-1.10978	-5.55938	-2.78011	5.64429	3.75753	6.58615	4.51035	-4.91161	-6.39937	8.49915	0.80986	8.14258	0.39958	-6.61572	2.93886	8.75071	-5.29968	14.17795	-3.42472	4.84783	0.79911	-9.73137	-5.13363	4.77861	10.22157	12.53642	5.65052	-7.97428	-6.65373	13.47512	-2.74478	4.33077	0.20054	-5.43575	1.24687	9.89235	-6.43226	9.72008	-6.03859	0.35620	5.04827	-1.31183	3.09534	4.72712	-1.33066	10.41534	-3.62381	0.46500	2.23347	-5.01647	-7.27158	5.41597	8.34855	4.91567	5.27380	-6.74764	-6.02583	17.17889	-2.08833	5.02488	0.16503	-5.95758	1.05556	10.55932	-4.69685	13.96268	-3.50633	-0.51957	-0.44817
6	-6.00569	2.56010	4.85850	3.11080	8.53664	2.69805	-6.96369	1.72672	11.95112	3.00988	-3.47050	3.20744	6.11510	3.53342	-0.72092	1.89939	-4.29912	2.45076	11.07795	-8.91914	13.79290	-8.06021	5.78793	-1.19937	-4.86988	-11.42379	-2.39784	5.42404	4.60465	10.64482	-4.22229	-7.57815	13.80452	-7.70028	9.81184	-3.54177	-9.64561	4.63449	12.13095	-6.34946	11.00235	-5.54671	12.12620	-1.91116	-5.11747	-3.86886	7.29037	5.33085	5.76616	8.84801	-5.83057	-7.83404	7.32266	2.61596	6.89827	-1.80568	-5.76211	-3.04166	7.36367	4.22788	7.12477	5.79208	-6.15858	-8.01870	8.34373	0.37681	9.72443	-0.62750	-6.68285	3.93142	9.37408	-6.66910	13.96598	-3.20067	6.08493	-0.27415	-9.82619	-5.54580	7.30181	10.54731	12.32539	6.91459	-9.32655	-8.03886	13.38579	-2.93531	6.34359	-1.58548	-5.35533	1.88388	11.31541	-8.32498	9.32388	-5.44791	1.80413	3.76611	-1.59712	3.50822	5.97847	-2.64311	9.85946	-3.00427	1.87773	1.28667	-5.51246	-7.38933	6.40822	8.17526	5.56506	7.35677	-7.62646	-7.66058	17.35471	-1.66567	5.64024	-1.02779	-6.15353	1.65576	11.76707	-6.21844	13.30633	-3.60719	1.16681	-1.01001
