	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.28323	0.12175	-0.19017	0.11763	0.00306	0.01817	0.15275	0.06349	-0.12593	0.04911	-0.01978	0.01168	0.14271	-0.05558	-0.00759	0.10743	-0.06537	-0.03751	0.09575	-0.10601	-0.02326	0.34970	-0.24160	-0.00727	0.23456	-0.19205	-0.00592	0.35728	-0.27334	0.02404	0.20726	-0.15665	-0.01585	0.11874	-0.10956	-0.01633
2	0.31526	0.14777	-0.19283	0.12760	0.00335	0.02580	0.17718	0.08744	-0.10805	0.05352	-0.03691	0.01435	0.14509	-0.04851	-0.00385	0.11172	-0.04977	-0.05529	0.11341	-0.07719	-0.04411	0.38942	-0.23932	-0.01809	0.31023	-0.18818	-0.01642	0.41126	-0.29067	0.03198	0.22283	-0.13050	-0.03529	0.12773	-0.09459	-0.03346
3	0.34752	0.17692	-0.18670	0.13266	0.00345	0.03517	0.19660	0.11082	-0.07641	0.05532	-0.05882	0.01686	0.14431	-0.03828	0.00285	0.10836	-0.02654	-0.07439	0.13829	-0.03810	-0.06995	0.43098	-0.22811	-0.03141	0.37645	-0.16590	-0.03134	0.46728	-0.29371	0.03892	0.23011	-0.08755	-0.06196	0.12978	-0.06395	-0.05647
4	0.38467	0.20814	-0.17200	0.13212	0.00531	0.04631	0.20693	0.12763	-0.02934	0.05414	-0.08296	0.02022	0.14657	-0.02579	0.01284	0.10023	0.00368	-0.09264	0.16440	0.01326	-0.09820	0.47540	-0.20735	-0.04430	0.41866	-0.12202	-0.04836	0.53204	-0.28284	0.04739	0.22659	-0.02733	-0.09354	0.12475	-0.01428	-0.08203
5	0.41871	0.22642	-0.14403	0.11940	0.01032	0.05720	0.20623	0.13049	0.03160	0.05098	-0.10587	0.02539	0.16063	-0.01286	0.02640	0.09217	0.03868	-0.10832	0.18130	0.07762	-0.12566	0.51160	-0.17286	-0.05321	0.42440	-0.05581	-0.06364	0.58391	-0.24638	0.05775	0.20991	0.04867	-0.12578	0.12337	0.04886	-0.10597
6	0.45144	0.23242	-0.10541	0.09715	0.01970	0.06696	0.19630	0.12083	0.10153	0.05121	-0.12472	0.03252	0.18788	0.00074	0.04409	0.08629	0.07633	-0.12051	0.17881	0.15377	-0.15065	0.53934	-0.12705	-0.05604	0.39986	0.02527	-0.07329	0.62709	-0.18991	0.07105	0.18709	0.13323	-0.15461	0.12944	0.11905	-0.12457
