	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.03522	0.03789	-0.03927	0.01973	-0.00315	0.00583	-0.08640	0.02988	-0.05410	0.00798	-0.00298	0.01536	-0.06830	-0.03073	-0.00781	-0.10786	-0.05844	-0.02366	-0.10222	-0.06585	-0.01481	0.00611	-0.02526	0.00339	-0.05618	-0.04697	0.01171	-0.04348	-0.06184	-0.00503	-0.11385	-0.05143	0.00504	-0.05187	-0.04782	0.00682
2	-0.03772	0.03696	-0.04727	0.02679	-0.00866	0.00767	-0.09267	0.03098	-0.05569	0.01552	-0.00821	0.02157	-0.05682	-0.03545	-0.01447	-0.11611	-0.06402	-0.03574	-0.12369	-0.07864	-0.02700	0.00489	-0.02842	0.00003	-0.06240	-0.04047	0.01182	-0.06121	-0.07793	-0.01154	-0.10424	-0.04585	0.00344	-0.05692	-0.04947	0.00641
3	-0.03566	0.04135	-0.05439	0.03297	-0.01729	0.00971	-0.08948	0.03731	-0.05126	0.02564	-0.01516	0.02747	-0.03699	-0.04109	-0.02377	-0.10920	-0.06445	-0.04774	-0.14309	-0.08945	-0.04213	0.00634	-0.03014	-0.00613	-0.05701	-0.02730	0.00931	-0.07632	-0.09193	-0.02197	-0.08347	-0.03272	-0.00038	-0.05462	-0.04240	0.00517
4	-0.02772	0.04992	-0.05933	0.03772	-0.02871	0.01218	-0.07545	0.05001	-0.03919	0.03806	-0.02252	0.03268	-0.01218	-0.04662	-0.03515	-0.09101	-0.05882	-0.05797	-0.15610	-0.09642	-0.05812	0.01258	-0.02961	-0.01467	-0.03502	-0.00563	0.00537	-0.08356	-0.10176	-0.03632	-0.05340	-0.01160	-0.00534	-0.04173	-0.02349	0.00346
5	-0.01157	0.05382	-0.05866	0.03885	-0.04198	0.01500	-0.05060	0.06373	-0.01829	0.05156	-0.02876	0.03706	0.01331	-0.05042	-0.04791	-0.06780	-0.04729	-0.06578	-0.15411	-0.09499	-0.07209	0.02531	-0.02458	-0.02491	0.00508	0.02581	0.00135	-0.07333	-0.10097	-0.05310	-0.01497	0.01833	-0.00977	-0.02120	0.00671	0.00252
6	0.01126	0.05158	-0.05171	0.03807	-0.05623	0.01814	-0.01806	0.07470	0.01028	0.06439	-0.03284	0.04088	0.03859	-0.05014	-0.06144	-0.04250	-0.03007	-0.07147	-0.13555	-0.08349	-0.08253	0.04341	-0.01446	-0.03605	0.05568	0.06441	-0.00168	-0.04824	-0.09055	-0.07119	0.02498	0.05443	-0.01197	0.00708	0.04611	0.00347
