	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.00015	0.02576	0.00403	0.00764	0.00149	0.00603	-0.03240	0.01406	-0.00021	0.00668	0.00443	0.00681	-0.02250	-0.00111	-0.00168	-0.04744	0.00199	0.01119	-0.02897	0.01035	0.01158	0.02803	0.01281	0.00845	-0.02322	-0.00249	0.00331	-0.00599	0.00039	-0.00229	-0.04643	-0.00645	-0.00365	-0.01592	-0.00446	-0.00027
2	0.00319	0.02724	0.00600	0.00989	0.00270	0.00908	-0.03274	0.00881	0.00209	0.01067	0.00626	0.01006	-0.01579	-0.00041	-0.00299	-0.04485	0.00944	0.01676	-0.03419	0.01705	0.01669	0.03440	0.01739	0.01317	-0.02828	-0.00262	0.00425	-0.00904	0.00103	-0.00208	-0.03529	-0.00699	-0.00428	-0.02110	-0.00645	-0.00212
3	0.00847	0.03000	0.00827	0.01255	0.00432	0.01290	-0.02805	0.00713	0.00568	0.01525	0.00862	0.01330	-0.00644	-0.00011	-0.00480	-0.03391	0.01800	0.02262	-0.03654	0.02582	0.02242	0.04300	0.02270	0.01909	-0.02706	-0.00135	0.00584	-0.01116	0.00223	-0.00132	-0.01957	-0.00675	-0.00446	-0.02315	-0.00731	-0.00333
4	0.01579	0.03393	0.01052	0.01547	0.00595	0.01729	-0.01819	0.01164	0.00993	0.02004	0.01118	0.01626	0.00363	-0.00044	-0.00708	-0.01719	0.02657	0.02811	-0.03463	0.03603	0.02825	0.05413	0.02822	0.02556	-0.01636	0.00074	0.00780	-0.01037	0.00378	-0.00064	-0.00204	-0.00638	-0.00438	-0.02075	-0.00734	-0.00386
5	0.02541	0.03693	0.01215	0.01828	0.00712	0.02165	-0.00384	0.01632	0.01383	0.02496	0.01357	0.01889	0.01225	-0.00176	-0.00983	0.00212	0.03451	0.03298	-0.02530	0.04639	0.03367	0.06712	0.03285	0.03152	0.00439	0.00244	0.00961	-0.00313	0.00537	-0.00032	0.01521	-0.00663	-0.00426	-0.01560	-0.00754	-0.00413
6	0.03585	0.03933	0.01244	0.02116	0.00739	0.02585	0.01308	0.01946	0.01673	0.03010	0.01556	0.02142	0.01872	-0.00478	-0.01328	0.02273	0.04159	0.03731	-0.00822	0.05608	0.03869	0.08085	0.03607	0.03637	0.03038	0.00281	0.01082	0.00799	0.00604	-0.00093	0.02833	-0.00824	-0.00453	-0.00780	-0.00859	-0.00447
