	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.46303	0.10308	-0.30372	0.07679	-0.00121	0.01293	0.42532	0.04577	-0.30034	0.05437	0.00061	0.01184	0.47823	-0.36506	0.00983	0.41813	-0.28438	-0.01360	0.43671	-0.27095	-0.01298	0.42762	-0.28748	-0.00239	0.47072	-0.30498	0.00099	0.42270	-0.21738	-0.01985	0.38744	-0.32242	0.00898	0.41649	-0.32970	0.01166	0.36230	-0.20893	-0.01483	0.34784	-0.30579	0.00142	0.63992	-0.42803	0.01892	0.41323	-0.22459	-0.00122	0.57175	-0.37837	0.00824
2	0.52030	0.11772	-0.30231	0.09071	-0.01455	0.01630	0.47413	0.06272	-0.30129	0.07483	-0.00925	0.01340	0.55028	-0.38877	0.00184	0.46459	-0.26568	-0.03193	0.48813	-0.25992	-0.02131	0.48551	-0.28994	-0.01450	0.51683	-0.31147	-0.01051	0.45275	-0.20456	-0.03667	0.42791	-0.32183	-0.00186	0.48542	-0.34993	0.00490	0.37621	-0.17583	-0.02856	0.42093	-0.31348	-0.01657	0.71071	-0.44252	0.01028	0.44003	-0.20375	-0.01096	0.66761	-0.39623	-0.00153
3	0.56891	0.12624	-0.28494	0.09646	-0.03383	0.01819	0.50338	0.08473	-0.28032	0.09752	-0.02493	0.01335	0.60548	-0.39239	-0.01268	0.48750	-0.22574	-0.05394	0.51288	-0.22808	-0.03227	0.53110	-0.27869	-0.03160	0.53604	-0.29332	-0.02730	0.46175	-0.17650	-0.05534	0.46053	-0.29877	-0.02017	0.54578	-0.35215	-0.01081	0.35957	-0.11723	-0.04637	0.49615	-0.29726	-0.04598	0.76033	-0.43239	-0.00968	0.50371	-0.19574	-0.02213	0.74183	-0.38827	-0.01818
4	0.60837	0.14789	-0.24905	0.10450	-0.05679	0.02045	0.52453	0.11160	-0.24233	0.12245	-0.04444	0.01282	0.65799	-0.38266	-0.03088	0.50294	-0.17336	-0.07758	0.52004	-0.18006	-0.04636	0.56830	-0.25652	-0.05181	0.53998	-0.25648	-0.04625	0.45909	-0.13577	-0.07417	0.49786	-0.25878	-0.04242	0.60088	-0.33808	-0.03369	0.33046	-0.03796	-0.06704	0.56737	-0.25199	-0.08168	0.81327	-0.40506	-0.03529	0.52552	-0.15473	-0.03900	0.82213	-0.36594	-0.03801
5	0.62181	0.17295	-0.18727	0.11030	-0.07953	0.02306	0.52031	0.13774	-0.17881	0.14595	-0.06426	0.01185	0.67989	-0.34363	-0.04941	0.49247	-0.10342	-0.09951	0.48976	-0.10762	-0.06046	0.57895	-0.21518	-0.07220	0.51834	-0.19532	-0.06323	0.43258	-0.07508	-0.08900	0.52262	-0.19501	-0.06523	0.62897	-0.29696	-0.06156	0.28231	0.06569	-0.08566	0.62169	-0.17424	-0.11743	0.84438	-0.34864	-0.06234	0.50975	-0.08273	-0.05789	0.87283	-0.31162	-0.05837
6	0.61724	0.19529	-0.10673	0.11201	-0.09768	0.02674	0.50306	0.15627	-0.09749	0.16588	-0.08070	0.01294	0.68309	-0.28260	-0.06365	0.46524	-0.02462	-0.11778	0.43992	-0.01993	-0.07287	0.57613	-0.16238	-0.09009	0.48944	-0.12190	-0.07398	0.39572	-0.00164	-0.09730	0.53507	-0.11167	-0.08449	0.62952	-0.23159	-0.09021	0.24134	0.18272	-0.09900	0.64868	-0.06838	-0.14752	0.85543	-0.26465	-0.08347	0.48150	0.00543	-0.07261	0.89798	-0.23087	-0.07502
