	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.16774	0.04522	-0.04333	0.01692	0.00994	0.01190	-0.12955	0.05660	-0.01448	0.01559	0.01147	0.00827	-0.15280	-0.01279	0.02204	-0.17657	-0.04135	-0.00303	-0.13254	0.00069	0.01329	-0.11877	-0.02374	0.00620	-0.09917	-0.01583	0.01356	-0.14336	-0.02871	-0.00616	-0.17253	-0.03535	0.00484	-0.18740	-0.02811	0.01614	-0.03285	0.00448	-0.00105	-0.12585	-0.04018	0.01912	-0.25263	-0.04829	0.02093	-0.18007	-0.07619	0.00844	-0.17694	-0.04488	0.02408
2	-0.14234	0.05297	-0.03862	0.01034	0.00715	0.01520	-0.10693	0.07115	-0.02118	0.01657	0.00867	0.01138	-0.13805	-0.01539	0.02431	-0.14919	-0.03856	-0.01307	-0.09868	-0.00201	0.01274	-0.10002	-0.02414	0.00366	-0.07385	-0.03128	0.00827	-0.12533	-0.03426	-0.01220	-0.16246	-0.04251	-0.00233	-0.18191	-0.03198	0.01526	0.01339	-0.00390	-0.00623	-0.10253	-0.03196	0.01776	-0.25280	-0.05239	0.02041	-0.11379	-0.05189	0.00904	-0.15273	-0.03715	0.02445
3	-0.10839	0.05648	-0.03706	0.01713	-0.00251	0.01603	-0.06823	0.08305	-0.02851	0.01809	0.00147	0.01391	-0.10561	-0.01928	0.02209	-0.09937	-0.03188	-0.02682	-0.04461	-0.00636	0.00834	-0.06667	-0.02247	-0.00269	-0.03550	-0.04654	-0.00200	-0.08806	-0.03907	-0.02180	-0.13473	-0.04857	-0.01447	-0.15827	-0.03763	0.00734	0.06935	-0.01267	-0.01247	-0.06221	-0.02124	0.00362	-0.22989	-0.05268	0.01051	-0.10553	-0.06679	0.00395	-0.10697	-0.02528	0.01568
4	-0.05906	0.06290	-0.03547	0.02412	-0.01733	0.01609	-0.01759	0.09547	-0.03615	0.02135	-0.00859	0.01649	-0.06401	-0.02727	0.01740	-0.03616	-0.02566	-0.04223	0.02669	-0.01018	0.00118	-0.01950	-0.01868	-0.01225	0.01194	-0.05956	-0.01486	-0.03527	-0.04412	-0.03468	-0.09585	-0.05675	-0.02946	-0.12094	-0.04758	-0.00672	0.13661	-0.01558	-0.01904	-0.00522	-0.01292	-0.02103	-0.19187	-0.05251	-0.00587	-0.07885	-0.07853	-0.00640	-0.04653	-0.01585	0.00114
5	0.01345	0.06877	-0.02752	0.02600	-0.03512	0.01601	0.04549	0.10341	-0.03899	0.02536	-0.02046	0.01909	-0.00819	-0.03261	0.01048	0.04378	-0.01537	-0.05646	0.11228	-0.00963	-0.00831	0.04167	-0.01053	-0.02378	0.06732	-0.06436	-0.02884	0.03783	-0.04236	-0.04805	-0.04116	-0.06160	-0.04480	-0.06430	-0.05616	-0.02589	0.20700	-0.00960	-0.02543	0.07401	-0.00241	-0.05073	-0.13247	-0.04807	-0.02780	-0.00878	-0.06990	-0.02064	0.03809	-0.00402	-0.01839
6	0.09840	0.07561	-0.01555	0.02883	-0.05215	0.01668	0.11435	0.10658	-0.03451	0.03094	-0.03188	0.02211	0.05337	-0.03219	0.00378	0.13204	-0.00085	-0.06747	0.20114	-0.00120	-0.01793	0.10867	0.00197	-0.03528	0.12410	-0.05928	-0.04109	0.12130	-0.03180	-0.05982	0.02561	-0.06189	-0.05802	0.00647	-0.05921	-0.04638	0.27540	0.00671	-0.03161	0.17564	0.01271	-0.07745	-0.05528	-0.03930	-0.05058	0.06507	-0.06202	-0.03650	0.14134	0.01046	-0.03790
