	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.26862	0.09197	-0.18228	0.04182	0.00209	0.01098	0.12841	0.05054	-0.13223	0.03031	-0.00159	0.00806	0.24073	-0.18440	0.01066	0.10399	-0.17318	0.01044	0.11852	-0.09881	-0.01843	0.12330	-0.08019	-0.01537	0.25720	-0.18935	0.00692	0.18241	-0.14786	-0.01001	0.16726	-0.13051	-0.00063	0.35053	-0.21526	0.01499	0.21090	-0.12431	-0.00868	0.33113	-0.21028	0.01096	0.42845	-0.24404	0.00661	0.14916	-0.15642	0.00356	0.03745	-0.11396	-0.00153	0.24357	-0.17551	-0.00366	0.11547	-0.11780	-0.00465	0.26504	-0.17506	0.00077	0.11978	-0.16145	0.00415
2	0.26960	0.08874	-0.17979	0.04947	-0.00367	0.01752	0.14001	0.04802	-0.13271	0.03271	-0.00636	0.00554	0.25092	-0.19006	0.00595	0.11212	-0.18193	0.00113	0.11585	-0.07396	-0.03805	0.13574	-0.08257	-0.01193	0.26434	-0.19995	0.00601	0.18294	-0.13789	-0.02565	0.16124	-0.12196	0.00121	0.35822	-0.21698	0.01348	0.21264	-0.11849	-0.01047	0.34114	-0.21876	0.01033	0.40393	-0.23476	0.00658	0.17668	-0.15972	-0.00294	0.04931	-0.11978	-0.01013	0.25327	-0.17967	-0.00565	0.13315	-0.11344	-0.01159	0.25579	-0.16607	-0.00606	0.13919	-0.16381	-0.00612
3	0.26318	0.08278	-0.16578	0.05953	-0.01330	0.02591	0.13891	0.04090	-0.11804	0.03425	-0.01498	0.00953	0.26226	-0.18458	-0.00507	0.12599	-0.17509	-0.01755	0.10803	-0.03367	-0.06489	0.12852	-0.07484	-0.00770	0.26934	-0.20336	0.00207	0.18170	-0.11522	-0.04688	0.13414	-0.09962	0.00318	0.35723	-0.20837	0.00879	0.18902	-0.09856	-0.01156	0.33839	-0.21629	0.00757	0.35770	-0.20754	0.00488	0.18551	-0.14154	-0.01522	0.05836	-0.11161	-0.02602	0.25456	-0.17611	-0.00989	0.13571	-0.09190	-0.02237	0.23941	-0.14691	-0.01632	0.15402	-0.15113	-0.02258
4	0.25263	0.07952	-0.13991	0.07302	-0.02360	0.03548	0.12629	0.03861	-0.08515	0.03513	-0.02518	0.01970	0.27554	-0.16574	-0.01827	0.14489	-0.14756	-0.04049	0.09434	0.02257	-0.09430	0.09985	-0.05237	-0.00360	0.27058	-0.19730	-0.00339	0.18095	-0.07744	-0.06906	0.09148	-0.06379	0.00615	0.35292	-0.18998	0.00513	0.14369	-0.06233	-0.01016	0.32986	-0.20500	0.00565	0.30266	-0.16399	0.00483	0.17763	-0.09969	-0.03136	0.06408	-0.08344	-0.04539	0.24526	-0.16417	-0.01559	0.12544	-0.05083	-0.03522	0.22155	-0.11811	-0.02741	0.16326	-0.12120	-0.04137
5	0.23074	0.07948	-0.09844	0.08803	-0.03111	0.04472	0.10264	0.04806	-0.03109	0.03403	-0.03334	0.03119	0.28285	-0.12996	-0.02893	0.15379	-0.09249	-0.06150	0.07055	0.09398	-0.11982	0.05224	-0.01126	0.00189	0.26120	-0.17748	-0.00833	0.17131	-0.02105	-0.08684	0.04128	-0.01495	0.01151	0.33504	-0.15569	0.00479	0.09106	-0.01102	-0.00334	0.30537	-0.17851	0.00647	0.23549	-0.10054	0.00950	0.15167	-0.02879	-0.04790	0.06514	-0.03133	-0.06238	0.21597	-0.13873	-0.02026	0.10600	0.01098	-0.04639	0.19889	-0.07800	-0.03654	0.15999	-0.06986	-0.05861
6	0.19926	0.08299	-0.04438	0.10360	-0.03294	0.05274	0.07779	0.05831	0.03909	0.03254	-0.03611	0.04195	0.27680	-0.07675	-0.03242	0.14416	-0.01306	-0.07498	0.03633	0.17521	-0.13677	0.00272	0.04619	0.00965	0.24396	-0.14592	-0.01055	0.14748	0.05175	-0.09628	0.00063	0.03973	0.02006	0.30290	-0.10708	0.01048	0.05337	0.04842	0.01123	0.26932	-0.14012	0.01199	0.17004	-0.02433	0.02051	0.12340	0.06410	-0.06050	0.06139	0.04237	-0.07178	0.17284	-0.10211	-0.02198	0.09032	0.08662	-0.05183	0.17369	-0.03008	-0.04145	0.14634	-0.00167	-0.07076
