	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.02478	0.02517	-0.00198	0.01581	-0.00323	0.00398	-0.05465	0.01342	-0.01222	0.01447	-0.00282	0.00922	-0.01427	0.00319	-0.00408	-0.05468	0.00651	0.00779	-0.05370	-0.02889	-0.00102	-0.03888	-0.00992	-0.00235	-0.01672	0.00138	-0.00106	-0.03793	-0.00846	0.00448	-0.03156	-0.00578	-0.00079	0.00924	0.02686	-0.00431	-0.05282	-0.02181	-0.01736	0.00051	0.00798	-0.00427	-0.06442	-0.01093	-0.01004	-0.05888	-0.02056	-0.00406	-0.06415	-0.01154	0.00472	-0.03882	-0.01374	-0.00273	-0.06632	-0.03800	-0.01517	-0.00695	0.00483	-0.00607	-0.06987	0.00331	0.00462
2	-0.00236	0.03009	-0.00455	0.01421	-0.00857	0.00584	-0.03400	0.02002	-0.01821	0.01777	-0.00952	0.01378	-0.00025	-0.00208	-0.01086	-0.03693	0.00030	0.00444	-0.02992	-0.02237	-0.00449	-0.01494	-0.01067	-0.00721	-0.00267	-0.00592	-0.00684	-0.01107	-0.00260	0.00341	-0.00063	-0.00875	-0.00455	0.05150	0.02359	-0.01345	-0.02269	-0.02737	-0.03122	0.02784	0.00564	-0.01131	-0.04368	-0.01764	-0.01423	-0.03997	-0.02850	-0.01333	-0.04401	-0.01541	0.00236	-0.02708	-0.01881	-0.00526	-0.06148	-0.05357	-0.02831	0.01405	-0.00075	-0.01406	-0.05137	-0.00168	0.00162
3	0.02852	0.03511	-0.00407	0.01374	-0.01669	0.00881	0.00226	0.02887	-0.02280	0.02086	-0.02027	0.01883	0.02238	-0.00546	-0.02076	-0.00670	-0.00746	-0.00335	0.00660	-0.00947	-0.00990	0.02748	-0.00982	-0.01617	0.01797	-0.01227	-0.01640	0.02845	0.01019	0.00095	0.04520	-0.00800	-0.01073	0.09876	0.01990	-0.02694	0.02720	-0.03027	-0.04939	0.06392	0.00520	-0.02167	-0.01402	-0.01966	-0.02011	-0.00420	-0.03471	-0.02859	-0.00907	-0.01812	-0.00397	-0.00531	-0.02152	-0.01049	-0.04272	-0.06702	-0.04571	0.03790	-0.00357	-0.02491	-0.01913	-0.00703	-0.00421
4	0.06715	0.03970	0.00034	0.01715	-0.02716	0.01281	0.05321	0.03956	-0.02423	0.02385	-0.03466	0.02429	0.05240	-0.00616	-0.03305	0.03562	-0.01469	-0.01459	0.05465	0.00990	-0.01657	0.08905	-0.00588	-0.02976	0.04623	-0.01598	-0.02934	0.08020	0.03004	-0.00186	0.10378	-0.00185	-0.01950	0.14743	0.01667	-0.04378	0.09538	-0.02806	-0.07075	0.10713	0.00782	-0.03492	0.02442	-0.01548	-0.02820	0.04921	-0.03718	-0.04902	0.03847	-0.01865	-0.01435	0.02521	-0.02190	-0.01890	-0.00930	-0.07600	-0.06704	0.06669	-0.00184	-0.03786	0.02347	-0.01156	-0.01224
5	0.11224	0.04435	0.01046	0.02439	-0.03846	0.01729	0.11435	0.05027	-0.01976	0.02640	-0.05092	0.02966	0.08760	-0.00240	-0.04600	0.08805	-0.01683	-0.02720	0.11176	0.03658	-0.02345	0.16493	0.00318	-0.04699	0.08201	-0.01466	-0.04409	0.14173	0.05703	-0.00418	0.16742	0.00975	-0.03063	0.19655	0.01777	-0.06152	0.17271	-0.01913	-0.09285	0.15630	0.01583	-0.04943	0.06996	-0.00389	-0.03682	0.11839	-0.03111	-0.07159	0.09407	-0.01498	-0.02688	0.06346	-0.01787	-0.02937	0.03657	-0.07687	-0.08996	0.10083	0.00570	-0.05130	0.07261	-0.01212	-0.02124
6	0.16039	0.04946	0.02722	0.03360	-0.04923	0.02190	0.17742	0.06020	-0.00766	0.02865	-0.06673	0.03476	0.12555	0.00751	-0.05821	0.14439	-0.00870	-0.03841	0.17262	0.07108	-0.02949	0.24658	0.01995	-0.06575	0.12315	-0.00657	-0.05874	0.20683	0.09111	-0.00539	0.22707	0.02538	-0.04340	0.24435	0.02593	-0.07806	0.24675	-0.00390	-0.11339	0.20857	0.03034	-0.06367	0.11751	0.01438	-0.04490	0.19321	-0.01448	-0.09264	0.15256	-0.00434	-0.03852	0.10551	-0.00824	-0.04058	0.08575	-0.06944	-0.11230	0.13941	0.01939	-0.06406	0.12307	-0.00573	-0.02943
