	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.36853	0.05815	-0.23355	0.04020	0.01040	0.01641	0.32231	0.08608	-0.22330	0.02951	0.00561	0.00994	0.37320	-0.20109	-0.00264	0.16583	-0.21951	0.00922	0.33170	-0.23675	0.00008	0.35640	-0.19917	0.00198	0.37699	-0.20005	-0.01134	0.36327	-0.25642	0.01975	0.24538	-0.20770	-0.00506	0.32395	-0.20016	-0.00652	0.27656	-0.19036	0.00863	0.41259	-0.27888	0.02501	0.33303	-0.23450	0.01864	0.35552	-0.25803	0.02868	0.41654	-0.25208	0.01854	0.47052	-0.24797	-0.00654	0.27550	-0.14793	-0.01472	0.43605	-0.28238	0.01630	0.43957	-0.27416	0.02872	0.29537	-0.22171	0.01213	0.33820	-0.23632	0.01360
2	0.40365	0.06187	-0.23083	0.04784	0.00533	0.01904	0.34836	0.08811	-0.21734	0.03264	-0.00354	0.01213	0.38370	-0.19590	-0.01140	0.19498	-0.23153	-0.00103	0.35768	-0.22002	-0.01256	0.37364	-0.19091	-0.01022	0.37656	-0.18205	-0.02394	0.41689	-0.26564	0.01743	0.28578	-0.20855	-0.01033	0.33965	-0.19188	-0.01012	0.30629	-0.17947	-0.00032	0.47010	-0.28489	0.02322	0.36960	-0.23806	0.01338	0.41965	-0.26186	0.03049	0.47806	-0.25510	0.01745	0.47302	-0.21868	-0.02237	0.30039	-0.13427	-0.01715	0.45987	-0.27574	0.00519	0.49050	-0.28774	0.02275	0.30238	-0.21264	0.00387	0.37303	-0.22934	0.00703
3	0.42726	0.07284	-0.21323	0.05712	-0.00482	0.02194	0.36959	0.08749	-0.19686	0.03601	-0.01733	0.01501	0.36878	-0.17707	-0.02407	0.23215	-0.22616	-0.02101	0.37514	-0.18201	-0.02962	0.38671	-0.17182	-0.02592	0.35864	-0.15013	-0.03887	0.46310	-0.26184	0.01013	0.32867	-0.19947	-0.02108	0.34002	-0.16956	-0.01581	0.33294	-0.15794	-0.01305	0.52045	-0.27396	0.01621	0.40187	-0.22900	0.00238	0.47724	-0.24735	0.02579	0.52256	-0.23749	0.01348	0.45730	-0.17180	-0.04391	0.31556	-0.10578	-0.02517	0.47909	-0.25422	-0.01214	0.52543	-0.28678	0.01077	0.31042	-0.19253	-0.00772	0.40282	-0.20911	-0.00447
4	0.44446	0.09329	-0.18219	0.06903	-0.01696	0.02586	0.38700	0.09071	-0.16022	0.04237	-0.03237	0.01961	0.33811	-0.14778	-0.03835	0.27645	-0.20015	-0.04680	0.37974	-0.11910	-0.04742	0.39361	-0.13884	-0.04182	0.31902	-0.09743	-0.05311	0.51005	-0.25023	0.00177	0.36885	-0.17522	-0.03601	0.33254	-0.13561	-0.02254	0.35597	-0.12621	-0.02641	0.56841	-0.24690	0.00851	0.43512	-0.20887	-0.01048	0.53050	-0.21470	0.01938	0.56739	-0.20480	0.01104	0.43329	-0.11194	-0.06742	0.32141	-0.05811	-0.03785	0.49434	-0.21770	-0.03214	0.55218	-0.27456	-0.00353	0.32763	-0.16251	-0.01868	0.42296	-0.17316	-0.01908
5	0.44695	0.11715	-0.13273	0.08137	-0.02860	0.02971	0.39586	0.09592	-0.10533	0.04969	-0.04554	0.02554	0.28979	-0.10324	-0.05128	0.32186	-0.14943	-0.07321	0.37103	-0.03434	-0.06213	0.38964	-0.08964	-0.05507	0.27822	-0.02959	-0.06332	0.54247	-0.22252	-0.00686	0.40419	-0.13561	-0.05065	0.31016	-0.08625	-0.02765	0.36426	-0.08122	-0.03889	0.60054	-0.19718	0.00292	0.46230	-0.17238	-0.02350	0.56965	-0.15902	0.01321	0.59550	-0.14803	0.01203	0.39296	-0.03688	-0.08817	0.31744	0.01146	-0.05126	0.49531	-0.16300	-0.05170	0.55669	-0.24193	-0.01894	0.34275	-0.11709	-0.02688	0.42751	-0.11936	-0.03447
6	0.43586	0.13987	-0.06775	0.09422	-0.03639	0.03367	0.39805	0.10318	-0.03631	0.05631	-0.05369	0.03258	0.23693	-0.04827	-0.05986	0.36554	-0.07749	-0.09471	0.35010	0.06407	-0.07057	0.38148	-0.02928	-0.06313	0.25391	0.04472	-0.06651	0.55916	-0.18099	-0.01260	0.42224	-0.07713	-0.06254	0.27760	-0.02539	-0.02923	0.35818	-0.02717	-0.04837	0.61271	-0.12706	0.00314	0.48011	-0.12050	-0.03373	0.58943	-0.08255	0.01171	0.61845	-0.07318	0.01996	0.34078	0.04789	-0.10260	0.30101	0.10298	-0.06099	0.48465	-0.09534	-0.06726	0.54457	-0.19255	-0.03161	0.34793	-0.05598	-0.03011	0.41631	-0.05107	-0.04809
