	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.22184	0.07249	-0.17862	0.04711	-0.00653	0.02772	0.25662	0.06064	-0.20094	0.05996	0.02515	0.02706	0.23159	-0.14514	-0.02089	0.22423	-0.18025	0.00352	0.26171	-0.17593	0.00853	0.16099	-0.19895	0.00323	0.23818	-0.18692	-0.00751	0.15087	-0.14318	-0.01971	0.24016	-0.19076	0.01728	0.28383	-0.12470	0.04987	0.17356	-0.06322	0.07561	0.31006	-0.18431	0.00984	0.35416	-0.27642	0.03992	0.23546	-0.24250	0.01088	0.11797	-0.14359	-0.04395	0.34554	-0.26414	0.01536	0.17778	-0.15057	-0.02930	0.33781	-0.23779	0.03243	0.28895	-0.23795	0.02740	0.26829	-0.28978	0.07691	0.21471	-0.16398	0.00152	0.19678	-0.19917	0.00911	0.19884	-0.17081	-0.02225	0.32116	-0.24973	0.03037
2	0.26909	0.07996	-0.16662	0.05214	-0.01809	0.02893	0.30209	0.06651	-0.19065	0.07251	0.02440	0.03918	0.27443	-0.13296	-0.03000	0.27835	-0.17551	-0.00915	0.30355	-0.17183	-0.00274	0.21106	-0.20179	-0.00300	0.29218	-0.18568	-0.01584	0.17882	-0.11894	-0.03734	0.29766	-0.19485	0.00965	0.29205	-0.08352	0.06995	0.18747	-0.02188	0.11252	0.37256	-0.17081	0.00026	0.42411	-0.26836	0.02619	0.30045	-0.24605	0.00404	0.17875	-0.13171	-0.05791	0.40196	-0.25800	0.01484	0.22094	-0.13239	-0.04213	0.36988	-0.21795	0.02460	0.34807	-0.23782	0.02058	0.33578	-0.29768	0.08108	0.24341	-0.14503	-0.00696	0.22292	-0.18416	0.00075	0.24969	-0.16051	-0.03246	0.36488	-0.24059	0.02754
3	0.30837	0.08519	-0.13515	0.05523	-0.03440	0.02822	0.33722	0.07440	-0.16131	0.08272	0.01994	0.05527	0.29732	-0.10185	-0.03968	0.32500	-0.15460	-0.02454	0.33569	-0.15341	-0.01880	0.26163	-0.19053	-0.01319	0.33594	-0.16722	-0.02455	0.21454	-0.07945	-0.05737	0.35699	-0.18529	-0.00309	0.27304	-0.02744	0.09245	0.19704	0.02933	0.15784	0.42014	-0.13837	-0.01249	0.48382	-0.23243	0.00260	0.35939	-0.22383	-0.01052	0.23351	-0.09673	-0.07484	0.44312	-0.22413	0.00864	0.25355	-0.09334	-0.05845	0.37985	-0.17336	0.00916	0.39308	-0.21571	0.00645	0.39281	-0.28445	0.07762	0.26744	-0.10901	-0.02211	0.24110	-0.14649	-0.01538	0.29634	-0.13443	-0.04737	0.39777	-0.21067	0.01729
4	0.34378	0.09467	-0.08475	0.06081	-0.05439	0.02954	0.36640	0.09117	-0.11525	0.09230	0.01504	0.07607	0.30850	-0.05531	-0.04975	0.36046	-0.11701	-0.03813	0.36406	-0.12297	-0.03716	0.30974	-0.16506	-0.02611	0.36805	-0.12995	-0.03137	0.25589	-0.02439	-0.07695	0.41730	-0.15993	-0.01794	0.23879	0.03561	0.12075	0.19540	0.09417	0.21375	0.45853	-0.09272	-0.02361	0.55131	-0.17732	-0.02177	0.41935	-0.17496	-0.03109	0.28281	-0.03127	-0.10023	0.48102	-0.16659	-0.00223	0.27725	-0.03298	-0.08107	0.38101	-0.11351	-0.00882	0.43213	-0.17671	-0.01076	0.45098	-0.26027	0.07499	0.28700	-0.05275	-0.04235	0.25379	-0.08512	-0.03779	0.33510	-0.08909	-0.06945	0.42886	-0.16290	0.00308
5	0.36525	0.10395	-0.01134	0.06712	-0.07497	0.03113	0.37663	0.10977	-0.04727	0.09773	0.01029	0.09943	0.30799	0.00711	-0.05750	0.37744	-0.06191	-0.04506	0.37976	-0.07463	-0.05691	0.34143	-0.12075	-0.03953	0.37709	-0.06821	-0.03267	0.29693	0.04436	-0.09331	0.46672	-0.11399	-0.03207	0.19327	0.10248	0.15174	0.18052	0.16998	0.27766	0.47448	-0.03116	-0.03047	0.60343	-0.09264	-0.04607	0.46587	-0.09302	-0.05568	0.31387	0.07018	-0.12633	0.48924	-0.07374	-0.01667	0.28124	0.05187	-0.10577	0.35432	-0.03019	-0.03111	0.44985	-0.11109	-0.03152	0.48655	-0.21116	0.06753	0.29717	0.02455	-0.06367	0.24892	0.00447	-0.06421	0.35705	-0.02176	-0.09364	0.44034	-0.08734	-0.01566
6	0.38104	0.11435	0.07814	0.07831	-0.09330	0.03449	0.37421	0.12861	0.03566	0.10245	0.00870	0.12444	0.31342	0.07631	-0.06143	0.38012	0.00427	-0.04046	0.39396	-0.01475	-0.07560	0.36020	-0.06410	-0.05104	0.37493	0.00983	-0.02574	0.33686	0.12092	-0.10512	0.50469	-0.05138	-0.04131	0.15035	0.16775	0.18617	0.15030	0.25382	0.34821	0.47604	0.03933	-0.02985	0.64896	0.01170	-0.06413	0.50079	0.01193	-0.08095	0.33248	0.20218	-0.15088	0.47262	0.04722	-0.03132	0.27824	0.15228	-0.13154	0.31509	0.06590	-0.05421	0.46077	-0.02858	-0.05199	0.50900	-0.14736	0.05911	0.29988	0.11937	-0.08170	0.23473	0.11368	-0.09065	0.36480	0.06379	-0.11735	0.43586	0.01267	-0.03481
