	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.07672	0.04940	-0.02339	0.04868	-0.02113	0.02650	-0.08101	0.05587	-0.03123	0.03021	0.00658	0.01756	-0.05723	-0.00278	-0.01398	0.03483	0.02887	0.02049	-0.00264	0.04010	0.00776	-0.10344	-0.04583	0.00151	-0.07240	-0.03166	0.01230	0.00876	0.03017	0.00970	-0.07877	-0.02397	0.01026	-0.06911	-0.02591	0.00978	-0.09081	-0.06032	-0.03401	0.01490	0.01975	0.03570	-0.08976	0.00895	-0.00200	-0.12758	-0.03993	0.03021	-0.11275	-0.09878	-0.05549	-0.11611	-0.04536	-0.00142	-0.12246	-0.08128	-0.06159	-0.07183	-0.02343	0.00204	-0.10450	-0.02427	-0.01204	-0.18106	-0.08304	0.00643	-0.09044	-0.02003	-0.01879	-0.10220	-0.05343	-0.00967	-0.11949	-0.06263	-0.04370	-0.08951	-0.02176	0.00194
2	-0.06670	0.06172	-0.02815	0.05473	-0.03210	0.03401	-0.06490	0.07034	-0.03849	0.03656	-0.00207	0.02236	-0.04198	-0.00439	-0.02143	0.06723	0.02673	0.01539	0.03095	0.04253	0.00454	-0.08826	-0.05871	-0.00906	-0.05201	-0.03229	0.00823	0.03126	0.02628	0.00656	-0.06934	-0.03340	0.00453	-0.00013	-0.00769	0.00103	-0.07001	-0.06498	-0.05342	0.05349	0.02412	0.03795	-0.07202	0.01529	-0.00548	-0.13098	-0.05694	0.02275	-0.13313	-0.11688	-0.07547	-0.11232	-0.05832	-0.01401	-0.11943	-0.09214	-0.08304	-0.06914	-0.03829	-0.00775	-0.10154	-0.02649	-0.01556	-0.18379	-0.10029	-0.00627	-0.08248	-0.02962	-0.03850	-0.10937	-0.07156	-0.02299	-0.11193	-0.06788	-0.06050	-0.07908	-0.02869	-0.00336
3	-0.04560	0.07389	-0.03144	0.05896	-0.04673	0.04258	-0.03899	0.08853	-0.04608	0.04489	-0.01758	0.02792	-0.01456	-0.00686	-0.03132	0.10918	0.02384	0.00608	0.07729	0.04269	-0.00279	-0.06394	-0.07232	-0.02561	-0.01454	-0.03038	-0.00220	0.05780	0.02220	0.00151	-0.04850	-0.04473	-0.00901	0.08145	0.01159	-0.01515	-0.04109	-0.07119	-0.07993	0.10379	0.02950	0.03604	-0.04141	0.02554	-0.01204	-0.12801	-0.07578	0.00524	-0.14272	-0.12841	-0.09956	-0.09656	-0.07244	-0.03494	-0.10282	-0.09882	-0.10825	-0.05983	-0.05419	-0.02405	-0.08512	-0.02789	-0.02107	-0.17425	-0.11710	-0.02681	-0.06632	-0.04069	-0.06532	-0.11234	-0.08974	-0.04392	-0.09255	-0.07071	-0.08175	-0.06217	-0.03615	-0.01431
4	-0.01483	0.08754	-0.03617	0.06535	-0.06714	0.05484	-0.00443	0.10852	-0.05511	0.05534	-0.03895	0.03553	0.02424	-0.01103	-0.04453	0.16074	0.02152	-0.00558	0.13609	0.04178	-0.01373	-0.03253	-0.08779	-0.04734	0.04269	-0.02569	-0.01903	0.08961	0.01906	-0.00383	-0.01307	-0.05839	-0.02977	0.16381	0.02760	-0.03729	-0.00613	-0.08266	-0.11397	0.16451	0.03762	0.03420	-0.00043	0.03945	-0.02235	-0.11524	-0.09449	-0.01893	-0.14580	-0.14191	-0.13446	-0.06975	-0.08941	-0.06412	-0.07810	-0.11014	-0.14299	-0.04459	-0.07161	-0.04608	-0.05674	-0.03218	-0.03077	-0.15912	-0.13809	-0.05354	-0.03841	-0.05248	-0.09922	-0.10760	-0.10791	-0.07296	-0.06396	-0.07809	-0.11234	-0.04137	-0.04712	-0.03191
5	0.02832	0.09814	-0.03913	0.07045	-0.08981	0.06792	0.04201	0.12565	-0.06195	0.06622	-0.06476	0.04427	0.07093	-0.01651	-0.05980	0.21748	0.02100	-0.01802	0.20454	0.04090	-0.02756	0.01027	-0.10067	-0.07253	0.11896	-0.01721	-0.04174	0.12688	0.01874	-0.00803	0.03908	-0.07148	-0.05531	0.24928	0.04475	-0.06361	0.03707	-0.09729	-0.15170	0.23165	0.05019	0.03106	0.05155	0.05495	-0.03524	-0.08057	-0.10677	-0.04859	-0.12888	-0.14794	-0.17258	-0.02710	-0.10415	-0.10028	-0.03708	-0.11792	-0.17916	-0.01916	-0.08644	-0.07259	-0.01447	-0.03794	-0.04275	-0.12828	-0.15635	-0.08522	0.00247	-0.06294	-0.13654	-0.08879	-0.12213	-0.10757	-0.02103	-0.08354	-0.14663	-0.01382	-0.05876	-0.05581
6	0.07980	0.10622	-0.04040	0.07566	-0.11330	0.08164	0.09689	0.14026	-0.06502	0.07786	-0.09164	0.05383	0.11872	-0.02257	-0.07650	0.27707	0.02592	-0.02864	0.27867	0.04295	-0.04206	0.06198	-0.10970	-0.09819	0.20610	-0.00559	-0.06779	0.17072	0.02402	-0.00966	0.10370	-0.08055	-0.08156	0.33492	0.06400	-0.09016	0.08863	-0.11276	-0.18861	0.30181	0.06997	0.02871	0.10921	0.07012	-0.04970	-0.02635	-0.11037	-0.07727	-0.09604	-0.14975	-0.21203	0.02685	-0.11510	-0.14040	0.01370	-0.12420	-0.21562	0.01383	-0.09724	-0.10050	0.03602	-0.04581	-0.05639	-0.08852	-0.17220	-0.11842	0.05462	-0.07046	-0.17437	-0.05834	-0.13175	-0.14424	0.03261	-0.08791	-0.18339	0.01793	-0.06986	-0.08426
