	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_1_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_2_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_3_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_4_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_5_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0001_6_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_4_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_5_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_6_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d	2014_06_03_CR008_BAREFOOT_GAIT0006_7_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04913	0.03754	0.01085	0.01642	-0.00712	0.01485	-0.03348	0.02643	0.02244	0.01409	0.00163	0.01133	-0.01294	0.01679	0.00319	0.03161	0.03438	0.01391	-0.04422	0.01763	-0.00125	-0.03691	0.02854	0.01083	-0.02500	0.01296	-0.00389	-0.00844	0.01013	-0.00540	-0.04973	0.02205	0.00429	-0.04931	-0.00940	-0.01572	-0.04290	0.01360	-0.01570	0.00370	0.02189	0.00650	-0.00979	0.03251	0.00889	-0.04391	0.03798	0.01306	-0.07443	-0.00748	-0.02410	-0.04484	0.02311	-0.00287	-0.09000	-0.01435	-0.02928	-0.03204	0.01942	-0.00487	-0.05381	0.02179	0.00046	-0.03461	0.04939	0.02080	-0.03465	0.02638	0.00792	-0.03499	0.02178	0.00234	-0.11392	-0.00573	-0.02450	-0.07628	0.01595	-0.00745
2	-0.04685	0.04003	0.01096	0.01378	-0.00639	0.01324	-0.02500	0.02614	0.02433	0.01812	0.00388	0.01487	-0.01113	0.01653	0.00389	0.03556	0.03451	0.01580	-0.03781	0.01448	-0.00313	-0.02983	0.03303	0.01476	-0.02030	0.01147	-0.00503	-0.00546	0.00636	-0.00532	-0.05201	0.02483	0.00607	-0.02215	-0.01590	-0.01995	-0.03313	0.00942	-0.02193	0.01415	0.01902	0.00720	0.00154	0.02716	0.00639	-0.03984	0.04010	0.01649	-0.07969	-0.00340	-0.02253	-0.03527	0.02967	0.00328	-0.09010	-0.01058	-0.02578	-0.02460	0.02073	-0.00244	-0.06008	0.02031	-0.00167	-0.02403	0.06147	0.03124	-0.02910	0.02835	0.01044	-0.02583	0.02927	0.01002	-0.10984	-0.00059	-0.01977	-0.06773	0.01864	-0.00505
3	-0.03896	0.04010	0.01001	0.01050	-0.00508	0.01090	-0.01248	0.02720	0.02613	0.02319	0.00705	0.01933	-0.00528	0.01414	0.00444	0.04238	0.03311	0.01800	-0.02431	0.00891	-0.00519	-0.02147	0.03684	0.01888	-0.00971	0.00903	-0.00526	-0.00070	0.00052	-0.00473	-0.04753	0.02836	0.00906	0.00935	-0.02376	-0.02420	-0.02053	0.00443	-0.02996	0.03060	0.01365	0.00808	0.01409	0.01718	0.00293	-0.03500	0.04209	0.02047	-0.07674	0.00236	-0.01947	-0.02002	0.03751	0.01188	-0.08085	-0.00532	-0.01995	-0.01392	0.02260	0.00181	-0.06080	0.01698	-0.00402	-0.00972	0.07405	0.04243	-0.02027	0.02911	0.01263	-0.01440	0.03917	0.02065	-0.09581	0.00620	-0.01239	-0.05223	0.02265	-0.00015
4	-0.02855	0.04168	0.00606	0.01061	-0.00523	0.01054	0.00311	0.02957	0.02730	0.02946	0.01004	0.02501	0.00402	0.00932	0.00439	0.05362	0.02972	0.02023	-0.00640	0.00075	-0.00794	-0.01305	0.03922	0.02260	0.00718	0.00449	-0.00541	0.00675	-0.00826	-0.00436	-0.03518	0.03170	0.01250	0.03840	-0.03341	-0.02988	-0.00729	-0.00141	-0.04106	0.05316	0.00637	0.00932	0.02802	0.00448	-0.00044	-0.02764	0.04410	0.02441	-0.07541	0.00408	-0.02021	-0.00052	0.04495	0.02014	-0.07147	-0.00499	-0.01800	-0.00133	0.02443	0.00586	-0.05714	0.01185	-0.00685	0.00666	0.08772	0.05407	-0.00629	0.02807	0.01397	-0.00015	0.05020	0.03259	-0.07901	0.00919	-0.00766	-0.03347	0.02682	0.00510
5	-0.01337	0.04082	-0.00097	0.01319	-0.00648	0.01080	0.02266	0.03124	0.02622	0.03581	0.01203	0.03080	0.01462	0.00174	0.00328	0.06807	0.02305	0.02148	0.01374	-0.01050	-0.01142	-0.00244	0.03845	0.02440	0.02922	-0.00346	-0.00632	0.01883	-0.01984	-0.00425	-0.01455	0.03282	0.01513	0.06490	-0.04464	-0.03561	0.00675	-0.00900	-0.05471	0.07907	-0.00367	0.01044	0.04099	-0.01228	-0.00448	-0.01287	0.04313	0.02619	-0.06623	0.00230	-0.02313	0.02564	0.05040	0.02743	-0.05407	-0.00782	-0.01759	0.01505	0.02539	0.00986	-0.04750	0.00418	-0.01006	0.02609	0.09768	0.06300	0.01211	0.02373	0.01313	0.01892	0.06011	0.04412	-0.05284	0.00981	-0.00384	-0.00927	0.03065	0.01094
6	0.00305	0.03958	-0.01138	0.01654	-0.00973	0.01197	0.04389	0.03203	0.02231	0.04195	0.01214	0.03625	0.02325	-0.00774	0.00067	0.08556	0.01317	0.02149	0.03189	-0.02413	-0.01576	0.00960	0.03453	0.02359	0.05222	-0.01487	-0.00934	0.03738	-0.03378	-0.00457	0.01178	0.03072	0.01577	0.08528	-0.05766	-0.04126	0.02096	-0.01920	-0.07050	0.10568	-0.01582	0.01152	0.05044	-0.03167	-0.00907	0.00854	0.03829	0.02507	-0.05443	-0.00532	-0.03039	0.05500	0.05218	0.03158	-0.03515	-0.01544	-0.02077	0.03253	0.02496	0.01276	-0.03612	-0.00551	-0.01386	0.04563	0.10336	0.06834	0.03308	0.01535	0.00944	0.04096	0.06725	0.05307	-0.02288	0.00586	-0.00331	0.01684	0.03318	0.01569
