	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0004_2_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	6.22021	1.17134	-17.28101	3.65533	8.19955	3.39536	-4.40175	1.95987	8.27119	2.60516	-24.67384	3.09921	10.18739	3.62915	-5.53329	1.60251	4.82471	3.37623	-23.53265	-10.17708	6.49329	10.42160	-2.34742	-5.85706	4.32667	-27.10020	14.06134	-6.04379	3.25644	-19.59696	9.41386	-7.42489	5.12494	10.94800	-19.69707	-21.00164	4.94472	4.73630	-3.92951	-5.02427	6.87883	-17.43084	14.26259	-5.91800	3.48946	8.23186	-22.08637	-23.26066	11.33477	8.32795	-6.14589	-5.52720	5.00942	-16.43926	9.15695	-4.05052	14.73361	6.89989	-25.20386	-20.97185	6.24054	8.36155	-3.78155	-8.86174	6.79458	-16.87035	6.95332	-4.93607	9.85631	7.08086	-26.10113	-21.00328	15.53738	16.88291	-6.63014	-6.93572	4.33927	-18.47005	10.41388	-1.01760	4.15595	-25.75274	13.12766	-5.41003	7.13996	-19.66082	8.40658	-3.66999	-0.03629	7.10970	-25.67929	-24.15258	12.73224	9.60196	-4.15830	-5.65617	5.65068	-17.51167	3.94292	-5.88064	5.22947	16.08934	-25.62059	-29.29271	11.52449	7.48763	-6.27167	-7.66167	7.07834	-13.12042	2.53055	-2.91534	3.50223	7.27553	-28.27171	-29.58570	8.31324	9.78351	-2.86614	-3.62888
2	6.57795	1.19137	-17.14226	3.88162	7.22209	3.76384	-4.01233	1.85314	8.58389	2.53298	-24.04685	3.42421	9.55292	3.97660	-5.42969	1.63773	5.09445	3.71049	-23.71832	-10.37385	8.25708	10.06138	-2.99225	-5.68558	4.57353	-25.51419	12.60793	-5.61076	3.58849	-19.99325	7.51017	-6.28607	4.92336	11.01037	-17.72071	-19.98163	3.43831	3.52349	-3.42897	-4.78870	7.17996	-17.60669	14.21593	-6.14736	3.72482	8.61690	-22.70497	-23.99142	11.85893	9.66192	-6.00540	-5.74080	5.59261	-15.62504	6.59640	-3.56216	14.57036	7.19580	-23.25140	-18.82845	4.20329	6.75563	-3.56516	-9.12376	7.19929	-16.14738	4.81518	-4.49687	10.09141	7.55854	-25.20106	-21.57658	14.46179	16.68042	-6.79597	-6.64758	4.57339	-18.94253	10.12895	-0.37362	4.21651	-24.20210	11.61863	-5.60585	7.28086	-19.05475	6.53175	-2.89745	-0.00898	7.35963	-26.61679	-24.00396	13.66444	8.50453	-3.91125	-5.25357	5.62865	-18.03535	2.68407	-4.92713	5.68397	16.33541	-24.47594	-28.11160	9.28023	6.03246	-5.70299	-7.67114	7.17356	-11.92546	1.42000	-2.75485	3.94699	7.57323	-28.31579	-30.25297	9.36480	11.18986	-3.33857	-3.68456
3	6.81799	1.21733	-16.61219	4.03107	5.98660	4.23200	-3.48038	1.82880	8.81304	2.45758	-22.86713	3.70352	8.46764	4.28864	-5.33317	1.52002	5.32924	3.92773	-23.12432	-10.27334	9.35707	9.02960	-3.55741	-5.15837	4.74857	-23.33638	10.58011	-5.07403	3.79792	-20.01484	5.73656	-5.11847	4.64083	11.06029	-15.66094	-18.93459	2.39033	2.39392	-3.48504	-4.51124	7.39675	-17.27212	13.46780	-6.15068	3.89064	8.88127	-22.69784	-23.83689	11.71378	10.13042	-5.68695	-5.88502	6.07734	-14.65281	4.13398	-2.98989	14.24854	7.44824	-21.04102	-16.79025	2.57348	4.96457	-3.79525	-9.15292	7.47190	-15.23101	2.50182	-3.81009	10.22466	7.96837	-23.65232	-21.54384	12.77103	15.63846	-6.75650	-6.15263	4.76025	-18.84731	9.50564	0.29349	4.24839	-22.27586	9.70831	-5.76964	7.31396	-18.02728	4.58001	-2.08786	0.00085	7.54820	-26.53571	-23.28261	13.74635	7.03100	-3.75899	-4.80988	5.45886	-18.11879	1.17358	-3.68835	6.02527	16.48190	-22.76055	-26.33127	6.57849	3.93045	-5.04858	-7.35209	7.23720	-10.56009	0.37994	-2.53618	4.33600	7.81154	-27.39878	-29.79523	9.65113	11.68043	-4.08218	-4.00975
4	6.92675	1.24983	-15.76730	4.06620	4.68377	4.51969	-2.89377	1.83773	8.94025	2.38285	-21.21318	3.77495	7.06052	4.34595	-5.28974	1.30367	5.51203	4.00425	-21.81557	-9.85392	9.69211	7.44764	-3.90295	-4.32090	4.84640	-20.75509	8.26114	-4.55933	3.86774	-19.73934	4.40724	-4.12904	4.28663	11.08744	-13.63417	-17.88991	2.04648	1.47589	-4.30098	-4.28271	7.51692	-16.47238	12.09429	-5.88699	3.97105	9.00181	-22.03353	-22.72875	10.90743	9.61431	-5.23947	-5.93389	6.43817	-13.68810	2.07151	-2.42684	13.77829	7.63711	-18.68143	-14.96579	1.63162	3.16067	-4.70614	-8.96155	7.59953	-14.24902	0.33652	-3.01075	10.24106	8.28198	-21.61008	-20.89972	10.66429	13.84593	-6.51845	-5.48851	4.88085	-18.17305	8.65972	0.82032	4.24570	-20.14361	7.61550	-5.91111	7.23154	-16.73178	2.90336	-1.40860	-0.02558	7.65876	-25.38496	-22.05057	12.93775	5.33877	-3.72938	-4.37859	5.13920	-17.78339	-0.37679	-2.31805	6.24127	16.51229	-20.64933	-24.18534	3.76992	1.47787	-4.44973	-6.73464	7.26282	-9.16647	-0.39794	-2.35390	4.65059	7.97671	-25.60920	-28.18940	9.08652	11.13418	-4.92845	-4.51287
5	6.89578	1.29081	-14.69457	3.97517	3.53848	4.49403	-2.41237	1.78096	8.95089	2.31101	-19.21168	3.59004	5.52014	4.07654	-5.37474	1.22656	5.62763	3.92357	-19.93007	-9.14734	9.30826	5.57313	-3.98372	-3.32971	4.86679	-17.99024	5.99838	-4.25166	3.78544	-19.23286	3.74281	-3.53732	3.87741	11.07500	-11.72361	-16.87420	2.46286	0.93353	-5.90214	-4.25650	7.53114	-15.30353	10.27233	-5.38808	3.95629	8.96740	-20.75020	-20.71984	9.55666	8.17754	-4.78707	-5.94191	6.64894	-12.85146	0.66507	-2.00699	13.18749	7.74214	-16.28119	-13.42973	1.51361	1.53463	-6.39493	-8.61647	7.57573	-13.29143	-1.36619	-2.31430	10.12799	8.47389	-19.27440	-19.70946	8.42862	11.51016	-6.15960	-4.75761	4.91435	-16.93863	7.78837	0.95543	4.20371	-17.96862	5.57742	-6.07926	7.03150	-15.30593	1.82390	-1.08661	-0.10577	7.67479	-23.26672	-20.41509	11.38009	3.64706	-3.88842	-4.06602	4.67183	-17.07741	-1.71806	-1.05569	6.33174	16.41763	-18.34432	-21.92685	1.24580	-0.93296	-4.11197	-5.97461	7.24253	-7.86704	-0.70480	-2.37676	4.87609	8.06070	-23.15333	-25.55905	7.71069	9.57809	-5.71117	-5.09657
6	6.72276	1.34235	-13.47278	3.78067	2.77691	4.16086	-2.24686	1.60645	8.83755	2.24163	-17.01703	3.18796	4.06447	3.56312	-5.67798	1.54806	5.66470	3.68015	-17.64875	-8.21980	8.38680	3.75295	-3.86431	-2.43232	4.81530	-15.25940	4.14481	-4.35658	3.54485	-18.54430	3.84579	-3.53855	3.44052	11.00367	-9.99225	-15.90672	3.46242	0.94148	-8.07323	-4.62842	7.43506	-13.88455	8.24722	-4.76166	3.84540	8.78388	-18.94129	-17.98461	7.86183	6.07893	-4.49743	-6.03110	6.68550	-12.19505	0.10806	-1.90742	12.52215	7.74600	-13.97742	-12.21883	2.14674	0.28994	-8.71516	-8.25255	7.40102	-12.40368	-2.33202	-1.99307	9.87822	8.52619	-16.84698	-18.08116	6.38529	8.92255	-5.82434	-4.11927	4.84342	-15.18532	7.12793	0.42033	4.11967	-15.88913	3.82152	-6.35646	6.71768	-13.84527	1.58750	-1.37748	-0.25168	7.58340	-20.41202	-18.49703	9.38035	2.20564	-4.33743	-4.03358	4.06338	-16.05262	-2.60749	-0.19577	6.30914	16.19825	-16.03868	-19.77299	-0.64074	-2.89052	-4.25264	-5.33220	7.16828	-6.74849	-0.34767	-2.81839	5.00425	8.06356	-20.29807	-22.15595	5.69928	7.22192	-6.33137	-5.70591
