	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05893	0.02512	0.02253	0.00930	-0.01406	0.00661	-0.07922	0.04425	0.03171	0.01115	-0.00136	0.00908	-0.02069	0.03378	-0.00802	-0.06608	0.03509	0.00048	-0.07854	0.01355	-0.01911	-0.04163	0.02369	0.00660	-0.02834	0.02644	-0.00994	-0.09651	0.03850	0.00280	-0.06406	0.01275	-0.01775	-0.00897	0.02626	0.00690	-0.06160	0.03247	-0.00668	-0.10698	0.05205	0.00217	-0.07215	0.02572	-0.01230	-0.09193	0.01895	-0.01443	-0.08713	0.01298	-0.02464	-0.14244	0.02741	-0.01400
2	-0.05701	0.02497	0.02461	0.01120	-0.01264	0.00696	-0.07002	0.05038	0.03292	0.01139	-0.00014	0.00930	-0.02030	0.03606	-0.00665	-0.04634	0.03644	0.00243	-0.08374	0.01059	-0.02036	-0.03047	0.02508	0.00719	-0.02895	0.02756	-0.01222	-0.09590	0.03979	0.00506	-0.06306	0.01322	-0.01695	0.00702	0.02672	0.00705	-0.05655	0.03065	-0.00860	-0.10668	0.05364	0.00436	-0.06040	0.03798	-0.00293	-0.07624	0.01975	-0.01343	-0.08606	0.01618	-0.02076	-0.14155	0.02899	-0.01366
3	-0.04868	0.02509	0.02611	0.01460	-0.01006	0.00976	-0.05079	0.05246	0.03282	0.01112	0.00156	0.00860	-0.01540	0.03750	-0.00354	-0.01906	0.03590	0.00487	-0.07938	0.00694	-0.02067	-0.01358	0.02510	0.00729	-0.02397	0.02673	-0.01399	-0.08232	0.03894	0.00691	-0.05784	0.01394	-0.01566	0.02777	0.02572	0.00678	-0.04995	0.02600	-0.01087	-0.09133	0.05325	0.00700	-0.03601	0.05073	0.00868	-0.05342	0.02001	-0.01082	-0.07821	0.02090	-0.01437	-0.12361	0.03085	-0.01113
4	-0.03467	0.02575	0.02546	0.01854	-0.00799	0.01337	-0.02560	0.05252	0.03087	0.01102	0.00275	0.00803	-0.00683	0.03682	-0.00036	0.01082	0.03347	0.00692	-0.06112	0.00232	-0.02032	0.00778	0.02299	0.00668	-0.01373	0.02273	-0.01645	-0.05785	0.03514	0.00772	-0.04804	0.01397	-0.01409	0.05317	0.02253	0.00603	-0.04414	0.01818	-0.01453	-0.06681	0.05130	0.00968	-0.00443	0.06014	0.01866	-0.02895	0.01848	-0.00896	-0.06438	0.02402	-0.00880	-0.09738	0.03218	-0.00879
5	-0.01457	0.02759	0.02178	0.02213	-0.00659	0.01664	0.00497	0.04912	0.02550	0.01102	0.00343	0.00708	0.00272	0.03370	0.00228	0.04158	0.02773	0.00840	-0.02665	-0.00362	-0.01922	0.03216	0.01719	0.00485	-0.00047	0.01583	-0.01926	-0.02206	0.02626	0.00719	-0.03426	0.01206	-0.01259	0.07996	0.01574	0.00440	-0.03618	0.00583	-0.01937	-0.03439	0.04571	0.01175	0.03401	0.06368	0.02589	-0.00067	0.01466	-0.00682	-0.04115	0.02499	-0.00387	-0.06182	0.03119	-0.00577
6	0.01030	0.03418	0.01375	0.02449	-0.00683	0.01880	0.03657	0.04317	0.01619	0.01140	0.00320	0.00645	0.01213	0.02578	0.00303	0.07015	0.01872	0.00908	0.01975	-0.01129	-0.01761	0.05608	0.00818	0.00194	0.01401	0.00518	-0.02292	0.02175	0.01103	0.00538	-0.01798	0.00758	-0.01159	0.10318	0.00519	0.00188	-0.02456	-0.01134	-0.02569	0.00037	0.03576	0.01275	0.07756	0.05874	0.02840	0.02819	0.00784	-0.00538	-0.00880	0.02160	-0.00145	-0.02376	0.02663	-0.00327
