	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	2.36154	0.84421	1.27890	1.52136	-6.26700	1.24907	-11.08408	4.56859	-2.26362	0.59005	-2.92044	1.78903	-4.90854	1.20274	-15.85171	5.01013	2.10722	0.64285	-9.05700	-13.14898	-2.12858	-1.44671	-7.24448	-10.87105	1.10308	-1.77290	-5.20598	-8.42252	-2.49859	-4.57828	-4.96946	-17.97792	2.62095	3.63023	1.69087	1.59112	-4.71158	-5.18512	-3.79333	-5.96522	-1.29917	0.25804	-3.99589	-20.87393	1.68012	0.46574	-6.73675	-19.40141	-1.75939	-3.38713	-3.80520	-14.26554	3.28905	0.21148	-7.16018	-11.09031	2.06171	2.68361	-5.77924	-10.90829	-2.76404	-2.89945	-5.64058	-7.76583	1.32605	3.01154	1.16074	2.45378	-6.23406	-5.92437	-15.32552	-13.60092	-2.37863	-3.59698	-4.26918	-19.56027	2.78540	3.66166	-6.67576	-9.18432	-3.01691	-4.79255	-4.43501	-19.64740
2	2.48587	0.82879	1.67537	1.50174	-6.05895	1.22674	-10.74654	4.41169	-2.07811	0.56102	-2.44988	1.83823	-5.24204	1.14428	-15.34629	4.85879	2.32647	0.92046	-8.73154	-13.13586	-1.93281	-1.10289	-7.30116	-10.52231	1.18372	-1.40336	-4.93848	-8.12589	-2.32473	-4.24396	-5.30109	-17.50358	2.67560	3.72969	2.04036	1.74291	-4.74476	-4.94252	-4.07368	-5.37758	-1.15625	0.79811	-4.44686	-19.56534	1.95057	0.92025	-6.53572	-18.58138	-1.58260	-2.90302	-4.16864	-13.60192	3.34300	0.90567	-6.87948	-10.69697	2.19235	3.06160	-5.35904	-10.92464	-2.39564	-2.03400	-6.25588	-7.54459	1.40682	3.13582	1.55995	3.09468	-5.94161	-5.67137	-15.35402	-12.40681	-2.34092	-3.33424	-4.57653	-19.16546	2.91467	3.91113	-6.84494	-8.78860	-2.81384	-4.32915	-4.64413	-19.52082
3	2.65704	0.82308	2.13330	1.48106	-6.04308	1.19217	-10.33370	4.25650	-1.84423	0.52773	-1.96121	1.87166	-5.73129	1.11901	-14.79186	4.66251	2.56250	1.17963	-8.48199	-13.21090	-1.68928	-0.72284	-7.59373	-10.35388	1.32765	-0.93614	-4.87704	-7.87710	-2.13228	-3.92756	-5.65988	-17.11142	2.78975	3.89857	2.49488	2.01794	-4.88839	-4.86090	-4.35261	-4.84732	-0.99678	1.24935	-5.12871	-18.06378	2.22838	1.49185	-6.59879	-17.64328	-1.36783	-2.43916	-4.66726	-12.84050	3.43211	1.64641	-6.73094	-10.05990	2.39253	3.48163	-5.25115	-10.76930	-1.97283	-1.10899	-6.99080	-7.30089	1.52458	3.30661	2.03370	3.73213	-5.87404	-5.72330	-15.26815	-11.05184	-2.23693	-3.01865	-5.04389	-18.50167	3.10768	4.19098	-7.14427	-8.25666	-2.51368	-3.76063	-5.03475	-19.37090
4	2.87568	0.82822	2.63699	1.46855	-6.19912	1.15441	-9.83278	4.11876	-1.57170	0.49423	-1.46947	1.89312	-6.29421	1.11952	-14.17333	4.45536	2.81351	1.41886	-8.30212	-13.30352	-1.40943	-0.34271	-8.02674	-10.30566	1.54372	-0.39496	-5.00489	-7.66401	-1.92357	-3.61166	-5.99572	-16.77809	2.96353	4.14710	3.05219	2.41550	-5.10131	-4.90810	-4.60395	-4.35025	-0.82146	1.62615	-5.90310	-16.41762	2.49549	2.15464	-6.91361	-16.59461	-1.13356	-2.01325	-5.21908	-11.97734	3.56528	2.36552	-6.76581	-9.16047	2.66194	3.93327	-5.40724	-10.43762	-1.51613	-0.17878	-7.74700	-7.01507	1.67451	3.52483	2.54551	4.34670	-6.01317	-6.05003	-15.02213	-9.59524	-2.06975	-2.65491	-5.60169	-17.58339	3.36691	4.53269	-7.52492	-7.59604	-2.12802	-3.11117	-5.56614	-19.13614
5	3.14408	0.84588	3.18083	1.46990	-6.48067	1.13852	-9.24862	4.01332	-1.26681	0.46665	-0.97618	1.90623	-6.84650	1.11882	-13.49980	4.26931	3.08326	1.65290	-8.18740	-13.35577	-1.10502	0.01262	-8.47933	-10.32535	1.84186	0.21367	-5.24894	-7.46944	-1.69350	-3.26541	-6.27247	-16.48004	3.19294	4.48452	3.71029	2.93440	-5.34125	-5.03635	-4.80359	-3.86573	-0.62433	1.96801	-6.63025	-14.71996	2.74384	2.87562	-7.42180	-15.46014	-0.89244	-1.62633	-5.75629	-11.04086	3.75248	3.01329	-7.00376	-8.02752	3.00090	4.42770	-5.73925	-9.94923	-1.03990	0.71750	-8.40308	-6.69724	1.85340	3.79362	3.07510	4.94745	-6.31495	-6.58149	-14.59158	-8.12793	-1.84243	-2.23699	-6.19468	-16.45981	3.69398	4.95785	-7.93150	-6.83524	-1.67001	-2.40265	-6.18941	-18.77536
6	3.46626	0.87883	3.76440	1.48775	-6.82103	1.16952	-8.60835	3.94706	-0.93063	0.45166	-0.47141	1.91057	-7.30472	1.08079	-12.80437	4.12270	3.37987	1.90751	-8.12460	-13.33245	-0.78532	0.33640	-8.82395	-10.37477	2.23155	0.88797	-5.49935	-7.27617	-1.43160	-2.85170	-6.46616	-16.19880	3.47341	4.91713	4.45473	3.57031	-5.55923	-5.19122	-4.93102	-3.38670	-0.39210	2.32177	-7.19148	-13.09224	2.97684	3.61643	-8.01401	-14.28963	-0.64827	-1.26632	-6.21976	-10.08656	4.00436	3.58058	-7.42331	-6.74466	3.41063	4.98716	-6.15470	-9.34805	-0.55193	1.55974	-8.82287	-6.38051	2.06262	4.11887	3.61557	5.55816	-6.71283	-7.22254	-13.98906	-6.75875	-1.55590	-1.75247	-6.77320	-15.21565	4.08734	5.46557	-8.30851	-6.02706	-1.14927	-1.64733	-6.83561	-18.28207
