	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	11.76424	3.87465	-20.87370	3.24987	11.23179	3.07742	5.44714	0.77870	12.71701	3.20132	-23.56491	2.85330	14.92658	4.02833	3.35462	1.20797	7.60997	-21.99862	12.90878	6.27338	12.61773	-25.49838	19.80096	5.84991	17.48698	-16.99655	6.20661	4.79639	13.04228	-23.75291	12.83185	2.38289	16.04000	11.72156	-16.61010	-16.99358	12.30021	11.22970	4.10230	6.14472	12.61841	-25.38033	11.62536	3.63420	9.58915	-21.96616	5.37726	6.11041	16.68721	-25.15795	14.97873	2.89581	13.92482	-22.79222	10.51354	5.79159	13.01042	-24.68610	13.97322	5.89113	7.74887	-17.45281	20.88566	3.48610	4.61314	10.28583	-18.95037	-25.36169	12.36015	13.61474	4.57043	5.90847	16.35707	-24.78159	10.21483	2.92447	13.36057	-22.38161	13.83369	4.88253	9.94749	-22.93036	14.14866	2.30894
2	11.86646	3.87175	-21.37194	3.17307	11.52491	2.70481	5.87830	0.90547	12.62525	3.25200	-22.92365	3.12283	14.41303	3.61668	3.69151	1.24004	7.92419	-22.17850	12.25542	6.78072	12.78874	-25.22764	19.39812	5.94608	17.75977	-18.35425	7.48384	4.88947	12.93507	-22.77598	12.38737	2.30815	16.02844	11.87050	-16.64028	-17.36749	11.89463	11.42429	4.25999	6.78275	12.53618	-25.24953	12.46290	3.97796	9.78809	-22.66658	6.21800	6.48437	16.58411	-24.53292	14.57234	3.26854	13.99055	-23.96844	11.34435	6.59873	13.12164	-25.02281	13.77133	6.30530	7.46214	-16.32837	19.03205	4.45331	4.66701	10.16719	-19.63954	-25.43880	12.45038	14.64234	5.13171	6.27617	16.24895	-24.05822	9.56785	3.30962	13.34723	-22.44271	13.76456	5.27377	9.82155	-22.29292	13.47054	2.57691
3	11.86565	3.85592	-21.85996	3.06825	11.86083	2.39696	6.36638	1.05541	12.43811	3.31577	-22.03835	3.28471	13.68323	3.26710	4.03507	1.26932	8.19357	-22.56441	11.75400	7.28197	12.88002	-24.58417	18.48785	5.94370	17.91570	-19.62273	8.64901	5.00654	12.74964	-21.75373	11.74043	2.35271	15.84462	11.89686	-16.74920	-17.94616	11.56459	11.77212	4.46493	7.48789	12.37430	-24.54013	12.89287	4.26527	9.87623	-23.48558	7.29669	6.95293	16.38659	-23.67600	13.97815	3.68929	13.99671	-25.03031	12.24999	7.43849	13.13029	-25.13010	13.43214	6.79326	7.06271	-15.12153	17.19256	5.34409	4.62802	9.96615	-20.34544	-25.29185	12.59483	15.58686	5.84086	6.67598	16.04035	-23.08936	8.88853	3.71246	13.20834	-22.43381	13.70805	5.72094	9.57316	-21.50353	12.60221	2.93796
4	11.75118	3.82407	-22.30817	2.93883	12.23994	2.22457	6.90207	1.21729	12.16179	3.38970	-20.96060	3.33182	12.83494	2.93702	4.34737	1.24817	8.39864	-23.11509	11.45937	7.76713	12.88435	-23.58817	17.14256	5.86257	17.92964	-20.69028	9.54822	5.22269	12.48658	-20.70576	10.92583	2.52354	15.48956	11.78566	-16.99520	-18.63809	11.41425	12.22356	4.71064	8.25026	12.14491	-23.27338	12.89574	4.47152	9.85795	-24.32349	8.49931	7.51892	16.10412	-22.65061	13.31241	4.12105	13.91465	-25.82870	13.10327	8.32070	13.02153	-25.05754	13.07065	7.31272	6.57366	-13.86887	15.57616	5.98091	4.49327	9.68602	-21.03802	-24.97742	12.84835	16.46858	6.65309	7.06724	15.73700	-21.98308	8.30918	4.08445	12.93484	-22.41785	13.76388	6.19735	9.20188	-20.65430	11.68268	3.38758
5	11.51851	3.77452	-22.68692	2.76287	12.68028	2.19471	7.43032	1.37183	11.80479	3.46811	-19.72083	3.30222	11.95199	2.58073	4.56803	1.12761	8.51873	-23.72333	11.35936	8.20209	12.80219	-22.26626	15.45513	5.70423	17.78507	-21.53476	10.15281	5.56760	12.14496	-19.65372	10.02706	2.77719	14.97714	11.53014	-17.42944	-19.36154	11.54099	12.77270	4.98654	9.00682	11.85821	-21.50131	12.49746	4.54392	9.74103	-25.03000	9.69431	8.11859	15.74673	-21.49482	12.66329	4.50351	13.71453	-26.27432	13.83243	9.21062	12.78965	-24.86688	12.83225	7.76484	6.02473	-12.54846	14.30768	6.18938	4.26602	9.33345	-21.69087	-24.53764	13.28609	17.31658	7.47239	7.35043	15.34540	-20.80776	7.91451	4.36566	12.52934	-22.42042	14.01532	6.62330	8.71133	-19.77345	10.79882	3.89235
6	11.17064	3.70684	-22.95741	2.50521	13.21339	2.25333	7.84423	1.49688	11.37788	3.54352	-18.34435	3.26943	11.13358	2.20157	4.59840	0.90342	8.53596	-24.23538	11.40241	8.51285	12.64138	-20.66038	13.56002	5.43605	17.47707	-22.19012	10.55068	6.00023	11.72466	-18.63367	9.20909	2.99280	14.33096	11.13385	-18.07891	-20.05894	12.02283	13.47401	5.26617	9.63546	11.52278	-19.31741	11.78621	4.40094	9.53452	-25.44826	10.80202	8.59939	15.32467	-20.24979	12.14308	4.72372	13.37151	-26.33103	14.43925	9.99655	12.44009	-24.59183	12.83676	8.01568	5.45043	-11.11259	13.45682	5.81668	3.95518	8.91940	-22.26414	-23.96810	13.98313	18.12733	8.14530	7.39562	14.87173	-19.59493	7.75423	4.46819	12.00788	-22.40737	14.49547	6.87500	8.10948	-18.84164	10.02559	4.35039
