	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.16845	0.03999	0.02696	0.01787	0.01180	0.00836	-0.18112	0.04541	0.04489	0.03168	0.01230	0.01391	-0.15486	0.08214	0.02687	-0.16357	0.00437	0.00768	-0.11770	0.05548	0.00713	-0.10708	0.04300	0.00748	-0.22191	0.04625	0.00070	-0.18030	0.01191	0.02554	-0.21788	0.03273	0.01367	-0.17340	0.04277	0.00461	-0.18714	0.04584	0.02751	-0.22398	-0.00524	-0.00071
2	-0.15247	0.04218	0.02762	0.01249	0.00346	0.01526	-0.16291	0.05363	0.04085	0.03617	0.00598	0.01646	-0.13166	0.08682	0.02653	-0.14299	0.01207	0.00597	-0.08473	0.04178	-0.00741	-0.08677	0.02541	-0.01327	-0.19410	0.05240	-0.00179	-0.18874	0.02064	0.02564	-0.18978	0.03665	0.00728	-0.15405	0.04332	-0.00832	-0.18821	0.03691	0.02080	-0.21585	-0.01364	-0.00822
3	-0.11515	0.04345	0.02394	0.01400	-0.01147	0.02415	-0.12721	0.06431	0.03139	0.04164	-0.00644	0.02044	-0.08630	0.08582	0.02133	-0.10591	0.01786	0.00105	-0.03723	0.02451	-0.02779	-0.05292	0.00275	-0.04177	-0.14557	0.05206	-0.00982	-0.17198	0.02725	0.01821	-0.13378	0.03646	-0.00505	-0.11117	0.03536	-0.02980	-0.17616	0.02149	0.00666	-0.19078	-0.02693	-0.02259
4	-0.05759	0.04429	0.01604	0.02206	-0.03174	0.03365	-0.07280	0.07797	0.01666	0.04671	-0.02478	0.02517	-0.02056	0.07830	0.01097	-0.05148	0.02112	-0.00697	0.02746	0.00511	-0.05223	-0.00683	-0.02223	-0.07524	-0.07338	0.04361	-0.02469	-0.12888	0.02761	0.00342	-0.05511	0.03348	-0.02188	-0.04563	0.02020	-0.05803	-0.14947	0.00158	-0.01368	-0.14803	-0.04530	-0.04426
5	0.01529	0.04413	0.00580	0.03113	-0.05440	0.04226	-0.00084	0.08976	-0.00245	0.04938	-0.04764	0.02899	0.06103	0.06279	-0.00457	0.01714	0.02176	-0.01706	0.10029	-0.01418	-0.07752	0.04703	-0.04635	-0.10950	0.02295	0.02748	-0.04560	-0.06124	0.02190	-0.01776	0.03697	0.03068	-0.03944	0.03655	0.00099	-0.08824	-0.10337	-0.02198	-0.03957	-0.08508	-0.06635	-0.07096
6	0.09497	0.04401	-0.00260	0.03910	-0.07482	0.04939	0.07912	0.09708	-0.02285	0.04934	-0.07126	0.03168	0.14928	0.04140	-0.02219	0.09137	0.02254	-0.02710	0.16529	-0.03063	-0.10072	0.10389	-0.06408	-0.13981	0.13237	0.00759	-0.06916	0.02189	0.01238	-0.03993	0.13195	0.03310	-0.05295	0.12577	-0.01692	-0.11431	-0.04231	-0.04574	-0.06633	-0.00902	-0.08687	-0.09791
