	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.07530	0.04117	0.01982	0.00483	-0.01201	0.00603	-0.05834	0.03750	0.03156	0.00633	0.00446	0.00693	-0.06648	0.03229	-0.00384	-0.04430	0.01561	-0.00984	0.00550	0.02869	0.00435	-0.02007	0.02488	-0.00780	-0.08956	0.04203	0.01488	-0.10078	0.01397	-0.02165	-0.11736	0.02103	-0.01392	-0.09399	0.02362	-0.00686	-0.06037	0.02927	0.00096	-0.08080	0.02552	0.00597
2	-0.07072	0.04313	0.02139	0.00561	-0.01023	0.00783	-0.04593	0.03965	0.03330	0.00751	0.00607	0.00699	-0.05115	0.03445	-0.00242	-0.04048	0.01606	-0.01003	0.02168	0.02861	0.00563	-0.01198	0.02668	-0.00252	-0.08051	0.04585	0.01643	-0.11309	0.01532	-0.02223	-0.10392	0.02179	-0.01223	-0.08411	0.02709	-0.00411	-0.05248	0.03026	0.00266	-0.06719	0.02732	0.00807
3	-0.05624	0.04225	0.02293	0.00646	-0.00731	0.00998	-0.02642	0.03956	0.03508	0.00910	0.00869	0.00718	-0.02507	0.03654	0.00056	-0.02998	0.01561	-0.01043	0.04052	0.02713	0.00658	-0.00093	0.02799	0.00421	-0.06007	0.05010	0.01981	-0.11000	0.01807	-0.02100	-0.07773	0.02207	-0.00991	-0.06257	0.03089	0.00057	-0.03900	0.03227	0.00586	-0.04850	0.02937	0.01065
4	-0.03388	0.03950	0.02331	0.00772	-0.00415	0.01229	0.00027	0.03811	0.03616	0.01159	0.01196	0.00823	0.00963	0.03738	0.00465	-0.01208	0.01376	-0.01069	0.06317	0.02280	0.00630	0.01307	0.02810	0.01074	-0.02548	0.05427	0.02538	-0.09264	0.01997	-0.01925	-0.04433	0.02103	-0.00748	-0.03344	0.03368	0.00591	-0.01966	0.03555	0.01014	-0.02631	0.03078	0.01331
5	-0.00692	0.03452	0.02173	0.00904	-0.00131	0.01376	0.03275	0.03549	0.03474	0.01498	0.01495	0.01043	0.05015	0.03525	0.00928	0.01102	0.00992	-0.01059	0.08571	0.01455	0.00399	0.02875	0.02641	0.01573	0.02259	0.05597	0.03177	-0.06294	0.02048	-0.01643	-0.00967	0.01790	-0.00554	-0.00177	0.03395	0.01030	0.00551	0.03831	0.01464	-0.00021	0.02960	0.01504
6	0.01970	0.02861	0.01759	0.00996	0.00015	0.01407	0.06567	0.03400	0.02938	0.01845	0.01626	0.01337	0.09193	0.02865	0.01292	0.03481	0.00423	-0.01045	0.10102	0.00285	-0.00054	0.04415	0.02288	0.01795	0.07565	0.05267	0.03669	-0.02912	0.01806	-0.01387	0.02101	0.01242	-0.00487	0.02763	0.03036	0.01201	0.03314	0.03869	0.01761	0.02660	0.02402	0.01460
