	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.32785	0.06570	-0.24898	0.03643	0.02044	0.01855	0.32766	0.04949	-0.20887	0.05353	0.02193	0.03094	0.32673	-0.27509	0.06058	0.32501	-0.22744	0.03800	0.41338	-0.31383	-0.01551	0.32712	-0.24112	0.02658	0.30382	-0.16977	-0.01674	0.24700	-0.26554	0.03823	0.38988	-0.22413	0.02543	0.23821	-0.21020	0.01467	0.37859	-0.26850	0.02670	0.27580	-0.15731	0.00702	0.36562	-0.21624	0.01444	0.28481	-0.16113	0.00029	0.38492	-0.26581	0.05502
2	0.37213	0.06476	-0.24873	0.04619	0.00963	0.01824	0.36687	0.06024	-0.19990	0.06540	0.01152	0.03554	0.36156	-0.28060	0.05534	0.36288	-0.23255	0.02321	0.46609	-0.32713	-0.01750	0.36661	-0.23891	0.01430	0.34695	-0.15964	-0.02395	0.31229	-0.28792	0.03774	0.45273	-0.22243	0.02046	0.27489	-0.20684	-0.00126	0.41972	-0.25361	0.01288	0.30195	-0.13856	-0.01236	0.40243	-0.19414	-0.00198	0.31367	-0.13208	-0.02029	0.42433	-0.26609	0.04993
3	0.41496	0.06100	-0.23099	0.05900	-0.00855	0.01781	0.40204	0.07399	-0.17443	0.08243	-0.00524	0.03974	0.40384	-0.27667	0.04185	0.39623	-0.21990	-0.00342	0.52050	-0.32603	-0.02311	0.40417	-0.22205	-0.00312	0.38192	-0.12793	-0.03544	0.39227	-0.29079	0.02493	0.51552	-0.20769	0.01069	0.32046	-0.18832	-0.02532	0.45017	-0.21669	-0.00612	0.32285	-0.10375	-0.03859	0.42089	-0.15319	-0.02367	0.33205	-0.07841	-0.04621	0.45608	-0.25213	0.03628
4	0.45784	0.07158	-0.19369	0.07146	-0.03209	0.01876	0.43525	0.09241	-0.12970	0.10485	-0.02596	0.04288	0.45102	-0.25587	0.01880	0.42575	-0.18540	-0.03973	0.59110	-0.30713	-0.03406	0.44038	-0.19242	-0.02224	0.41165	-0.06980	-0.05055	0.48927	-0.26521	0.00153	0.57612	-0.17539	-0.00252	0.36243	-0.14806	-0.05470	0.47412	-0.16104	-0.02660	0.34200	-0.05288	-0.06780	0.42184	-0.09654	-0.04883	0.33611	0.00374	-0.07313	0.49458	-0.22801	0.01943
5	0.48801	0.10197	-0.12992	0.07885	-0.05842	0.02292	0.45986	0.11382	-0.06146	0.12939	-0.04755	0.04316	0.49832	-0.21131	-0.01230	0.44138	-0.11933	-0.08307	0.66276	-0.25646	-0.04664	0.45807	-0.14158	-0.04249	0.42730	0.01926	-0.06423	0.59202	-0.20340	-0.02697	0.62667	-0.12103	-0.01622	0.38624	-0.08271	-0.08533	0.47351	-0.08115	-0.04790	0.35046	0.01649	-0.09614	0.40205	-0.02484	-0.07655	0.32710	0.11196	-0.09537	0.52929	-0.18411	-0.00103
6	0.50321	0.13968	-0.04329	0.07666	-0.08287	0.03050	0.47739	0.13711	0.02684	0.15275	-0.06514	0.04149	0.54303	-0.14060	-0.04715	0.45278	-0.02662	-0.12661	0.72028	-0.16654	-0.05614	0.45970	-0.07531	-0.06115	0.43765	0.13191	-0.07107	0.68183	-0.10616	-0.05260	0.66705	-0.04603	-0.02612	0.38479	0.00438	-0.11244	0.44878	0.01479	-0.06719	0.34731	0.10026	-0.11893	0.37429	0.05246	-0.10395	0.30902	0.23799	-0.10752	0.56026	-0.12251	-0.02003
