	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.04737	0.06664	0.04589	0.03367	0.00350	0.03637	-0.09011	0.05023	0.06269	0.03842	0.00323	0.04581	-0.18652	-0.01199	-0.08852	-0.07852	0.01231	-0.01903	-0.15164	0.05307	0.00661	-0.08789	0.01005	-0.02399	-0.04697	0.06956	0.02642	0.02253	0.02061	-0.05136	-0.05969	0.07902	0.03299	-0.04557	0.04865	0.02651	-0.03291	0.08118	0.03971	-0.09734	0.06570	0.00864	0.04244	0.09536	0.04607	-0.07119	0.07461	0.01424	-0.07894	0.09925	0.02564
2	-0.02995	0.07672	0.04361	0.03307	0.00189	0.03209	-0.08199	0.05614	0.06349	0.04464	0.00509	0.04732	-0.19098	-0.02235	-0.09039	-0.06936	0.01098	-0.01709	-0.14649	0.05244	0.00755	-0.09065	0.00364	-0.02766	-0.03641	0.07253	0.02946	0.05442	0.02548	-0.04436	-0.05813	0.08311	0.03182	-0.01084	0.04360	0.02304	-0.00949	0.07634	0.03281	-0.08866	0.06101	0.01278	0.06277	0.09280	0.03891	-0.05112	0.08028	0.01890	-0.06664	0.10638	0.02795
3	-0.00629	0.08872	0.03896	0.03184	-0.00289	0.02624	-0.06287	0.06734	0.05952	0.05155	0.00379	0.05015	-0.19385	-0.03952	-0.09811	-0.05257	0.00950	-0.01737	-0.13620	0.04589	0.00544	-0.08881	-0.00264	-0.03520	-0.01451	0.07251	0.02960	0.09354	0.02963	-0.03551	-0.03935	0.08234	0.02425	0.02720	0.03442	0.01585	0.02141	0.06603	0.01988	-0.06990	0.05167	0.01512	0.09140	0.08989	0.02669	-0.01583	0.08501	0.02596	-0.04375	0.10511	0.02590
4	0.02493	0.10215	0.03343	0.03246	-0.01080	0.02203	-0.03048	0.08190	0.04946	0.05953	-0.00078	0.05583	-0.18921	-0.06550	-0.11339	-0.02702	0.00783	-0.02150	-0.12111	0.03350	-0.00166	-0.07867	-0.00876	-0.04825	0.02253	0.06951	0.02721	0.14025	0.03207	-0.02700	0.00060	0.07343	0.01052	0.06461	0.02275	0.00580	0.06481	0.05613	0.00477	-0.03920	0.03842	0.01574	0.13161	0.09050	0.01226	0.03378	0.08566	0.03487	-0.01135	0.09523	0.02037
5	0.06677	0.11223	0.02847	0.03393	-0.02097	0.02038	0.01589	0.09654	0.03134	0.06804	-0.00838	0.06430	-0.17095	-0.10059	-0.13510	0.00913	0.00774	-0.02816	-0.09314	0.01475	-0.01486	-0.04914	-0.01100	-0.06336	0.07354	0.06019	0.02150	0.19237	0.03291	-0.01874	0.05928	0.05329	-0.00732	0.10367	0.01376	-0.00531	0.12490	0.04871	-0.01201	0.00709	0.01998	0.01548	0.17959	0.09241	-0.00433	0.09430	0.08042	0.04444	0.03205	0.07477	0.01070
6	0.12022	0.11797	0.02735	0.03661	-0.03115	0.02254	0.07323	0.10859	0.00820	0.07730	-0.01693	0.07420	-0.13675	-0.14147	-0.15893	0.05184	0.01184	-0.03545	-0.04431	-0.00643	-0.03234	-0.00123	-0.00777	-0.07796	0.13308	0.04644	0.01377	0.24921	0.03418	-0.01041	0.12834	0.02312	-0.02572	0.15036	0.01398	-0.01464	0.20347	0.04971	-0.02689	0.06650	0.00058	0.01621	0.23217	0.09591	-0.02039	0.16303	0.07277	0.05363	0.08518	0.04773	-0.00056
