	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	13.40915	0.87085	33.89502	1.60091	-4.27972	1.78723	2.29226	1.48112	14.15276	1.32505	36.73816	2.47692	0.55350	2.68622	1.21021	1.91458	14.09265	14.07951	35.10188	35.20377	-1.50520	-4.15740	0.93641	0.79541	14.06061	37.76098	0.29346	2.84875	15.28961	33.26116	-4.37024	5.04041	13.65662	35.37819	3.70502	-1.46325	13.40975	35.03006	-1.22742	2.50340	14.38106	35.22094	-2.08578	2.73408	14.13124	34.29103	-4.47858	1.35626	13.93914	16.73302	33.32364	42.29245	-3.42835	5.11562	0.28358	2.13768	12.74965	30.99125	-4.53146	1.59479	15.30040	12.67067	36.03012	33.97267	-1.65906	-0.14914	2.48406	-1.83742	17.45625	13.00239	36.52620	32.37319	-3.88155	-5.63648	3.58308	0.75270	14.30035	35.58163	1.54646	2.29842	15.70196	33.46529	-7.86934	4.51317	17.24129	37.41258	-0.32212	2.50717	14.35721	33.46128	-5.12578	2.34400	15.66348	36.18362	-1.97268	2.18614	13.37497	13.82798	32.47643	32.57418	-4.47250	-5.85396	2.04389	0.71502	13.61616	39.40100	3.83115	-2.01488	15.20582	35.87947	-2.52648	3.62084	13.56423	38.30010	1.76735	2.35813
2	13.21609	0.87884	33.43264	1.52637	-4.14745	1.54438	1.80787	1.56528	14.09167	1.23686	36.54177	2.49916	1.16771	3.40500	0.60714	2.00954	13.88297	13.95973	34.34388	34.85693	-2.46335	-3.90425	0.61911	0.26096	13.88964	37.40018	0.99020	2.44484	15.08634	32.83813	-3.71708	4.63310	13.57842	35.35815	5.44919	-2.28700	13.28067	34.32657	-2.72622	2.34895	14.24709	34.87161	-2.16084	2.14325	13.91845	33.90062	-3.89712	0.42611	13.89094	16.50410	33.54638	42.00835	-1.97287	6.88698	-0.25304	1.71879	12.54148	30.66579	-3.59851	1.12040	15.18083	12.72718	35.69485	33.76427	-2.16540	-0.96564	2.23523	-2.70241	17.31137	12.91145	35.89026	31.97955	-4.59849	-5.88142	3.27316	-0.14109	13.98016	35.02462	1.45138	1.57138	15.52638	33.11440	-7.78193	3.99942	16.95955	36.82701	-1.05349	1.79636	14.21192	32.96963	-4.59659	2.00009	15.49301	36.00228	-1.22184	1.40961	13.16587	13.64907	32.06456	32.19294	-3.72234	-5.18120	1.32760	0.41685	13.67261	39.92685	6.43690	-2.60122	15.06540	35.48106	-1.84830	3.21767	13.46040	38.07669	2.33794	1.80992
3	13.01024	0.89256	33.06529	1.47863	-3.35697	1.55319	1.13163	1.67943	14.02207	1.15061	36.35915	2.45800	2.23196	3.97056	-0.21980	2.06554	13.68409	13.83055	33.74005	34.58479	-2.66570	-3.04477	0.20497	-0.42290	13.74010	37.15308	2.18963	1.83713	14.86856	32.44150	-2.59549	4.00137	13.49753	35.32392	7.39151	-3.01579	13.12236	33.67662	-3.45311	2.04165	14.08940	34.59591	-1.53339	1.32560	13.70778	33.67507	-2.58332	-0.64564	13.82822	16.26866	33.80073	41.39339	-0.03452	8.20777	-0.99628	0.81254	12.31656	30.38879	-2.17004	0.50486	15.05259	12.77261	35.42059	33.62538	-2.02048	-1.05050	1.68801	-3.81852	17.16368	12.80383	35.41713	31.65040	-4.47179	-5.39655	2.73018	-1.24972	13.66855	34.59375	2.09903	0.67538	15.30645	32.92009	-6.82996	3.31421	16.66527	36.33855	-1.00227	0.79925	14.06571	32.61120	-3.43193	1.46768	15.29852	35.87143	0.04893	0.43106	12.93403	13.43827	31.73388	31.88371	-2.42222	-3.89215	0.34795	-0.24545	13.68894	40.33416	9.02582	-3.43484	14.90220	35.12554	-0.68362	2.66206	13.32138	37.85895	3.46205	1.05890
4	12.79261	0.91234	32.76525	1.46184	-2.05991	1.70699	0.31034	1.78243	13.94439	1.07328	36.17952	2.36408	3.64723	4.32747	-1.19553	2.04785	13.49502	13.69368	33.25865	34.37014	-2.21827	-1.70776	-0.34780	-1.18620	13.61285	36.96737	3.72060	0.99010	14.64289	32.06253	-1.15365	3.15876	13.39998	35.24171	9.40303	-3.53095	12.94447	33.10366	-3.45995	1.52646	13.91296	34.39162	-0.31690	0.34874	13.48980	33.55511	-0.73406	-1.72928	13.75037	16.03712	34.01343	40.57470	2.13790	9.23329	-1.86566	-0.44640	12.07547	30.14509	-0.40394	-0.17782	14.92340	12.80016	35.20519	33.55944	-1.32472	-0.45349	0.82501	-5.09320	17.02095	12.68202	35.09144	31.37741	-3.62880	-4.31067	1.97253	-2.45447	13.36254	34.28083	3.38389	-0.30516	15.04462	32.85149	-5.19794	2.48477	16.36810	35.97262	-0.22400	-0.40206	13.90598	32.31136	-1.85728	0.77092	15.08530	35.76186	1.69660	-0.67775	12.67639	13.18830	31.44844	31.59152	-0.73394	-2.20080	-0.77916	-1.16926	13.62997	40.53524	11.48024	-4.32199	14.71284	34.78143	0.82826	1.96495	13.15402	37.65015	5.03037	0.13298
5	12.55879	0.93933	32.50233	1.47240	-0.39884	1.88824	-0.55395	1.82820	13.85355	1.00962	35.98869	2.22992	5.32562	4.50316	-2.18540	1.94817	13.30791	13.54654	32.85050	34.19055	-1.26596	-0.01433	-1.04210	-1.91654	13.49316	36.77340	5.42894	-0.05663	14.41162	31.69459	0.49091	2.17961	13.27515	35.08461	11.36904	-3.75220	12.75679	32.61312	-2.85297	0.78853	13.71882	34.24737	1.36078	-0.67129	13.24764	33.46585	1.45761	-2.66187	13.64680	15.80510	34.12065	39.68879	4.36564	10.18944	-2.71487	-1.77599	11.81269	29.92561	1.58613	-0.81283	14.79503	12.80021	35.02780	33.56103	-0.20725	0.72625	-0.31409	-6.36911	16.88464	12.54717	34.88797	31.15327	-2.22249	-2.76570	1.08648	-3.59209	13.05119	34.05875	5.17037	-1.23703	14.74338	32.86639	-3.08047	1.60028	16.06854	35.72709	1.17837	-1.65621	13.71512	32.00655	-0.04856	0.00399	14.85276	35.64599	3.60271	-1.79517	12.38450	12.88850	31.17556	31.28172	1.22831	-0.26108	-1.86620	-2.16105	13.45798	40.48350	13.79308	-5.00785	14.49187	34.41855	2.56372	1.19239	12.95826	37.44526	6.93006	-0.87439
6	12.30167	0.97409	32.25288	1.50218	1.50790	2.04541	-1.33288	1.79448	13.73928	0.96035	35.77218	2.06915	7.18867	4.54590	-3.03268	1.79760	13.10834	13.38253	32.46629	34.02579	0.04766	1.93341	-1.81732	-2.48831	13.35480	36.51278	7.21034	-1.17537	14.17223	31.33727	2.26775	1.19515	13.12249	34.83339	13.19207	-3.65727	12.56647	32.19339	-1.76803	-0.13128	13.50219	34.14283	3.37289	-1.59603	12.96513	33.34130	3.81385	-3.31938	13.50104	15.55472	34.08608	38.82988	6.54780	11.26019	-3.37530	-2.87013	11.52061	29.72494	3.71684	-1.28126	14.66015	12.76193	34.85653	33.61206	1.20839	2.35114	-1.62029	-7.47291	16.74814	12.39885	34.78172	30.97009	-0.39695	-0.89841	0.20481	-4.50507	12.71761	33.88471	7.30202	-1.97915	14.40326	32.91948	-0.64713	0.78490	15.75738	35.57616	3.06879	-2.78313	13.47529	31.65948	1.88502	-0.69585	14.59501	35.50923	5.68481	-2.77011	12.04957	12.53271	30.90005	30.95103	3.38907	1.82980	-2.72022	-3.01460	13.15132	40.18893	16.01095	-5.28095	14.23252	34.01658	4.42978	0.46094	12.72672	37.23361	9.05471	-1.81150
