	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	1.50350	0.93986	2.85960	1.76672	-2.61969	0.40534	-18.79542	3.51556	-2.33468	0.65354	-1.22744	1.39351	-1.41263	0.62959	-23.95722	3.60721	3.74964	1.10369	4.33300	2.79336	-2.84289	-2.83280	-11.26776	-19.11480	-3.00034	-1.16156	-2.00777	-17.62696	-0.06985	4.57734	-2.96789	-25.96553	-2.17188	-1.83414	-2.13748	-24.56961	0.66861	0.44520	-2.20549	-16.63833	-3.29149	-0.82502	-0.64143	-27.48647	0.99040	0.26710	-2.84585	-16.17082	-1.24427	-2.08616	0.67884	-2.17200	-0.78039	-2.06932	-26.45834	-28.10447	1.68266	4.79417	-3.34453	-19.59874	-2.91601	-1.73323	-1.60873	-2.66972	-0.88227	-0.84159	-26.87920	-20.29194	1.94009	1.48602	4.78329	1.54020	-2.85213	-2.13964	-21.10365	-20.77735	-0.58224	-0.81866	-0.63686	-18.01406	0.89521	0.52915	-2.00391	-20.98308	-1.96798	-0.47759	-1.62392	-23.54272	1.99165	4.53346	-2.48853	-19.47441	-0.70397	0.13523	-1.33209	-22.15925	0.73146	1.60055	2.28577	4.11301	-2.10685	-2.56135	-21.44857	-23.48777	-1.76686	-4.26082	-1.76838	-20.49221	0.70647	2.17975	-2.86416	-21.29956	-1.16586	0.28484	-2.23000	-20.90623
2	1.58344	0.92657	3.26382	1.79644	-2.75018	0.39881	-18.88461	3.14781	-2.28379	0.64411	-0.95103	1.54042	-1.58896	0.63981	-23.84805	3.47590	3.79230	1.24019	5.18220	3.33249	-2.94966	-3.00041	-12.17878	-19.03034	-2.88190	-0.87854	-2.37393	-18.15911	0.01709	4.70266	-3.07999	-25.52068	-1.93872	-1.59539	-2.33285	-24.28861	0.72300	0.80636	-2.36552	-17.00925	-3.18492	-0.53603	-0.74890	-27.37476	1.11622	0.66202	-2.95702	-16.85870	-1.19787	-1.75964	1.01911	-2.30720	-1.22697	-1.82167	-26.23644	-25.82702	1.75485	5.02195	-3.43042	-19.52215	-2.89024	-1.75331	-1.38722	-2.33483	-0.90201	-0.89657	-27.02009	-20.23506	2.01951	1.57836	5.32212	1.91865	-3.02800	-2.26252	-20.80530	-20.43088	-0.53342	-0.38602	-0.93226	-17.76875	0.98156	0.89889	-2.24035	-21.06586	-1.97330	-0.22867	-1.68758	-23.33724	2.03751	4.98093	-2.52138	-20.38344	-0.66096	0.79477	-1.60856	-21.96179	0.79875	1.64447	2.62218	4.48221	-2.18991	-2.66728	-22.63658	-24.07699	-1.74793	-4.27614	-2.01573	-20.97546	0.79006	2.49701	-3.05989	-21.72289	-1.06475	0.70375	-2.52048	-20.56638
3	1.69999	0.90870	3.62209	1.80029	-2.87950	0.39102	-18.94105	2.80186	-2.18839	0.65761	-0.70498	1.68562	-1.74959	0.66219	-23.58251	3.32783	3.84993	1.41053	5.95286	3.84911	-3.07659	-3.19709	-12.97014	-18.89400	-2.74413	-0.69189	-2.75402	-18.59459	0.14011	4.79763	-3.15597	-25.12510	-1.64663	-1.41038	-2.37262	-23.94107	0.81924	1.20291	-2.49605	-17.64169	-3.02368	-0.21730	-0.88299	-27.14862	1.28060	1.04911	-3.08516	-17.57163	-1.10178	-1.40145	1.29610	-2.42980	-1.63510	-1.46518	-25.69761	-23.54385	1.86658	5.21899	-3.50165	-19.35817	-2.83140	-1.71609	-1.18002	-1.97705	-1.00796	-1.02051	-26.85100	-20.14514	2.11615	1.72623	5.75067	2.34788	-3.15654	-2.38157	-20.39802	-20.10405	-0.42044	0.04084	-1.21986	-17.46981	1.12759	1.26496	-2.49787	-21.11968	-1.91594	0.08548	-1.82531	-22.95345	2.07337	5.27126	-2.63152	-21.17930	-0.59447	1.35711	-1.94149	-21.48446	0.90400	1.72628	2.88359	4.74810	-2.27105	-2.75123	-23.79217	-24.32913	-1.70884	-4.35098	-2.09071	-21.37279	0.91026	2.75013	-3.23119	-22.02447	-0.92345	1.01814	-2.77933	-20.02118
4	1.85607	0.88671	3.93041	1.78261	-2.97749	0.38104	-18.92736	2.55241	-2.04261	0.69294	-0.49071	1.80753	-1.86374	0.70110	-23.16193	3.14258	3.92279	1.61524	6.58814	4.31813	-3.23810	-3.38547	-13.49003	-18.68320	-2.58158	-0.63522	-3.06052	-18.85606	0.30194	4.87057	-3.16011	-24.80622	-1.29272	-1.25117	-2.22595	-23.55076	0.95703	1.60039	-2.60695	-18.40761	-2.81235	0.10479	-1.01796	-26.77856	1.47953	1.40851	-3.17949	-18.21116	-0.95593	-1.00983	1.49602	-2.46264	-1.93872	-1.04470	-24.88610	-21.48372	2.02337	5.38713	-3.50311	-19.10047	-2.73443	-1.61090	-0.98432	-1.59804	-1.18677	-1.19032	-26.35129	-20.01498	2.23503	1.93506	6.08062	2.82742	-3.24602	-2.47839	-19.86230	-19.77043	-0.23146	0.44066	-1.46540	-17.09827	1.33910	1.62023	-2.73128	-21.08240	-1.79161	0.45719	-2.01380	-22.37529	2.11218	5.40591	-2.75271	-21.79873	-0.49926	1.79432	-2.27527	-20.75911	1.05341	1.86080	3.07503	4.96568	-2.33179	-2.76298	-24.78692	-24.22645	-1.64298	-4.46395	-1.99967	-21.65921	1.07803	2.94756	-3.33092	-22.16574	-0.73516	1.21385	-2.94581	-19.25876
5	2.05707	0.86168	4.19647	1.74868	-2.99738	0.37559	-18.82391	2.45385	-1.84334	0.74493	-0.29928	1.88927	-1.89621	0.75354	-22.61890	2.90214	4.01470	1.85898	7.06989	4.72207	-3.42043	-3.49978	-13.64380	-18.40812	-2.38279	-0.70369	-3.20514	-18.88923	0.50847	4.93412	-3.05012	-24.57120	-0.88094	-1.07543	-1.89761	-23.15495	1.13428	1.97799	-2.71674	-19.19106	-2.55606	0.40410	-1.11473	-26.27423	1.71344	1.73853	-3.16095	-18.70040	-0.75941	-0.57939	1.61399	-2.34475	-2.06803	-0.60252	-23.89211	-19.80421	2.23297	5.53226	-3.36473	-18.75807	-2.59421	-1.43548	-0.79731	-1.19471	-1.40555	-1.37846	-25.56017	-19.85759	2.37833	2.20580	6.33576	3.34631	-3.27940	-2.52735	-19.21315	-19.42735	0.04034	0.80072	-1.62306	-16.65852	1.62007	1.96670	-2.88550	-20.91223	-1.60073	0.87195	-2.20142	-21.63401	2.17655	5.41135	-2.78921	-22.20582	-0.36717	2.09726	-2.53396	-19.86267	1.25723	2.06758	3.21771	5.19010	-2.32387	-2.65209	-25.51398	-23.81154	-1.54121	-4.56699	-1.76971	-21.80827	1.30599	3.11128	-3.29580	-22.13337	-0.49202	1.30355	-2.95431	-18.31871
6	2.30831	0.83548	4.43696	1.70400	-2.89097	0.39860	-18.63040	2.51109	-1.59123	0.80582	-0.11290	1.92377	-1.81015	0.80942	-22.00669	2.61154	4.13449	2.14767	7.40899	5.05395	-3.57231	-3.46242	-13.41342	-18.10063	-2.13383	-0.85222	-3.12569	-18.67205	0.76680	5.00732	-2.79668	-24.40534	-0.42426	-0.84505	-1.42551	-22.79096	1.35154	2.32445	-2.81857	-19.89907	-2.25875	0.66593	-1.12693	-25.67198	1.98450	2.05328	-2.95531	-18.99946	-0.51337	-0.10583	1.65943	-2.05242	-1.95550	-0.14923	-22.83111	-18.57725	2.50107	5.66790	-3.03086	-18.35275	-2.40610	-1.19636	-0.61720	-0.76703	-1.61593	-1.55137	-24.56889	-19.69286	2.54522	2.53458	6.53718	3.88100	-3.21621	-2.49414	-18.49554	-19.08713	0.39524	1.12458	-1.63935	-16.17073	1.97189	2.31255	-2.90838	-20.58811	-1.34785	1.30966	-2.31229	-20.79804	2.29294	5.33763	-2.66842	-22.38946	-0.18966	2.27849	-2.62968	-18.89383	1.52434	2.36495	3.34604	5.47109	-2.19442	-2.39377	-25.91581	-23.17513	-1.39333	-4.59273	-1.43884	-21.81685	1.60653	3.27907	-3.07108	-21.93501	-0.18629	1.33382	-2.75148	-17.27797
