	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	1.95577	2.18624	-10.14084	2.62486	14.06423	1.08146	5.22431	1.43289	3.09097	2.03041	-12.84484	3.28811	7.35299	2.90594	3.37778	1.56810	7.82088	1.82648	-8.96082	-10.40985	14.81162	14.44480	7.15545	7.46269	0.85488	-8.09342	9.75270	4.54604	-0.90041	-9.86237	14.13752	2.49706	-1.45341	-11.05447	8.16582	3.63195	0.81075	-6.70138	15.77263	5.12497	-0.12473	-13.91267	8.69840	2.53713	3.43541	-5.87181	13.35387	4.82352	3.52877	7.10627	-14.02606	-10.41072	4.12713	0.90656	4.42732	-0.04962	1.42007	-9.43981	14.63252	5.50242	2.59137	4.51440	-14.55587	-12.00714	7.37593	8.69627	3.09014	2.71075	5.97437	3.99290	-13.33658	-10.72948	14.33922	13.51014	4.76876	4.47894	4.19368	-7.69922	7.18704	2.00109	7.06299	-10.26194	12.09152	3.12072	3.70981	-13.37774	8.25384	2.58070	4.45669	-12.63267	15.77613	5.22568	8.00996	-17.47359	8.32733	4.25867	-1.32249	5.24812	-7.93818	-15.52185	14.00394	12.87434	5.04504	6.82106	8.22955	-12.95004	4.69647	5.56380	1.84274	-10.16415	13.08680	5.88971	5.08373	-18.57716	12.04837	5.23539
2	2.02215	2.17082	-10.42534	2.52161	13.79121	1.28525	5.44939	1.63026	3.26316	1.99478	-12.72987	3.12569	7.16234	2.51143	3.43243	1.89315	7.84539	1.74701	-10.85741	-10.52887	14.90529	14.23601	8.27929	7.87149	1.42853	-9.61582	9.88024	4.89608	-0.87909	-9.37307	14.24219	2.29120	-1.55203	-10.48404	7.98307	3.52296	1.03848	-7.09191	15.43479	5.32770	0.06517	-13.48378	7.96401	2.77431	3.48131	-6.36312	12.79658	5.13368	3.53131	7.45164	-13.63141	-9.59659	3.50902	3.03389	4.73299	-1.42959	1.50175	-9.08883	14.01976	5.69637	2.95688	4.46797	-14.49813	-11.72796	6.77205	8.37965	3.19611	2.86498	6.01011	3.97822	-13.42887	-9.87037	14.71631	13.04373	4.74089	4.44816	4.47519	-7.95477	7.10109	2.30434	7.24732	-10.30964	11.67125	3.35657	3.92595	-13.36133	8.06739	2.80457	4.37834	-13.84043	15.81121	5.52341	7.87353	-17.49529	7.90341	4.88181	-1.48721	5.10215	-9.01363	-15.17649	13.76412	12.06577	5.35125	6.65560	8.37656	-12.57019	4.01995	4.97645	2.10816	-10.58677	12.57875	6.16641	5.40190	-18.33918	11.33427	5.66417
3	2.04398	2.15847	-10.49301	2.48151	13.40980	1.46386	5.58642	1.85204	3.37786	1.98982	-12.47366	2.97092	7.03512	2.16426	3.39030	2.22094	7.84416	1.59551	-12.55476	-10.44391	14.86200	13.95604	9.35355	8.16848	1.96524	-10.82256	9.96451	5.02575	-0.87629	-8.72503	14.19988	1.98508	-1.71049	-9.68042	7.97036	3.07441	1.19744	-7.64679	14.94251	5.62755	0.17107	-12.93144	7.17263	3.06201	3.45900	-6.80938	12.40533	5.19297	3.47326	7.79623	-13.09418	-8.90223	3.28912	5.23784	4.73535	-2.78933	1.54398	-8.46126	13.38040	5.66769	3.27835	4.34303	-14.30670	-11.34794	6.20984	7.94194	3.40533	3.06611	5.91888	3.83552	-13.13614	-8.96353	14.78059	12.47739	4.73106	4.47807	4.67687	-8.21926	7.02898	2.62468	7.32773	-10.23229	11.14080	3.58553	4.00490	-13.12679	7.77834	3.09586	4.28072	-14.46638	15.47922	5.63722	7.70223	-17.29729	7.59539	5.31706	-1.68200	4.86209	-9.94578	-14.39406	13.57133	11.16651	5.48912	6.44556	8.46834	-12.30820	3.76929	4.16997	2.31384	-10.62982	11.96536	6.26155	5.67646	-17.64697	10.46315	5.89643
4	2.01912	2.14848	-10.25304	2.52261	12.99009	1.55278	5.52642	2.09155	3.42154	2.01102	-12.03882	2.82068	7.02176	1.90909	3.16056	2.49879	7.81464	1.38692	-13.82956	-10.07096	14.65110	13.69744	10.30655	8.18064	2.44115	-11.55068	9.97528	4.90157	-0.89375	-7.87992	14.00677	1.51771	-1.91522	-8.65535	8.18136	2.21398	1.28579	-8.25638	14.33353	5.98842	0.19331	-12.23802	6.48130	3.22864	3.35727	-7.01317	12.21978	4.87161	3.35739	8.08751	-12.38606	-8.26951	3.58028	7.14440	4.27741	-4.00256	1.54325	-7.50450	12.83696	5.25930	3.54030	4.12670	-13.98039	-10.91842	5.81790	7.51819	3.59381	3.22995	5.70069	3.57237	-12.37700	-8.00777	14.51532	11.94402	4.69144	4.43699	4.78536	-8.38645	7.01030	2.83302	7.30013	-9.98765	10.62565	3.70146	3.91571	-12.61826	7.46177	3.34473	4.17797	-14.42994	14.86416	5.46276	7.50448	-16.82735	7.50818	5.38207	-1.91107	4.52382	-10.50592	-13.20841	13.45453	10.40637	5.32002	6.03313	8.48626	-12.14427	3.99472	3.13206	2.45122	-10.21828	11.31549	6.07345	5.89800	-16.49110	9.58746	5.79201
5	1.94534	2.13980	-9.64240	2.63347	12.61511	1.52924	5.15977	2.35444	3.38556	2.04984	-11.37683	2.67954	7.15222	1.70060	2.65019	2.67256	7.75077	1.13751	-14.50020	-9.34354	14.29800	13.54392	11.02242	7.74429	2.83113	-11.69580	9.91168	4.50749	-0.93815	-6.83331	13.65497	0.89284	-2.14322	-7.44208	8.61307	0.92932	1.30417	-8.78448	13.68769	6.29665	0.13893	-11.36311	6.02399	3.07896	3.16807	-6.79984	12.21480	4.11435	3.18719	8.28095	-11.44686	-7.63245	4.38435	8.43186	3.25283	-4.92760	1.49607	-6.19826	12.48387	4.36976	3.72958	3.81367	-13.50386	-10.44201	5.69724	7.21789	3.60194	3.24688	5.36617	3.20774	-11.12325	-6.99430	14.00422	11.59276	4.50349	4.15683	4.79926	-8.31201	7.07923	2.75951	7.16805	-9.53963	10.24925	3.59456	3.64245	-11.77011	7.20973	3.37844	4.07846	-13.73996	14.12553	4.89483	7.28245	-16.03325	7.71213	4.92071	-2.17969	4.08913	-10.51390	-11.66547	13.42810	10.00800	4.75056	5.22168	8.41624	-11.98661	4.67980	1.84007	2.51190	-9.31507	10.70527	5.51477	6.05848	-14.89388	8.86573	5.21372
6	1.82435	2.13099	-8.63692	2.77697	12.36627	1.41052	4.39681	2.63645	3.26898	2.09592	-10.43752	2.56063	7.42867	1.47568	1.78343	2.71189	7.64440	0.86442	-14.43591	-8.22707	13.87586	13.55159	11.33688	6.74555	3.11569	-11.21070	9.81150	3.81328	-1.01906	-5.62798	13.16463	0.16191	-2.36381	-6.10764	9.20633	-0.70694	1.25427	-9.09179	13.09528	6.40689	0.02134	-10.26543	5.88676	2.45719	2.89642	-6.05906	12.33689	2.92116	2.97080	8.35309	-10.19016	-6.88840	5.58402	8.89460	1.62043	-5.49232	1.40456	-4.57043	12.39306	2.96044	3.83635	3.40958	-12.84614	-9.87126	5.89038	7.08061	3.28103	3.03194	4.93713	2.77184	-9.41248	-5.90136	13.40532	11.52354	4.01739	3.50097	4.73323	-7.86631	7.27335	2.23799	6.94427	-8.86195	10.10361	3.17934	3.19092	-10.52506	7.09982	3.02139	3.98582	-12.48319	13.47123	3.84185	7.03363	-14.86671	8.23480	3.82215	-2.48718	3.57025	-9.85433	-9.81891	13.49318	10.12261	3.72232	3.84307	8.25818	-11.69415	5.73279	0.26259	2.49081	-7.93553	10.22477	4.52070	6.15358	-12.91833	8.44912	4.05246
