	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.30510	0.06911	-0.28403	0.02994	0.00921	0.00660	0.30421	0.10347	-0.27651	0.05814	0.00468	0.01503	0.45055	-0.30829	0.00375	0.33084	-0.26865	0.00375	0.23900	-0.29080	0.00909	0.27112	-0.24865	0.00054	0.32472	-0.26544	0.00240	0.19978	-0.29562	0.00749	0.31715	-0.31141	0.00972	0.23465	-0.31298	0.01542	0.23033	-0.25216	0.00812	0.42390	-0.33772	0.01836	0.31774	-0.28229	-0.00278	0.33101	-0.28335	0.01197	0.16047	-0.15790	-0.02239	0.32476	-0.25980	0.01375	0.41420	-0.33270	0.02726
2	0.38127	0.07207	-0.29647	0.03510	0.00136	0.01217	0.36924	0.12499	-0.27904	0.06796	-0.00542	0.01943	0.53483	-0.31493	-0.00837	0.40615	-0.27740	-0.00457	0.31620	-0.30532	-0.00245	0.35036	-0.25377	-0.01734	0.40210	-0.27098	-0.00901	0.27198	-0.31657	-0.00518	0.38017	-0.31246	-0.00140	0.31503	-0.33574	0.00759	0.27248	-0.26326	0.00098	0.51397	-0.35223	0.01506	0.39743	-0.28301	-0.01600	0.39282	-0.29567	0.00761	0.18098	-0.13507	-0.03759	0.39774	-0.26940	0.01670	0.50262	-0.33925	0.02689
3	0.44793	0.06551	-0.29274	0.04108	-0.01278	0.02027	0.42908	0.13911	-0.26308	0.07675	-0.02246	0.02186	0.59442	-0.30463	-0.02804	0.46441	-0.27070	-0.01940	0.40442	-0.30284	-0.02374	0.41587	-0.23989	-0.04455	0.46301	-0.25796	-0.02561	0.35906	-0.32444	-0.02733	0.44811	-0.28889	-0.02223	0.39393	-0.34091	-0.00929	0.32883	-0.26221	-0.01568	0.58065	-0.34952	0.00795	0.46392	-0.26588	-0.03431	0.44926	-0.29355	-0.00044	0.19207	-0.09583	-0.05252	0.45726	-0.26494	0.01642	0.57180	-0.32128	0.01930
4	0.49674	0.05452	-0.26835	0.04969	-0.03091	0.02975	0.48447	0.14929	-0.22796	0.08572	-0.04376	0.02331	0.63694	-0.27713	-0.05364	0.49677	-0.24653	-0.03921	0.49368	-0.28099	-0.05193	0.45204	-0.19709	-0.07668	0.49912	-0.22284	-0.04504	0.45220	-0.31699	-0.05520	0.51618	-0.23972	-0.04882	0.46127	-0.32530	-0.03269	0.39454	-0.24540	-0.03964	0.62060	-0.32713	-0.00128	0.52266	-0.23340	-0.05505	0.48557	-0.26687	-0.01027	0.20174	-0.03907	-0.06372	0.50635	-0.24403	0.01308	0.62555	-0.28004	0.00651
5	0.51768	0.04634	-0.21856	0.05757	-0.05008	0.03878	0.52232	0.14471	-0.16752	0.09059	-0.06594	0.02492	0.65028	-0.22226	-0.08216	0.48970	-0.19723	-0.06094	0.55711	-0.23071	-0.08282	0.46307	-0.12998	-0.10788	0.50786	-0.16588	-0.06445	0.52822	-0.28484	-0.08390	0.55847	-0.15829	-0.07641	0.49733	-0.27978	-0.05934	0.45739	-0.20840	-0.06629	0.61981	-0.27683	-0.01163	0.56382	-0.18030	-0.07403	0.50745	-0.21948	-0.01870	0.22791	0.03017	-0.06867	0.52799	-0.19444	0.00619	0.64126	-0.20284	-0.01122
6	0.51887	0.05097	-0.15033	0.06426	-0.06674	0.04613	0.54426	0.12896	-0.08619	0.09491	-0.08508	0.02867	0.65086	-0.14741	-0.10993	0.46185	-0.12958	-0.08064	0.59201	-0.15642	-0.11148	0.45404	-0.04890	-0.13293	0.49767	-0.09496	-0.08096	0.58276	-0.23193	-0.10823	0.57103	-0.05129	-0.10010	0.51289	-0.21286	-0.08457	0.50611	-0.15062	-0.09045	0.59676	-0.20903	-0.02058	0.59399	-0.11344	-0.08738	0.51659	-0.15747	-0.02240	0.27054	0.11170	-0.06582	0.52842	-0.11788	-0.00361	0.62528	-0.09588	-0.03042
