	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.04297	0.01133	0.02592	0.01419	0.01349	0.01028	-0.06563	0.03041	0.03186	0.01688	0.01351	0.00901	-0.05597	0.04826	0.01113	-0.02590	0.02764	0.01333	-0.05448	0.02624	0.01859	-0.05311	0.00864	0.01353	-0.03471	0.01533	-0.00108	-0.03203	0.01877	0.02809	-0.06349	0.01818	0.00143	-0.05721	0.02796	0.02533	-0.09063	0.00564	0.00436	-0.04034	0.05533	0.01632	-0.07171	0.05016	0.02802	-0.04956	0.03289	0.01166	-0.01345	0.02890	0.01749	-0.05093	0.02080	0.00073	-0.10969	0.04565	0.01356
2	-0.01704	0.01594	0.03294	0.01939	0.01251	0.01733	-0.05145	0.03471	0.04208	0.01903	0.01299	0.01583	-0.04153	0.05635	0.01010	-0.00237	0.03641	0.01704	-0.04554	0.03922	0.02084	-0.01930	0.01778	0.01370	-0.00834	0.01363	-0.01233	-0.01086	0.03352	0.03679	-0.04652	0.03004	-0.01103	-0.03570	0.03996	0.03249	-0.08169	0.01206	-0.00021	0.00200	0.07398	0.01407	-0.04324	0.07068	0.03704	-0.01763	0.03213	0.00679	0.00435	0.03621	0.02299	-0.04412	0.01610	-0.00844	-0.10600	0.05003	0.01123
3	0.02106	0.02447	0.03881	0.02617	0.00678	0.02612	-0.02561	0.03987	0.05094	0.02216	0.00724	0.02489	-0.02031	0.06167	0.00510	0.03451	0.04582	0.01882	-0.02691	0.05169	0.01736	0.03032	0.02875	0.01035	0.03086	0.01032	-0.02926	0.02367	0.05075	0.04230	-0.01285	0.04173	-0.03166	-0.00166	0.05118	0.03632	-0.06242	0.01754	-0.01168	0.05255	0.08789	0.00613	0.00063	0.09085	0.04281	0.02512	0.02913	-0.00475	0.03166	0.04630	0.02803	-0.02688	0.00667	-0.02565	-0.08904	0.04683	0.00074
4	0.07209	0.03330	0.04452	0.03414	-0.00278	0.03661	0.01197	0.04516	0.05811	0.02762	-0.00291	0.03608	0.01070	0.06405	-0.00296	0.08476	0.05642	0.01901	0.00380	0.06349	0.00902	0.09438	0.04297	0.00454	0.08288	0.00756	-0.04959	0.07254	0.07062	0.04567	0.03677	0.05289	-0.05824	0.04431	0.06154	0.03731	-0.03064	0.02204	-0.02934	0.11256	0.09665	-0.00657	0.05652	0.10986	0.04650	0.08032	0.02752	-0.02135	0.06500	0.05880	0.03239	0.00493	-0.00714	-0.05126	-0.05833	0.03564	-0.01771
5	0.13397	0.03929	0.05241	0.04246	-0.01445	0.04783	0.06278	0.04861	0.06509	0.03571	-0.01554	0.04842	0.05380	0.06447	-0.01239	0.14508	0.06918	0.01763	0.05123	0.07572	-0.00255	0.16505	0.06196	-0.00053	0.14329	0.00912	-0.06985	0.13596	0.09305	0.04681	0.10376	0.06453	-0.08682	0.10064	0.07182	0.03565	0.01564	0.02684	-0.05001	0.18107	0.10271	-0.02246	0.12536	0.12892	0.04883	0.14524	0.03274	-0.03931	0.09729	0.07393	0.03680	0.05544	-0.02126	-0.08355	-0.00759	0.02124	-0.04267
6	0.20078	0.04219	0.06576	0.05068	-0.02554	0.05955	0.12304	0.05334	0.07449	0.04519	-0.02738	0.06096	0.10318	0.06581	-0.02043	0.20902	0.08681	0.01579	0.11265	0.09089	-0.01330	0.23404	0.08767	-0.00203	0.20402	0.01846	-0.08692	0.21052	0.11890	0.04805	0.18491	0.07897	-0.11280	0.16059	0.08430	0.03391	0.07560	0.03375	-0.06927	0.25132	0.11121	-0.03856	0.20142	0.15021	0.05270	0.21795	0.04954	-0.05523	0.12633	0.09204	0.04161	0.11881	-0.03079	-0.11931	0.05719	0.00979	-0.07014
