	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04073	0.01395	0.01544	0.00872	0.00090	0.00834	-0.05213	0.04127	0.00324	0.00961	-0.00022	0.00967	-0.03122	0.00942	0.00353	-0.04170	0.01577	0.00187	-0.04270	0.00313	0.00071	-0.01748	0.01556	0.00322	-0.04201	0.02020	0.00513	-0.03143	-0.00112	-0.01536	-0.01816	0.01924	0.01739	-0.03545	0.00857	-0.00606	-0.06843	0.00749	0.00240	-0.05720	0.02621	0.00728	-0.07565	-0.00785	-0.01158	-0.06149	0.01449	-0.00016	-0.00348	-0.00560	-0.00484	-0.03907	0.02384	0.01131	-0.12530	-0.00316	-0.00911
2	-0.03438	0.01353	0.01516	0.01205	0.00052	0.01303	-0.04451	0.04639	0.00321	0.01354	0.00038	0.01295	-0.03078	0.00894	0.00339	-0.03623	0.01603	0.00156	-0.03551	0.00310	0.00094	-0.00615	0.01439	0.00311	-0.03702	0.02150	0.00793	-0.02779	-0.00643	-0.02310	0.00092	0.02719	0.02504	-0.03250	0.00331	-0.01339	-0.06038	0.00833	0.00312	-0.04952	0.02759	0.00873	-0.06991	-0.01342	-0.01634	-0.04806	0.01505	0.00128	0.01031	-0.00947	-0.00583	-0.03780	0.02981	0.01803	-0.12622	-0.00219	-0.00762
3	-0.02063	0.01400	0.01427	0.01615	0.00082	0.01828	-0.03033	0.04882	0.00306	0.01743	0.00204	0.01604	-0.02352	0.00852	0.00402	-0.02132	0.01588	0.00210	-0.02509	0.00289	0.00201	0.01279	0.01273	0.00338	-0.02329	0.02255	0.01139	-0.02123	-0.01267	-0.03022	0.02483	0.03396	0.03311	-0.02589	-0.00402	-0.02119	-0.04745	0.00903	0.00433	-0.03252	0.02751	0.01075	-0.05470	-0.01898	-0.01975	-0.02774	0.01518	0.00382	0.02742	-0.01453	-0.00602	-0.02587	0.03698	0.02657	-0.11378	0.00050	-0.00340
4	0.00172	0.01674	0.01222	0.02078	0.00151	0.02358	-0.00994	0.04834	0.00176	0.02115	0.00405	0.01894	-0.00642	0.00728	0.00518	0.00462	0.01505	0.00346	-0.01034	0.00180	0.00338	0.03996	0.00968	0.00403	0.00001	0.02239	0.01457	-0.01110	-0.01991	-0.03642	0.05280	0.03810	0.04075	-0.01503	-0.01340	-0.02900	-0.02929	0.00898	0.00567	-0.00423	0.02529	0.01285	-0.03234	-0.02576	-0.02242	0.00045	0.01417	0.00662	0.04474	-0.02110	-0.00569	-0.00095	0.04450	0.03598	-0.08870	0.00300	0.00151
5	0.03183	0.02178	0.00842	0.02496	0.00229	0.02777	0.01811	0.04305	-0.00135	0.02401	0.00593	0.02083	0.02098	0.00420	0.00659	0.04062	0.01296	0.00568	0.01256	-0.00089	0.00444	0.07129	0.00425	0.00467	0.03020	0.01995	0.01648	0.00530	-0.02706	-0.04005	0.08598	0.03738	0.04592	0.00135	-0.02410	-0.03557	-0.00505	0.00736	0.00652	0.03475	0.01996	0.01425	-0.00055	-0.03350	-0.02357	0.03290	0.01140	0.00846	0.05799	-0.02919	-0.00546	0.03820	0.05002	0.04440	-0.04512	0.00518	0.00706
6	0.06488	0.02859	0.00253	0.02845	0.00252	0.03056	0.05113	0.03726	-0.00694	0.02601	0.00679	0.02167	0.05293	-0.00122	0.00752	0.07957	0.00911	0.00823	0.04215	-0.00633	0.00413	0.10272	-0.00375	0.00498	0.06169	0.01501	0.01659	0.02680	-0.03476	-0.04176	0.12464	0.03138	0.04791	0.01932	-0.03599	-0.04099	0.02498	0.00319	0.00607	0.07656	0.01192	0.01432	0.03650	-0.04290	-0.02387	0.06760	0.00666	0.00871	0.06682	-0.03854	-0.00570	0.08477	0.05202	0.05013	0.00994	0.00581	0.01147
