	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	14.29707	0.20646	38.86391	3.09487	5.00905	3.91735	2.72080	1.96851	17.54160	0.53807	42.32912	3.49277	3.50056	3.33302	4.47405	2.24744	13.64147	35.92950	0.61499	0.19980	15.83298	43.84253	2.21425	3.19193	14.35667	37.35357	4.14535	0.90819	17.69692	47.72789	10.23703	5.80618	14.09464	12.45560	36.95456	34.81634	-0.04878	6.20475	1.51691	3.62020	13.42280	37.39507	2.03396	5.59381	14.90176	40.35270	3.62727	3.13195	16.04412	42.91769	3.88662	6.52152	13.33960	11.20757	36.46822	37.46869	8.22542	8.27920	2.22461	3.56198	14.17158	39.99428	4.85704	5.99032	12.78735	35.87413	5.68357	4.89926	12.78588	36.51056	0.32823	4.25456	15.89902	15.14304	43.77931	36.41104	14.63938	7.35353	2.84164	1.79596	17.94313	40.05489	-0.26570	6.28697	14.20300	42.08587	4.78344	-0.78202	15.52180	42.87432	-1.83267	2.33794	13.99829	39.24757	7.35951	3.84936	18.23205	47.69150	4.51133	5.06554	17.44472	44.98320	2.54254	2.10764	15.38897	44.25821	6.88314	6.81123	15.98027	40.48539	1.07392	3.65212	15.98901	41.70410	3.24380	2.54887	15.78398	40.74865	0.65170	7.28437	16.30946	42.97840	5.90965	-0.72029
2	14.23608	0.22989	39.22596	3.19824	7.24906	3.59875	2.39437	1.95920	17.66169	0.59193	42.87183	3.59097	5.82509	3.41100	4.19035	2.20727	13.50607	36.45634	2.79291	0.00922	15.78207	44.71811	5.50048	3.89309	14.30244	38.15265	7.06861	0.64230	17.83256	48.27251	12.31184	5.63691	13.90193	12.53837	37.47942	35.15400	2.65407	8.15092	1.43859	2.88265	13.40207	37.58757	3.14508	5.53793	14.85935	41.29692	6.68975	2.61835	16.00815	43.19458	5.71064	5.55558	13.31536	11.29477	36.50377	37.93661	10.32799	10.99512	1.14497	3.11334	14.16896	40.71679	7.93847	5.62178	12.63376	35.77668	6.92013	4.39175	12.75786	37.12481	2.80641	3.82368	15.83926	15.03815	42.82707	35.91336	15.87216	8.95417	2.59299	1.73310	17.69592	40.17583	1.89120	5.90618	14.30469	42.76667	7.64981	-0.85933	15.42943	43.51469	0.43640	2.33449	14.10857	39.63528	8.77060	3.73378	18.25727	48.46133	7.49898	4.67063	17.44477	45.83003	5.44012	1.79465	15.48793	44.85922	9.28966	6.48954	15.97255	40.89853	2.94268	3.44946	16.06040	42.33040	5.23238	1.99131	15.74244	41.76223	3.50681	7.22965	16.32667	43.50615	8.13958	-1.17688
3	14.20466	0.26165	39.49004	3.40722	9.53795	3.16810	1.82153	1.95744	17.83169	0.65563	43.38703	3.66366	8.39064	3.47103	3.70655	2.24147	13.37381	36.90762	5.16482	-0.43455	15.74980	45.42976	8.78097	4.34276	14.28019	38.82243	9.98722	0.16870	18.02096	48.66149	14.31017	5.08607	13.74065	12.63512	37.83891	35.34697	5.26986	10.07839	1.02902	1.89834	13.46083	37.96203	4.88787	5.31362	14.85390	42.24524	10.02976	1.84979	16.00252	43.54775	8.03115	4.36826	13.25064	11.38515	36.36312	38.11340	12.35532	13.34606	0.17120	2.33420	14.18773	41.20315	10.74539	4.95723	12.54761	35.73716	8.43942	3.57078	12.77769	37.76149	5.53037	3.15841	15.79872	14.90942	41.53451	35.29023	16.49633	10.37931	1.95491	1.52179	17.42505	40.09504	4.04981	5.13988	14.37715	43.19922	10.40295	-1.17214	15.36422	44.13786	3.10981	2.21485	14.25850	40.10303	10.61504	3.32464	18.33576	49.16475	10.59857	4.65355	17.49320	46.70863	8.65558	1.20088	15.60984	45.47805	12.02202	5.96528	16.01382	41.43721	5.26636	2.97573	16.18785	43.08477	7.77370	1.17398	15.71242	42.70289	6.58278	6.92963	16.38415	44.11819	10.84785	-1.89533
4	14.16780	0.29137	39.63152	3.70993	11.81683	2.79033	1.13106	1.94003	18.02873	0.72130	43.81184	3.70830	11.02794	3.48756	3.00141	2.32788	13.24257	37.21349	7.56105	-1.09523	15.73829	45.87319	11.78481	4.41263	14.25191	39.28285	12.79076	-0.39040	18.23696	48.83343	16.13911	4.13816	13.60253	12.71384	37.97410	35.34066	7.66629	11.90272	0.29827	0.85995	13.59155	38.46446	7.07023	4.85154	14.87883	43.09174	13.44137	0.98572	16.00780	43.92919	10.69893	3.11573	13.12807	11.46313	36.10402	38.04404	14.37225	15.36862	-0.38281	1.43266	14.21154	41.43618	13.23692	4.13361	12.50183	35.70147	10.14683	2.52411	12.83559	38.33105	8.32395	2.36957	15.76723	14.73551	40.14331	34.61807	16.86504	11.74081	1.13612	1.31266	17.14677	39.81583	6.15213	4.04734	14.37599	43.35550	13.00440	-1.61851	15.33846	44.65903	5.93019	1.85702	14.40826	40.57053	12.78990	2.74553	18.44836	49.72820	13.62506	4.37455	17.55796	47.53873	12.05149	0.44022	15.73822	46.03864	14.85620	5.33530	16.08814	42.00627	7.84463	2.26169	16.35183	43.89655	10.68677	0.15852	15.68922	43.48792	9.70630	6.45591	16.46417	44.73635	13.83094	-2.77703
5	14.09320	0.31176	39.65835	4.04465	14.10513	2.63019	0.55635	1.91615	18.22452	0.78272	44.10320	3.72798	13.63092	3.47455	2.21021	2.40835	13.10324	37.33878	9.89177	-1.81482	15.73906	45.97498	14.33412	4.06140	14.18320	39.50309	15.45023	-0.81065	18.45047	48.77127	17.79515	2.91942	13.46979	12.74636	37.87265	35.13720	9.81606	13.64323	-0.61291	0.06992	13.77213	39.01086	9.49134	4.16010	14.91160	43.75138	16.80534	0.30024	15.99334	44.28038	13.58466	2.04803	12.94781	11.51333	35.80392	37.83033	16.41414	17.23368	-0.34532	0.76616	14.21872	41.46208	15.48976	3.39951	12.45857	35.63150	11.99824	1.46313	12.90827	38.76765	11.06844	1.64892	15.72915	14.49603	38.92353	34.00266	17.44980	13.24720	0.51621	1.34975	16.87138	39.40752	8.25424	2.86723	14.26476	43.27337	15.53596	-1.94963	15.35256	45.03090	8.72982	1.22321	14.51191	40.96825	15.21525	2.21527	18.56278	50.09853	16.47981	3.90229	17.59068	48.25507	15.55993	-0.23456	15.84652	46.46865	17.61958	4.78464	16.16422	42.51390	10.53230	1.44644	16.52211	44.68426	13.80418	-0.88602	15.65532	44.06963	12.78376	5.98609	16.53932	45.28124	16.91991	-3.60621
6	13.95965	0.31994	39.60627	4.34280	16.45691	2.71455	0.35057	1.94159	18.39095	0.83524	44.24684	3.72396	16.14661	3.45491	1.53728	2.44235	12.94371	37.29274	12.14743	-2.34804	15.73870	45.71458	16.37668	3.38108	14.05200	39.50357	17.98786	-0.85943	18.63207	48.51131	19.35711	1.70958	13.32372	12.71675	37.58325	34.79362	11.80554	15.37429	-1.43708	-0.18893	13.96788	39.50562	11.97540	3.35560	14.92617	44.18355	20.06252	0.06100	15.92592	44.54464	16.55478	1.40146	12.72728	11.52540	35.50512	37.59484	18.41259	19.13547	0.23079	0.64896	14.19226	41.37191	17.62169	2.98510	12.38150	35.51729	13.98244	0.66858	12.96733	39.04350	13.68255	1.18515	15.66502	14.18025	38.08533	33.55412	18.66977	15.11458	0.51538	1.85227	16.60470	38.98317	10.45335	1.94368	14.02713	43.04983	18.13426	-1.87518	15.39299	45.25389	11.45292	0.42191	14.52715	41.24995	17.81963	1.97773	18.64222	50.25798	19.14404	3.42776	17.54160	48.82890	19.15388	-0.51917	15.90575	46.71880	20.19436	4.50429	16.20329	42.90052	13.25719	0.75422	16.66333	45.37115	16.97523	-1.73634	15.58549	44.45137	15.79615	5.77750	16.57874	45.68548	19.97126	-4.13184
