	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	1.33712	0.11596	-1.21161	2.01442	-3.30702	0.82089	-8.70562	0.21677	0.76723	0.24903	-3.74836	2.36464	-2.15476	0.90415	-21.29936	2.98922	0.96890	-1.18550	-3.58388	-8.01727	-0.02356	-3.12740	-2.14994	-30.79139	1.37060	0.83425	-3.18394	-8.76820	0.83912	-4.08616	-3.65741	-20.43645	0.01971	-0.70708	-1.64716	0.41588	-3.39380	-3.32098	-14.07635	-17.75800	1.41353	-0.67859	-3.12475	-14.15100	-0.60729	-3.64463	-3.44364	-16.50195	0.48352	-5.81133	-2.03319	-19.01536	0.06114	1.37113	0.42600	-3.76346	-2.85312	-1.44383	-16.60840	-14.57589	1.77459	-1.76789	-1.49025	-24.18491	-1.49908	-3.85098	-4.47651	-11.22671	2.51269	-0.82151	-2.83566	-20.20465	-0.93132	1.24733	-2.87917	2.86408	-2.36793	-2.69809	-15.71759	-10.16644	-0.55339	-5.37301	-1.97464	-26.75601	1.04506	-1.75165	-3.07343	-13.76028	1.29396	-8.70768	-0.72169	-20.91273	1.28572	-2.44061	-3.28006	-8.38810	2.69429	-4.28819	-1.29862	-22.85477	0.29831	-0.71652	-4.28644	-15.11144	2.14168	-3.54150	-2.84983	-20.61969	-0.45266	-1.99936	-4.71065	-9.86290	3.39507	-1.51614	-2.69668	-21.07487	1.15499	1.16461	-3.48899	-18.33418	0.68494	-5.26089	-1.02441	-20.54234
2	1.70606	0.15346	-0.93966	2.03140	-3.06092	0.74099	-8.97134	0.09804	1.01022	0.25236	-3.51493	2.43953	-2.02218	1.02463	-20.71726	2.89996	1.21876	-0.73978	-3.29024	-8.66002	0.20886	-3.12252	-1.82565	-29.92587	1.75036	1.17616	-2.97348	-8.99964	1.08307	-3.93834	-3.82531	-19.88012	0.44098	-0.45903	-1.35492	0.72675	-2.98521	-3.07813	-13.33969	-17.81866	1.64864	-0.24290	-3.26759	-14.29616	-0.27331	-3.33644	-2.84558	-16.71214	0.71353	-5.72939	-1.91871	-19.18099	0.47384	1.74498	0.81422	-3.30290	-2.90010	-1.15414	-16.40619	-14.52749	2.08296	-1.50082	-1.08017	-22.64823	-1.08669	-3.63327	-4.19989	-11.61934	2.82362	-0.47612	-2.68621	-20.27401	-0.63628	1.42442	-3.03688	3.13391	-2.96997	-2.69004	-15.38916	-10.10671	-0.29710	-5.56338	-1.75674	-27.50295	1.44151	-1.13816	-2.93591	-14.80504	1.53939	-8.48394	-0.51145	-21.23514	1.59345	-2.22015	-2.77046	-9.37671	3.06450	-3.49930	-1.15951	-23.52424	0.61482	-0.56062	-3.83306	-15.50992	2.40026	-3.13821	-2.81615	-21.19884	-0.18214	-1.89896	-4.38336	-10.87850	3.51359	-1.36435	-2.55949	-21.11225	1.43498	1.27614	-2.90423	-18.17191	0.89798	-5.11985	-0.85919	-20.98345
3	2.10865	0.19092	-0.59206	2.04236	-2.90815	0.71126	-9.05223	0.02432	1.26554	0.24354	-3.22975	2.50837	-1.90173	1.13793	-20.07950	2.81652	1.50240	-0.20465	-3.12405	-9.12946	0.49219	-3.05851	-1.52426	-29.02316	2.16376	1.56442	-2.91324	-9.04521	1.33585	-3.82795	-3.97658	-19.26644	0.90001	-0.18567	-0.95395	1.13888	-2.70692	-2.99061	-12.64304	-17.70491	1.91770	0.21894	-3.35723	-14.58163	0.12182	-2.93308	-2.28194	-17.05910	1.00558	-5.57658	-1.76604	-19.40024	0.95570	2.19465	1.25836	-2.63016	-2.96117	-1.26970	-15.96438	-14.36635	2.44907	-1.17151	-0.85445	-21.04215	-0.63440	-3.33645	-3.93290	-11.99957	3.17432	-0.08675	-2.52664	-20.19181	-0.28170	1.65606	-3.03497	3.49903	-3.64151	-2.81639	-14.88924	-9.93982	0.00283	-5.67988	-1.53050	-28.26163	1.89267	-0.50128	-2.99242	-15.42355	1.82899	-8.10454	-0.24064	-21.51176	1.93027	-1.94240	-2.26504	-10.10565	3.46102	-2.71571	-1.07216	-23.33579	0.99232	-0.47366	-3.38714	-15.53398	2.70716	-2.70031	-2.86206	-21.43899	0.13896	-1.74113	-4.04307	-11.63056	3.68941	-1.16771	-2.39903	-21.07622	1.74538	1.41009	-2.29609	-17.89445	1.13283	-4.88653	-0.71123	-21.43041
4	2.54729	0.22835	-0.16131	2.04873	-2.83277	0.76428	-8.93101	0.13699	1.53944	0.22529	-2.90084	2.56776	-1.83494	1.21042	-19.40611	2.74239	1.82218	0.39823	-3.12396	-9.36601	0.82405	-2.92193	-1.32055	-28.11436	2.61321	1.98450	-2.96179	-8.89146	1.60448	-3.74629	-4.08273	-18.61445	1.39767	0.11956	-0.43406	1.63473	-2.62449	-3.04422	-11.98139	-17.35525	2.21417	0.65272	-3.38913	-14.89164	0.58240	-2.44098	-1.83909	-17.45404	1.35577	-5.36269	-1.60783	-19.61024	1.50919	2.71705	1.76489	-1.75942	-2.89779	-1.66395	-15.33161	-14.03216	2.88040	-0.76080	-0.86611	-19.46282	-0.13773	-2.95870	-3.66132	-12.27771	3.56374	0.34676	-2.40577	-19.92207	0.15946	1.95523	-2.83576	3.96527	-4.17351	-2.97497	-14.28475	-9.65187	0.35773	-5.67371	-1.35719	-28.90902	2.40442	0.16333	-3.16168	-15.57992	2.15685	-7.61812	-0.01046	-21.70079	2.29375	-1.59160	-1.81291	-10.52325	3.87733	-1.98188	-1.10804	-23.09312	1.43603	-0.40211	-3.02018	-15.14955	3.05870	-2.20958	-2.99315	-21.29610	0.51237	-1.50022	-3.74917	-12.05866	3.92170	-0.93732	-2.25387	-20.91563	2.08747	1.59227	-1.78257	-17.50395	1.38939	-4.59723	-0.62449	-21.79018
5	3.02405	0.26433	0.35258	2.05364	-2.76117	0.84438	-8.63047	0.22555	1.84077	0.20101	-2.52760	2.61052	-1.81689	1.21965	-18.72955	2.67507	2.18469	1.04887	-3.25756	-9.34668	1.20248	-2.69796	-1.24627	-27.22405	3.10035	2.42136	-3.00137	-8.56536	1.89879	-3.67287	-4.09988	-17.95732	1.93908	0.46611	0.20904	2.19574	-2.72107	-3.14794	-11.33770	-16.77309	2.53497	1.02411	-3.37048	-15.11739	1.11337	-1.86649	-1.51578	-17.80440	1.75899	-5.09628	-1.44578	-19.73216	2.12272	3.30306	2.33616	-0.73861	-2.57960	-2.09014	-14.60239	-13.52424	3.37910	-0.24997	-1.03148	-17.99665	0.41165	-2.50060	-3.33714	-12.38453	3.99321	0.82790	-2.31517	-19.44952	0.71750	2.33048	-2.44038	4.52509	-4.38969	-3.02419	-13.66224	-9.25384	0.78455	-5.49154	-1.25393	-29.30460	2.98050	0.85196	-3.27793	-15.31010	2.52129	-7.05559	0.07816	-21.75089	2.68421	-1.15849	-1.41632	-10.61686	4.30938	-1.31316	-1.27938	-22.70376	1.95010	-0.28962	-2.71940	-14.38942	3.45232	-1.65553	-3.10583	-20.80672	0.94255	-1.15531	-3.51655	-12.12318	4.20922	-0.68149	-2.12268	-20.59219	2.46787	1.84995	-1.42286	-17.00453	1.67237	-4.26876	-0.60991	-21.98432
6	3.53717	0.29564	0.94087	2.05801	-2.57681	0.89785	-8.20397	0.27956	2.17931	0.17421	-2.09991	2.63036	-1.78585	1.15243	-18.09012	2.60890	2.59839	1.73373	-3.41877	-9.09169	1.62612	-2.37255	-1.26707	-26.37450	3.62251	2.86673	-2.87760	-8.12327	2.22960	-3.57112	-3.97163	-17.33699	2.52786	0.86136	0.96128	2.80971	-2.88735	-3.16549	-10.69708	-16.02655	2.87911	1.32541	-3.29674	-15.17787	1.71311	-1.21755	-1.22760	-18.04679	2.20831	-4.77853	-1.23060	-19.70733	2.76835	3.93339	2.96849	0.35777	-1.95925	-2.27085	-13.87816	-12.89995	3.93740	0.37231	-1.17112	-16.71342	1.01977	-1.96041	-2.89373	-12.28983	4.46305	1.36377	-2.17818	-18.79843	1.41415	2.77864	-1.88905	5.14886	-4.12902	-2.80218	-13.08636	-8.77399	1.29640	-5.09700	-1.16843	-29.34736	3.61801	1.55591	-3.13622	-14.71609	2.92566	-6.42265	-0.02578	-21.61532	3.10367	-0.63657	-1.03371	-10.41702	4.75239	-0.69878	-1.51596	-22.22361	2.53272	-0.09464	-2.36473	-13.35268	3.88469	-1.03130	-3.02527	-20.07800	1.43300	-0.69714	-3.29771	-11.82406	4.54858	-0.40157	-1.94503	-20.10013	2.89557	2.20592	-1.18799	-16.40885	1.98788	-3.88691	-0.63436	-21.98432
