	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	8.74501	0.84648	1.19393	1.95595	-1.23473	3.06298	-7.18330	1.54856	8.30801	1.57630	-2.33940	2.75149	-2.52859	4.16675	-14.51416	1.13840	11.43294	2.61020	-1.08736	-6.12364	3.30257	-5.20347	-5.03424	-13.30098	8.50065	3.65812	-1.06377	-5.94525	8.76304	-6.94478	3.22557	-14.17946	8.31101	5.24823	2.89602	1.17740	-3.51578	-2.02011	-6.69697	-7.75444	4.43652	1.38846	4.80475	-15.58357	3.27408	3.17077	0.64126	-9.39240	13.25717	-4.02401	0.08880	-15.67532	4.38233	10.31523	0.03724	4.63777	-1.76301	-7.53390	-5.41723	-7.55792	9.00794	-0.31326	-7.96199	-14.43868	8.94691	-2.36143	5.24669	-7.67313	9.09393	-2.16394	-3.81131	-13.54239	2.25076	12.22788	0.83123	1.31580	1.65907	-4.09727	-5.79811	-5.51893	2.62395	0.78089	-4.61534	-15.74673	10.18732	-0.13709	-3.89387	-4.75420	11.68035	0.47638	-9.08886	-12.14557	15.98030	-1.43784	1.01576	-8.58680	8.86001	-2.35590	-4.70608	-14.31912	11.05625	-0.74338	-1.01273	-8.13824	11.96002	-5.89034	-1.37960	-14.22242	13.06087	0.78633	1.72050	-8.74854	8.61314	-2.99626	-1.72193	-15.54167	7.16775	1.46781	-2.81637	-9.64370	7.04818	-0.82654	-0.14282	-15.47404
2	9.00902	0.73927	0.53420	2.00516	-1.48905	2.77933	-6.91101	1.45527	8.76551	1.63437	-2.40320	3.08781	-2.87244	4.16704	-14.46884	1.09754	11.35653	2.04618	-1.69844	-5.77590	3.57569	-5.19339	-3.67327	-14.10880	8.79561	2.49188	-0.92979	-5.79098	9.23731	-7.40766	4.09381	-14.61744	8.57079	5.36903	2.71873	1.28764	-3.05566	-3.17373	-6.83773	-7.09532	4.66234	1.93609	3.55888	-15.36339	3.10689	3.05528	0.42578	-9.16456	13.63540	-4.17920	-0.65016	-15.41243	4.58666	10.33472	-0.88678	3.18970	-1.47823	-6.54042	-5.07964	-7.25170	9.29154	0.13536	-7.31500	-14.49687	9.16189	-2.17340	3.78790	-7.22175	9.26721	-2.16117	-4.43615	-13.37735	3.08322	12.55219	-2.00531	0.05649	3.76734	-3.46770	-5.63683	-5.52686	3.32856	0.12955	-5.05612	-15.90909	10.02074	-1.76174	-3.47778	-4.85960	11.97518	1.17787	-10.44272	-12.04538	15.94883	-1.49410	-0.79981	-7.85887	8.66514	-2.19651	-5.37780	-14.54648	11.30393	-1.19513	-2.12326	-7.58053	12.05892	-7.03221	-1.96163	-13.37126	13.21142	0.41562	0.32519	-8.41669	8.83816	-3.15629	-2.29570	-15.08571	7.21382	2.26791	-3.89706	-9.56817	7.28472	-0.89077	-0.91345	-15.29190
3	9.24548	0.63716	-0.33108	2.19931	-1.39864	2.71017	-6.65834	1.37606	9.21331	1.69232	-2.82571	3.29867	-2.83667	4.03162	-14.34073	1.11939	11.26873	1.15021	-1.82482	-5.47409	3.83947	-5.46845	-2.09436	-14.84524	9.06155	1.13025	-0.43175	-5.65845	9.70184	-7.92180	4.84385	-14.84475	8.81623	5.45324	1.98548	1.08972	-2.25619	-3.86004	-6.82444	-6.44976	4.87325	2.20646	2.24734	-14.96396	2.87145	2.45165	0.54811	-8.88588	13.94149	-4.57715	-1.22378	-15.13837	4.74943	10.30496	-1.72166	1.31106	-0.69337	-5.25616	-5.13339	-6.77210	9.53014	-0.16687	-5.82785	-14.62214	9.33516	-2.04376	2.38657	-6.73562	9.35418	-2.41685	-4.59704	-13.24901	3.88179	12.82900	-4.54641	-1.24032	5.45964	-2.64187	-5.23945	-5.60379	3.99923	-1.11873	-4.92536	-16.01751	9.88613	-3.43616	-2.56455	-5.12618	12.23119	1.28532	-10.87804	-12.23736	15.82509	-1.64070	-2.23584	-7.17042	8.47270	-2.60236	-5.44031	-14.09564	11.56330	-1.87802	-2.69930	-7.06574	12.03485	-8.17987	-2.16790	-12.55874	13.28482	-0.12906	-0.60312	-8.13830	8.99623	-3.55433	-2.71833	-14.47548	7.29010	2.55153	-4.30695	-9.59747	7.42898	-1.39387	-1.25824	-15.04054
4	9.44264	0.54647	-1.21472	2.32747	-0.98325	2.71645	-6.54845	1.32992	9.61982	1.74426	-3.53592	3.35328	-2.41711	3.77107	-14.22795	1.15536	11.17791	0.03952	-1.49471	-5.25581	4.08103	-6.01853	-0.48098	-15.37462	9.28489	-0.19760	0.28572	-5.60118	10.12334	-8.37814	5.29016	-14.77487	9.02649	5.49162	0.81825	0.74745	-1.26450	-3.94677	-6.62017	-6.05350	5.06940	2.16898	1.10015	-14.46416	2.57368	1.47128	1.02423	-8.64911	14.16426	-5.20111	-1.50729	-14.92638	4.84867	10.18453	-2.16598	-0.58609	0.53238	-3.77743	-5.84405	-6.34885	9.67364	-0.97380	-3.76103	-14.86119	9.45663	-1.91880	1.16731	-6.30362	9.35063	-2.86226	-4.25916	-13.21830	4.56898	13.01419	-6.34042	-2.28114	6.55235	-1.74004	-4.86551	-5.86305	4.56708	-2.82216	-4.27964	-16.01543	9.75886	-4.87809	-1.35914	-5.57101	12.46113	0.71156	-10.34852	-12.66744	15.62047	-1.82764	-3.10350	-6.71729	8.28924	-3.50413	-4.89796	-13.77267	11.80500	-2.67652	-2.63415	-6.75339	11.87833	-9.12623	-1.88661	-12.05443	13.27606	-0.77430	-0.99161	-7.98460	9.07446	-4.14251	-2.90924	-13.78699	7.37833	2.34926	-3.99890	-9.79564	7.47546	-2.28270	-1.06520	-14.81894
5	9.58697	0.46956	-1.88050	2.26411	-0.28055	2.63973	-6.76083	1.35787	9.94765	1.78455	-4.36411	3.25061	-1.66107	3.40617	-14.20651	1.14017	11.07801	-1.09056	-0.77587	-5.21585	4.28095	-6.71370	0.95647	-15.64161	9.45142	-1.22740	1.11340	-5.76649	10.46281	-8.64679	5.32923	-14.43123	9.17136	5.47196	-0.53030	0.47708	-0.24197	-3.34656	-6.28352	-6.20003	5.24138	1.86680	0.29291	-13.95572	2.21978	0.34378	1.81134	-8.59876	14.29670	-5.93434	-1.43186	-14.87739	4.88186	9.94077	-1.98588	-2.03183	2.06150	-2.11105	-7.36843	-6.39351	9.68063	-1.90010	-1.39692	-15.35350	9.51269	-1.69255	0.23130	-6.06441	9.25403	-3.33039	-3.43988	-13.41284	5.08687	13.07352	-7.01750	-2.76686	6.96537	-0.84011	-4.84201	-6.48789	4.95256	-4.68144	-3.24903	-15.91533	9.60948	-5.76927	-0.00822	-6.35236	12.65292	-0.50369	-9.01358	-13.17572	15.34526	-1.97140	-3.27771	-6.69422	8.10465	-4.70948	-3.82945	-13.57976	11.99420	-3.35974	-1.90976	-6.88574	11.59006	-9.62800	-1.02866	-12.21061	13.17590	-1.39033	-0.83198	-8.04282	9.05845	-4.78769	-2.80585	-13.17067	7.44284	1.80526	-3.04791	-10.21645	7.41951	-3.40048	-0.31625	-14.75371
6	9.67060	0.40398	-2.09453	2.00952	0.66253	2.41410	-7.48891	1.52911	10.16305	1.80912	-5.07625	3.03123	-0.62657	2.98765	-14.43648	1.11982	10.95340	-1.98886	0.26247	-5.53005	4.41834	-7.33523	2.05805	-15.71243	9.55398	-1.71895	1.99231	-6.34748	10.68530	-8.59129	4.99065	-13.99057	9.22278	5.38826	-1.70455	0.50276	0.68081	-2.07154	-5.99771	-7.14665	5.37244	1.42310	-0.06142	-13.56945	1.82289	-0.64148	2.85121	-8.92517	14.34049	-6.58435	-0.95740	-15.15685	4.87162	9.56549	-1.11482	-2.60595	3.65439	-0.26822	-9.59862	-7.31244	9.53528	-2.52561	1.00669	-16.28318	9.49432	-1.24275	-0.31623	-6.21598	9.07059	-3.59573	-2.18435	-14.03153	5.41557	12.99789	-6.36893	-2.46388	6.74246	0.02680	-5.45989	-7.66835	5.09326	-6.27425	-1.99508	-15.86592	9.41575	-5.83296	1.41709	-7.71072	12.77169	-2.17908	-7.15080	-13.61096	15.01184	-1.97057	-2.70343	-7.27920	7.90003	-5.94791	-2.31633	-13.73700	12.10402	-3.62447	-0.57267	-7.75929	11.18593	-9.48726	0.47605	-13.37514	12.97705	-1.80421	-0.14569	-8.45138	8.93921	-5.29481	-2.33329	-12.87696	7.44436	1.16169	-1.61185	-10.93079	7.26154	-4.52259	0.94844	-15.02779
