	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.29619	0.09710	-0.18676	0.04575	-0.00316	0.00404	0.30369	0.07091	-0.24294	0.02784	0.00141	0.00653	0.34660	-0.20741	-0.00006	0.33751	-0.27926	0.00492	0.37537	-0.21020	0.00129	0.34634	-0.24487	-0.00900	0.13702	-0.10213	-0.00660	0.16146	-0.20314	0.00413	0.30113	-0.22983	-0.00225	0.39203	-0.18293	-0.00731	0.34344	-0.22910	0.00160	0.18754	-0.15173	-0.00797	0.33365	-0.22311	0.00080	0.31311	-0.23251	-0.00281	0.32030	-0.26880	0.00961
2	0.32417	0.10161	-0.18419	0.04944	-0.01359	0.00514	0.33351	0.07781	-0.24491	0.02402	-0.00528	0.00729	0.37566	-0.20422	-0.00947	0.37741	-0.27425	-0.00250	0.38730	-0.21317	-0.00587	0.35342	-0.23972	-0.01381	0.15857	-0.09676	-0.01657	0.18045	-0.21049	-0.00269	0.33795	-0.23523	-0.01389	0.43980	-0.18036	-0.01706	0.39771	-0.23702	-0.00486	0.20996	-0.14031	-0.02103	0.35996	-0.21932	-0.01126	0.35251	-0.23689	-0.01324	0.33953	-0.27108	0.00543
3	0.34812	0.10852	-0.17120	0.05062	-0.03189	0.00596	0.35140	0.07854	-0.23602	0.01994	-0.01738	0.00837	0.40436	-0.19258	-0.02669	0.39551	-0.25559	-0.01468	0.39447	-0.20907	-0.02155	0.34140	-0.22450	-0.02000	0.17182	-0.08843	-0.03553	0.20783	-0.20873	-0.01617	0.37471	-0.22595	-0.03525	0.47852	-0.16551	-0.03231	0.43515	-0.23272	-0.01741	0.22557	-0.11794	-0.03921	0.38740	-0.19888	-0.03269	0.38476	-0.23205	-0.03094	0.34373	-0.26250	-0.00509
4	0.36884	0.11909	-0.14532	0.05062	-0.05672	0.00734	0.36078	0.08136	-0.21571	0.01737	-0.03398	0.01177	0.43163	-0.17067	-0.05033	0.39649	-0.22425	-0.02934	0.39537	-0.19504	-0.04514	0.31927	-0.20057	-0.02680	0.17770	-0.07271	-0.06376	0.23403	-0.19350	-0.03603	0.40962	-0.19874	-0.06320	0.51549	-0.13709	-0.05245	0.46473	-0.21649	-0.03504	0.23363	-0.08321	-0.06108	0.41842	-0.15979	-0.06109	0.41263	-0.21707	-0.05532	0.33755	-0.24237	-0.02136
5	0.38317	0.12810	-0.10367	0.05130	-0.08414	0.01001	0.35495	0.09050	-0.17616	0.01620	-0.05215	0.01826	0.45050	-0.13590	-0.07668	0.37492	-0.17219	-0.04308	0.38949	-0.17029	-0.07280	0.27967	-0.16094	-0.03043	0.18283	-0.04737	-0.09768	0.24764	-0.15803	-0.06049	0.43612	-0.15038	-0.09203	0.53957	-0.08785	-0.07385	0.48252	-0.18077	-0.05475	0.23446	-0.03523	-0.08368	0.44924	-0.09869	-0.09224	0.42943	-0.18306	-0.08257	0.31554	-0.20198	-0.04159
6	0.39263	0.13287	-0.04773	0.05473	-0.10946	0.01379	0.34074	0.10386	-0.11970	0.01619	-0.06804	0.02750	0.45851	-0.08876	-0.10123	0.34127	-0.10376	-0.05220	0.37685	-0.13390	-0.09996	0.23489	-0.11042	-0.02822	0.19378	-0.01288	-0.13087	0.25237	-0.10404	-0.08596	0.44606	-0.08228	-0.11664	0.55806	-0.02010	-0.09230	0.49006	-0.12638	-0.07255	0.23691	0.02142	-0.10366	0.47826	-0.01760	-0.12153	0.43923	-0.12984	-0.10757	0.28662	-0.14375	-0.06173
