	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.09273	0.04353	0.06172	0.03964	-0.00011	0.00247	-0.11547	0.03264	0.04938	0.03625	0.00553	0.01055	-0.05853	0.08357	0.00052	-0.11266	0.06959	0.00895	-0.05966	0.11216	0.00301	-0.06264	0.07399	0.00293	-0.10188	-0.00412	0.00007	-0.11664	0.00887	0.00365	-0.14311	0.06226	-0.00242	-0.09247	0.09476	0.00247	-0.15184	0.02385	0.00296	-0.03993	0.03232	-0.00054	-0.15351	0.05108	-0.00389	-0.10170	0.09898	0.02349	-0.14733	0.02102	-0.00879
2	-0.06823	0.05209	0.05062	0.04380	-0.00314	0.00290	-0.08511	0.04721	0.04427	0.04467	0.00300	0.01682	-0.01239	0.07891	-0.00198	-0.07283	0.06736	0.00580	-0.02428	0.10790	0.00114	-0.01157	0.06976	0.00197	-0.10328	-0.01761	-0.00366	-0.11074	0.00246	0.00149	-0.12836	0.05066	-0.00497	-0.04702	0.08689	-0.00217	-0.12200	0.01680	-0.00315	-0.02820	0.02063	-0.00215	-0.13406	0.02700	-0.00816	-0.05617	0.10975	0.03190	-0.13734	-0.00050	-0.02002
3	-0.03710	0.06087	0.03341	0.04818	-0.00896	0.00423	-0.03741	0.06380	0.03556	0.05369	-0.00439	0.02416	0.03093	0.06969	-0.00641	-0.01305	0.05906	-0.00354	0.01337	0.09597	-0.00271	0.05423	0.06295	-0.00133	-0.08958	-0.03859	-0.01187	-0.08950	-0.00498	-0.00460	-0.10020	0.03096	-0.01007	0.00574	0.07186	-0.01282	-0.06904	0.00616	-0.01656	-0.00784	0.00711	-0.00514	-0.11211	-0.00315	-0.01370	0.00613	0.11725	0.03675	-0.11326	-0.02710	-0.03707
4	0.00157	0.06883	0.01147	0.05310	-0.01734	0.00812	0.02459	0.08010	0.02351	0.06351	-0.01629	0.03274	0.07549	0.05751	-0.01229	0.06020	0.04434	-0.01841	0.05290	0.07723	-0.00778	0.13270	0.05572	-0.00691	-0.05914	-0.06644	-0.02523	-0.05115	-0.01327	-0.01504	-0.05985	0.00541	-0.01715	0.06807	0.05164	-0.02938	0.00209	-0.00947	-0.03638	0.02166	-0.00769	-0.00938	-0.08813	-0.03737	-0.02017	0.07882	0.12165	0.03846	-0.07511	-0.05788	-0.05949
5	0.04716	0.07583	-0.01245	0.05740	-0.02732	0.01423	0.10134	0.09328	0.01147	0.07246	-0.03112	0.04109	0.12327	0.04407	-0.01905	0.14552	0.02710	-0.03657	0.08994	0.05268	-0.01368	0.22191	0.04997	-0.01407	-0.01554	-0.09786	-0.04276	0.00500	-0.02029	-0.02851	-0.00674	-0.02029	-0.02439	0.13997	0.02684	-0.05060	0.09467	-0.02410	-0.05946	0.05843	-0.02238	-0.01422	-0.05917	-0.07018	-0.02657	0.15931	0.12334	0.03600	-0.01837	-0.08720	-0.08409
6	0.09696	0.08192	-0.03426	0.06035	-0.03764	0.02165	0.18522	0.10289	0.00389	0.07972	-0.04605	0.04808	0.17388	0.03169	-0.02619	0.23328	0.01243	-0.05428	0.12534	0.02574	-0.02009	0.31386	0.04929	-0.02203	0.03454	-0.12698	-0.06182	0.07209	-0.02180	-0.04173	0.05757	-0.04057	-0.02983	0.21322	0.00215	-0.07438	0.20200	-0.03320	-0.08172	0.09792	-0.03479	-0.01901	-0.02377	-0.09705	-0.03215	0.23929	0.12570	0.03066	0.05080	-0.10910	-0.10720
