	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_02_CR015_BAREFOOT_GAIT0004_5_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05427	0.03064	0.00562	0.00726	-0.00142	0.00643	-0.07143	0.02307	0.00783	0.01271	0.00156	0.01155	-0.03462	-0.00276	-0.00458	-0.03149	0.00458	0.00045	-0.01119	0.01757	0.01024	-0.09007	-0.00260	-0.01313	-0.05678	0.00565	-0.00305	-0.07130	0.02567	0.01806	-0.05238	0.01413	0.00497	-0.09364	-0.00130	-0.00580	-0.04129	-0.00325	-0.01101	-0.09299	0.00493	-0.00026	-0.06167	0.00440	-0.00506	-0.08524	0.02680	0.01552	-0.06447	-0.00220	-0.00504	-0.09540	-0.00486	-0.01004	-0.05411	0.00763	0.00133	-0.06302	0.00112	-0.00529	-0.06482	-0.00191	-0.00908	-0.06555	0.02436	0.01772	-0.01557	0.00912	0.00374	-0.03659	-0.00254	-0.00598	-0.13222	0.00463	-0.00465	-0.08611	0.02117	0.01412	-0.06213	0.01449	0.00521	-0.04580	-0.00333	-0.00666
2	-0.04663	0.03643	0.00525	0.01003	-0.00187	0.00951	-0.07253	0.02673	0.00901	0.01725	0.00258	0.01607	-0.02733	-0.00347	-0.00554	-0.04025	0.00599	0.00106	0.00656	0.02529	0.01732	-0.10260	-0.00075	-0.01457	-0.05375	0.00353	-0.00435	-0.06259	0.03318	0.02528	-0.04931	0.01586	0.00679	-0.09546	-0.00256	-0.00722	-0.03142	-0.01111	-0.01971	-0.08752	0.00549	-0.00080	-0.05866	0.00390	-0.00556	-0.08331	0.03314	0.02185	-0.05648	-0.00341	-0.00694	-0.11233	-0.00681	-0.01320	-0.04241	0.00637	0.00077	-0.06222	-0.00508	-0.01078	-0.06494	-0.00181	-0.00942	-0.06598	0.03148	0.02569	-0.00041	0.00943	0.00454	-0.02527	-0.00689	-0.00906	-0.13810	0.00338	-0.00583	-0.08775	0.02840	0.02090	-0.04337	0.01505	0.00546	-0.04510	-0.00751	-0.00820
3	-0.03416	0.04281	0.00414	0.01357	-0.00221	0.01308	-0.06766	0.03226	0.01094	0.02277	0.00464	0.02071	-0.01494	-0.00460	-0.00664	-0.03926	0.00783	0.00274	0.03043	0.03274	0.02540	-0.10941	0.00166	-0.01497	-0.04856	0.00105	-0.00571	-0.04724	0.04108	0.03250	-0.03924	0.01808	0.00882	-0.09099	-0.00216	-0.00723	-0.01878	-0.02214	-0.02929	-0.07623	0.00670	-0.00068	-0.05345	0.00208	-0.00526	-0.07603	0.04097	0.02983	-0.04331	-0.00451	-0.00870	-0.12669	-0.00869	-0.01552	-0.02479	0.00453	0.00028	-0.05649	-0.01102	-0.01536	-0.06446	-0.00235	-0.00925	-0.06014	0.04109	0.03487	0.01966	0.00816	0.00526	-0.01146	-0.01181	-0.01104	-0.13645	0.00274	-0.00646	-0.07920	0.03834	0.02927	-0.01601	0.01394	0.00501	-0.03874	-0.01278	-0.00871
4	-0.01687	0.04915	0.00129	0.01725	-0.00259	0.01639	-0.05448	0.03619	0.01256	0.02853	0.00728	0.02453	0.00276	-0.00696	-0.00774	-0.02394	0.00908	0.00534	0.05893	0.03695	0.03249	-0.10207	0.00385	-0.01382	-0.03897	-0.00194	-0.00667	-0.02675	0.04638	0.03743	-0.02185	0.01913	0.01033	-0.07897	-0.00109	-0.00584	-0.00565	-0.03633	-0.03851	-0.05712	0.00711	-0.00008	-0.04605	-0.00206	-0.00435	-0.06135	0.04989	0.03840	-0.02633	-0.00629	-0.01059	-0.12875	-0.01104	-0.01713	-0.00113	0.00131	-0.00036	-0.04769	-0.01689	-0.01809	-0.06010	-0.00477	-0.00840	-0.04707	0.05121	0.04340	0.04319	0.00389	0.00534	0.00306	-0.01722	-0.01156	-0.12586	0.00269	-0.00633	-0.05769	0.04865	0.03766	0.01860	0.00991	0.00371	-0.02540	-0.01916	-0.00830
5	0.00414	0.05481	-0.00416	0.02074	-0.00346	0.01892	-0.03667	0.03497	0.01262	0.03376	0.00958	0.02694	0.02200	-0.01216	-0.00954	0.00158	0.00833	0.00796	0.08965	0.03632	0.03705	-0.08090	0.00448	-0.01177	-0.02600	-0.00579	-0.00735	-0.01121	0.04855	0.03914	0.00105	0.01765	0.01057	-0.06017	-0.00058	-0.00335	0.00606	-0.05295	-0.04646	-0.03490	0.00483	0.00028	-0.03511	-0.00883	-0.00318	-0.03989	0.05767	0.04545	-0.00725	-0.00966	-0.01306	-0.11131	-0.01484	-0.01865	0.02777	-0.00411	-0.00150	-0.04164	-0.02292	-0.01897	-0.05019	-0.01050	-0.00774	-0.03302	0.05907	0.04940	0.06942	-0.00404	0.00405	0.01339	-0.02328	-0.01120	-0.10597	0.00261	-0.00565	-0.03119	0.05640	0.04411	0.05827	0.00155	0.00124	-0.01077	-0.02630	-0.00750
6	0.02872	0.05964	-0.01216	0.02397	-0.00518	0.02044	-0.02062	0.02994	0.01054	0.03785	0.01062	0.02780	0.04279	-0.02026	-0.01184	0.02499	0.00479	0.00941	0.12163	0.03087	0.03815	-0.05429	0.00334	-0.00960	-0.01156	-0.01048	-0.00807	-0.00014	0.04806	0.03740	0.02724	0.01353	0.00910	-0.04117	-0.00171	-0.00086	0.01653	-0.07079	-0.05294	-0.01737	-0.00069	-0.00021	-0.01894	-0.01777	-0.00231	-0.01977	0.06200	0.04891	0.01333	-0.01467	-0.01627	-0.07780	-0.02075	-0.02112	0.06085	-0.01208	-0.00355	-0.04207	-0.02898	-0.01855	-0.02860	-0.01946	-0.00766	-0.02622	0.06297	0.05184	0.09957	-0.01544	0.00075	0.01859	-0.02979	-0.01049	-0.07864	0.00206	-0.00489	-0.01207	0.06054	0.04741	0.10045	-0.01141	-0.00267	-0.00008	-0.03331	-0.00674
