	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	9.96154	1.93471	35.61057	2.41225	8.76822	4.74378	4.09953	2.42184	9.15064	2.17184	35.52206	3.48958	6.64693	3.59005	1.56469	1.99934	6.95300	33.58982	15.61564	6.40099	10.70081	35.33453	4.98920	0.80644	8.76370	33.99784	5.94572	2.93542	9.44607	35.04899	3.67440	2.31395	9.95220	32.47186	0.82517	1.40627	10.54752	35.11923	3.51312	0.64291	6.65485	31.19594	3.77298	2.09123	9.84146	36.82713	8.32747	4.18028	10.54021	36.71306	3.75758	0.14913	10.00313	36.22917	11.04060	5.56236	7.93855	35.77176	8.21214	2.66365	7.75792	31.94279	3.59838	3.74662	3.90913	28.00677	3.83207	-0.54969	10.83238	38.70849	15.68307	9.08999	10.85880	38.40891	11.93967	4.24282	9.86248	36.78860	10.63520	1.25944	9.53948	36.85781	6.92539	1.02283	12.06051	37.48764	7.87228	4.21862	10.04792	37.10120	13.48978	5.25466	13.58864	38.06236	8.13871	2.19526	10.47371	41.18451	9.00985	-1.42638
2	9.92001	1.93763	35.65104	2.38305	9.68757	4.87621	3.58173	2.52623	8.98585	2.14769	35.58352	3.44442	7.88279	3.39857	1.04317	1.98331	6.77313	33.34634	16.65195	5.59695	10.41423	34.85751	4.89369	0.34029	8.75342	34.03374	7.06518	2.27010	9.21877	35.14816	5.44685	1.64657	9.89933	32.82133	2.19545	0.91770	10.47517	35.07081	4.10910	-0.30179	6.48448	31.49333	5.64413	1.75903	9.86382	37.16799	9.94166	3.53133	10.32194	37.30186	6.43356	-0.26104	10.09628	36.19181	12.01239	5.02636	7.73559	35.37450	8.62364	2.22698	7.61731	32.10607	4.95134	3.07738	3.83806	28.30142	5.56295	-1.08910	10.75235	39.08158	17.63568	9.27877	10.55897	38.12213	12.25728	3.46430	9.99748	36.66030	11.26807	1.06960	9.38592	37.05550	8.49566	0.69124	12.10256	37.47448	7.52860	3.30294	9.98471	37.35049	14.73391	4.82372	13.34442	37.62671	7.62537	1.74614	10.42652	41.34303	10.50990	-1.82535
3	9.90715	1.93620	35.74911	2.39148	11.07853	5.02222	2.74290	2.37200	8.86072	2.13409	35.77925	3.41423	9.69362	3.27701	0.38276	1.98058	6.63774	33.04856	17.78757	4.64153	10.17043	34.63455	5.63616	-0.33090	8.78815	34.14811	8.59429	1.37004	9.05339	35.36394	7.64496	0.72855	9.86997	33.29354	4.20528	0.17058	10.45879	35.33832	5.67207	-1.39964	6.34251	31.84452	7.91948	1.20305	9.95640	37.58923	11.92218	2.65861	10.17005	37.92691	9.39920	-0.82933	10.19959	36.09892	13.18169	4.30019	7.57783	35.20538	9.82442	1.64216	7.52338	32.38316	6.81637	2.05299	3.78552	28.71644	7.87867	-1.69977	10.69596	39.56368	20.23400	8.10405	10.28041	37.93464	13.19738	2.61764	10.13419	36.53008	12.23152	0.74253	9.27086	37.43610	10.68158	0.29739	12.13713	37.51363	7.90889	2.27754	9.93615	37.55822	16.21604	4.27811	13.12902	37.32212	7.90353	1.11099	10.42202	41.61272	12.55990	-2.29684
4	9.91532	1.92926	35.87821	2.46222	12.84275	5.16035	1.77596	2.29251	8.77256	2.13293	36.05748	3.40172	11.92989	3.17091	-0.34353	1.98244	6.54999	32.68703	18.95731	3.67243	9.96609	34.63353	7.12346	-1.16341	8.86072	34.29374	10.39912	0.28741	8.94314	35.63195	10.08723	-0.35529	9.86490	33.82339	6.67147	-0.78973	10.48898	35.87033	8.04725	-2.52767	6.23128	32.16463	10.36814	0.45464	10.08554	38.05973	14.20747	1.65625	10.08491	38.49532	12.44545	-1.47835	10.29399	35.94277	14.52419	3.48941	7.46642	35.22778	11.65926	0.92964	7.47028	32.70465	9.01414	0.70992	3.73933	29.16879	10.59086	-2.23631	10.65289	40.10193	23.26874	6.89890	10.02846	37.84985	14.70898	1.76495	10.26466	36.37272	13.42377	0.30141	9.18770	37.94515	13.32922	-0.09660	12.16482	37.62988	9.00426	1.19271	9.89984	37.68851	17.87314	3.69863	12.94541	37.16623	8.95706	0.34086	10.46200	41.95638	14.99582	-2.76911
5	9.93184	1.91620	36.00964	2.59622	14.88626	5.26304	0.94795	2.56376	8.70936	2.14498	36.36029	3.41009	14.45352	3.04367	-0.98425	1.97668	6.50314	32.26942	20.15751	2.90106	9.79040	34.80297	9.23134	-2.02408	8.95697	34.42845	12.38447	-0.80100	8.86434	35.88860	12.66144	-1.40207	9.87796	34.35016	9.43392	-1.78043	10.54315	36.58405	11.04570	-3.45893	6.14434	32.37956	12.81479	-0.36190	10.20883	38.53812	16.73470	0.71336	10.05151	38.93438	15.43920	-2.03845	10.35789	35.72935	16.03642	2.75273	7.39087	35.38096	13.95415	0.19042	7.44533	33.00251	11.39391	-0.76259	3.68239	29.58491	13.53164	-2.50021	10.61167	40.62049	26.47251	6.85739	9.80281	37.85604	16.71154	1.02822	10.38501	36.17524	14.76292	-0.15431	9.12273	38.51401	16.28267	-0.37637	12.18306	37.82839	10.75725	0.16666	9.87152	37.71614	19.65433	3.21446	12.78854	37.15421	10.72904	-0.41338	10.53888	42.32167	17.66194	-3.09784
6	9.94090	1.89746	36.11708	2.76831	17.12314	5.29757	0.40926	2.97228	8.65210	2.16941	36.63357	3.44200	17.15151	2.89241	-1.34683	1.95606	6.48148	31.82199	21.42788	2.53429	9.62575	35.08020	11.81825	-2.70512	9.05770	34.52219	14.49773	-1.62458	8.78395	36.08476	15.32269	-2.14675	9.89613	34.82949	12.36776	-2.51433	10.59038	37.38202	14.47176	-3.92796	6.06718	32.43870	15.16723	-1.04789	10.28430	38.97651	19.42661	0.06961	10.04305	39.20087	18.32267	-2.28928	10.37156	35.47513	17.71670	2.25072	7.32926	35.59262	16.55289	-0.39735	7.42969	33.22323	13.85474	-2.03089	3.59711	29.91439	16.56418	-2.32379	10.56291	41.02633	29.56442	7.42570	9.59677	37.92693	19.09978	0.56805	10.49443	35.93868	16.19877	-0.46065	9.05682	39.06586	19.39425	-0.40639	12.18690	38.09727	13.05602	-0.63646	9.84534	37.63346	21.52086	2.96926	12.64392	37.25995	13.12080	-0.92086	10.63746	42.64951	20.43208	-3.10786
