	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	1.07923	1.36040	2.86148	3.49980	-6.52460	1.14500	-8.96574	5.10972	-1.13979	0.98774	1.21932	1.88584	-6.14666	0.68933	-17.37129	2.10216	0.53111	3.80098	-6.39847	-11.02824	-1.22708	1.41112	-6.37669	-16.81156	1.18309	3.48560	-6.36088	-13.87981	-0.95679	-0.59915	-5.59394	-17.38714	-0.13884	2.72695	-6.22637	-16.36152	-1.30074	-0.68987	-5.85527	-14.52332	-1.56252	2.28778	-6.50585	-15.50562	0.03311	-4.23364	-5.89587	-8.04408	-0.32680	-0.46199	-5.34153	-18.77793	3.28224	4.98386	-5.66756	-5.01342	-0.14707	0.51033	-6.75951	-16.03274	1.67115	3.38560	-5.50827	-1.96166	-2.42876	-0.06624	-5.89703	-18.04079	0.82162	5.46260	-9.07047	-2.52660	-1.29782	2.51890	-7.21984	-15.38159	-1.18341	-2.59684	-5.31056	-14.79872	-0.03147	1.35272	-5.50195	-16.96150	2.75204	5.78344	-7.44546	-10.15327	-0.13434	5.77123	-5.41776	-20.85013	1.84016	5.81623	-7.36212	-5.89010	-3.12435	1.37767	-7.14395	-20.81190
2	1.13231	1.37799	2.96555	3.62948	-6.38672	1.07487	-9.53244	4.65108	-0.96880	0.99336	1.43046	1.81460	-6.17126	0.79821	-17.06835	2.14526	0.55496	3.62996	-5.82078	-11.16645	-1.09502	1.97747	-6.59455	-15.92596	1.26656	3.60278	-6.24032	-13.63301	-0.76079	-0.47317	-5.50209	-16.92714	-0.15483	2.79244	-6.43676	-16.51230	-1.20828	-0.35219	-6.02420	-14.99531	-1.41424	2.58539	-6.63408	-15.79517	0.11081	-4.34518	-5.72353	-8.56106	-0.12798	-0.41557	-5.40451	-18.57606	3.38946	5.43243	-5.57987	-5.66310	0.18164	1.19292	-6.76345	-15.07357	1.68529	3.41963	-5.63313	-2.71950	-2.23844	0.16958	-6.11202	-18.25347	0.89855	5.35818	-8.63742	-4.39313	-1.17182	2.72463	-7.39377	-14.77286	-1.14088	-2.62854	-5.14060	-15.13023	0.07567	1.07632	-5.27094	-16.21030	2.81367	6.05504	-7.26792	-10.39398	0.02049	5.62587	-5.03174	-20.52476	1.89950	6.33880	-7.38683	-7.15161	-2.91799	1.62379	-7.15253	-20.69724
3	1.21769	1.38378	3.09833	3.71503	-6.24789	0.99465	-9.45318	4.74547	-0.76939	0.99320	1.62730	1.77643	-6.11291	0.89599	-16.75049	2.25708	0.62727	3.53606	-5.31640	-11.04610	-0.92224	2.51369	-6.76797	-15.11623	1.37807	3.77456	-6.12657	-13.11527	-0.54977	-0.30673	-5.36362	-16.45725	-0.11653	2.88114	-6.64020	-16.25000	-1.08456	-0.06290	-6.16191	-15.35832	-1.23475	2.85208	-6.62430	-16.19398	0.21683	-4.33500	-5.56284	-8.78407	0.06074	-0.39408	-5.39413	-18.34268	3.50496	5.89063	-5.59431	-6.04556	0.56721	1.83836	-6.61011	-14.16074	1.75645	3.52579	-5.78193	-3.36615	-2.00049	0.43639	-6.28241	-18.36298	0.98267	5.25924	-8.04249	-2.03104	-1.01819	2.90915	-7.45987	-14.15220	-1.04693	-2.57436	-4.97867	-15.25831	0.20208	0.85548	-4.96779	-15.45502	2.88329	6.26842	-7.07422	-10.45666	0.17857	5.48269	-4.65048	-20.13928	1.99080	6.75678	-7.36130	-8.17868	-2.66187	1.77614	-6.95946	-20.51670
4	1.34200	1.37440	3.28088	3.75021	-6.09243	0.90813	-9.20274	4.79139	-0.53748	0.98936	1.83435	1.75708	-5.96245	0.97489	-16.40278	2.41319	0.75958	3.58541	-4.96690	-10.70053	-0.69759	3.02954	-6.86569	-14.36830	1.51673	4.01778	-5.99746	-12.35731	-0.32973	-0.07670	-5.17777	-15.95969	-0.01670	3.01844	-6.76625	-15.59388	-0.92766	0.21530	-6.26102	-15.55707	-1.02329	3.10261	-6.46016	-16.66888	0.35110	-4.18920	-5.39110	-8.68629	0.24052	-0.36333	-5.32603	-18.05381	3.63129	6.34867	-5.66949	-6.17121	1.00647	2.45854	-6.30213	-13.30798	1.88534	3.71131	-5.89359	-3.82613	-1.71107	0.76263	-6.36675	-18.34685	1.08652	5.18109	-7.24555	-0.35178	-0.82363	3.07120	-7.38967	-13.50808	-0.88304	-2.40386	-4.82715	-15.16230	0.35921	0.73655	-4.58658	-14.70214	2.96793	6.45030	-6.87419	-10.31588	0.34747	5.36396	-4.29745	-19.67716	2.12126	7.08888	-7.29258	-8.86214	-2.35294	1.87761	-6.55369	-20.28057
5	1.51365	1.34789	3.53121	3.73176	-5.88205	0.82951	-8.95232	4.41043	-0.26620	0.98489	2.07993	1.74471	-5.71671	1.03261	-16.03022	2.58897	0.96565	3.82068	-4.78874	-10.21927	-0.41081	3.54119	-6.85389	-13.68486	1.68646	4.34064	-5.80748	-11.43950	-0.09862	0.22851	-4.93790	-15.42533	0.15160	3.22291	-6.73309	-14.62594	-0.73500	0.51824	-6.28760	-15.59061	-0.77618	3.34975	-6.15453	-17.17624	0.51843	-3.89187	-5.17259	-8.28806	0.42339	-0.28323	-5.21231	-17.70325	3.77458	6.80410	-5.73940	-6.08781	1.49546	3.06532	-5.85808	-12.54360	2.07332	3.97394	-5.89418	-4.05835	-1.36525	1.17053	-6.32217	-18.22008	1.22192	5.13700	-6.23513	-0.79810	-0.57355	3.23271	-7.16359	-12.85560	-0.63178	-2.09092	-4.67396	-14.85939	0.56115	0.76193	-4.13613	-13.97138	3.07763	6.63123	-6.62741	-9.98062	0.53764	5.30018	-3.99805	-19.14840	2.29873	7.36437	-7.14856	-9.16613	-1.98643	1.99406	-5.95961	-20.01311
6	1.74211	1.30431	3.86501	3.66028	-5.56683	0.79049	-8.56722	4.01320	0.05309	0.98333	2.38957	1.73018	-5.36777	1.06325	-15.65679	2.76275	1.25990	4.24823	-4.71594	-9.71396	-0.05296	4.06527	-6.69236	-13.08938	1.89547	4.74915	-5.49827	-10.48202	0.15200	0.61209	-4.61612	-14.86454	0.39534	3.51146	-6.46570	-13.48479	-0.50377	0.87132	-6.17589	-15.50146	-0.48678	3.60696	-5.73601	-17.66640	0.72876	-3.42521	-4.85779	-7.66560	0.62966	-0.11351	-5.03838	-17.31227	3.94391	7.26570	-5.72951	-5.86454	2.03080	3.66117	-5.30105	-11.90229	2.32451	4.31747	-5.72373	-4.06604	-0.95933	1.67052	-6.09650	-18.02396	1.39810	5.14559	-5.07396	-1.34823	-0.25451	3.43095	-6.76994	-12.23458	-0.28025	-1.61729	-4.49223	-14.40649	0.82202	0.96028	-3.63189	-13.29502	3.22397	6.84010	-6.25525	-9.50084	0.76270	5.32489	-3.77072	-18.58983	2.53140	7.61492	-6.85593	-9.13967	-1.55580	2.19530	-5.21666	-19.74500
