	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	5.34848	3.80106	-13.03906	4.13521	10.54722	5.76033	-2.54374	2.28082	4.14805	2.77636	-11.14499	2.27227	13.14638	2.57257	-8.79187	0.87700	1.25106	-10.96214	9.92400	-2.88689	4.85186	-12.34376	13.11450	-7.18267	4.44571	-14.32947	5.82716	-0.44785	6.62938	-10.96546	10.50234	-8.23798	4.81862	-18.11604	8.24639	-0.69223	4.30874	-9.22516	14.27335	-8.71140	2.63791	-9.07620	15.85864	-10.29653	13.49509	-13.78370	6.01877	-2.02673	6.70836	-11.55592	10.32661	-8.97478	6.16358	-5.62113	6.62660	-4.33720	4.42931	-12.02250	14.30981	-8.51986	4.69098	-10.19831	14.84558	-2.10895	4.90212	-12.60100	13.42946	-8.45486	0.51612	-9.28382	21.47528	-7.98464	5.34874	-10.25892	13.78179	-9.93969	9.50075	-12.66189	3.23532	-3.00755	7.06641	-13.39407	12.96765	-8.95511	5.27579	-18.20891	12.40205	-1.44847	-2.26368	-6.53571	8.51123	-8.03012	3.32711	-17.22517	16.87101	-0.49690	1.00935	-14.61621	17.53474	-9.40752
2	5.31540	3.80917	-12.47705	4.28435	9.04784	5.65224	-2.21079	2.77181	4.19293	2.82170	-10.11949	2.23666	11.82108	2.76468	-8.41832	0.96243	1.51298	-9.83547	7.63598	-2.07101	4.67410	-11.35975	12.86970	-7.03129	4.41519	-13.29315	4.70015	-0.20881	6.56448	-9.16518	8.38064	-7.59854	4.82638	-17.39530	7.14026	-0.55159	4.31209	-8.57512	12.59915	-8.21648	2.51507	-8.01070	14.17976	-10.10452	13.62924	-13.33731	3.97031	-1.10265	6.83094	-10.67146	8.74743	-8.43372	5.72046	-5.45672	5.26052	-3.58463	4.25634	-10.69146	13.62006	-8.31064	4.57971	-9.47504	12.71460	-1.40923	4.81417	-11.58443	11.12213	-7.48650	0.71636	-8.01447	19.51308	-9.50371	5.63284	-10.35044	13.70929	-9.59419	9.67366	-12.60997	2.03148	-2.38338	7.60942	-12.08269	11.69900	-8.88919	5.00336	-18.08238	11.97535	-1.14504	-2.12005	-5.34599	7.05607	-7.66410	3.07667	-17.27065	15.53666	-0.14782	1.03286	-13.47714	16.04861	-9.27237
3	5.21599	3.80824	-11.72416	4.31017	7.46297	5.37236	-1.34326	2.11059	4.16982	2.86040	-8.97925	2.17213	10.30473	2.87252	-7.94965	1.10689	1.71359	-8.88100	5.82021	-1.29998	4.40653	-10.22597	12.25209	-6.74405	4.30862	-12.07475	3.56088	0.13187	6.44637	-7.37273	6.25487	-6.91286	4.74242	-16.22545	5.79238	-0.22588	4.22318	-7.74243	10.59203	-7.43757	2.34580	-6.81932	12.13619	-9.79143	13.62949	-12.80841	2.03403	0.00258	6.90233	-9.84330	7.23222	-7.84206	5.23101	-5.32940	4.17986	-2.81009	4.05398	-9.06971	12.46180	-8.00442	4.38162	-8.65514	10.19412	-0.27674	4.61395	-10.41999	8.67271	-6.39066	0.85047	-6.46950	17.21978	-6.68539	5.83675	-10.12939	13.24310	-9.17243	9.76602	-12.50433	0.90984	-1.69799	8.02355	-10.66027	10.31899	-8.77076	4.71020	-17.47190	11.18107	-0.86097	-1.98788	-4.45012	6.00726	-7.37162	2.82642	-16.82179	13.73755	0.29003	1.00347	-12.03854	14.18081	-9.00825
4	5.04056	3.79007	-10.79690	4.24689	5.91816	4.93269	-0.51875	1.75690	4.08220	2.88979	-7.80278	2.07315	8.76203	2.85408	-7.45532	1.28503	1.83844	-8.16368	4.64276	-0.72631	4.06419	-8.98732	11.32666	-6.35046	4.11401	-10.66754	2.47029	0.49164	6.27502	-5.69994	4.38579	-6.30325	4.55550	-14.66309	4.34072	0.19413	4.03247	-6.79645	8.46510	-6.46290	2.14252	-5.62358	9.97585	-9.43788	13.47326	-12.16440	0.39031	1.11149	6.91339	-9.10163	5.91306	-7.26085	4.70806	-5.14551	3.42629	-2.16036	3.84385	-7.31616	10.96906	-7.60459	4.09073	-7.75947	7.50292	1.18308	4.30950	-9.22679	6.38892	-5.34089	0.91965	-4.71303	14.75561	-4.50454	5.97216	-9.59855	12.43422	-8.71668	9.75986	-12.33668	-0.05398	-1.01320	8.30322	-9.20781	8.96717	-8.65096	4.37938	-16.40203	10.07122	-0.59471	-1.86642	-3.86866	5.46008	-7.22306	2.56665	-15.95353	11.63540	0.83126	0.91425	-10.40373	12.09638	-8.65701
5	4.78155	3.74694	-9.69157	4.13826	4.54618	4.37111	-0.04123	2.06346	3.93573	2.90828	-6.65088	1.94441	7.34102	2.70933	-7.02947	1.45898	1.87566	-7.66177	4.16387	-0.53244	3.66759	-7.66324	10.18286	-5.94222	3.82005	-9.06960	1.53847	0.69512	6.04602	-4.21485	2.96142	-5.87997	4.25833	-12.75621	2.97118	0.50439	3.73951	-5.79585	6.44921	-5.46921	1.91762	-4.52136	7.92322	-9.12114	13.14167	-11.34516	-0.79432	1.97655	6.84956	-8.43310	4.86012	-6.75944	4.16722	-4.79630	3.02598	-1.82329	3.64895	-5.61255	9.33109	-7.15762	3.70275	-6.78973	4.92301	2.73457	3.92038	-8.06310	4.49894	-4.53811	0.93096	-2.81765	12.29113	-4.51276	6.05393	-8.78271	11.35634	-8.29205	9.64020	-12.08890	-0.77718	-0.44476	8.44900	-7.79434	7.75669	-8.58767	3.99178	-14.88745	8.71053	-0.38647	-1.75829	-3.59394	5.45245	-7.28677	2.28687	-14.70294	9.40914	1.37683	0.75877	-8.68466	9.97887	-8.28998
6	4.43824	3.67323	-8.39953	4.01634	3.49127	3.74829	0.07921	2.40843	3.74155	2.91572	-5.56129	1.80103	6.15498	2.48321	-6.77889	1.58775	1.82323	-7.26000	4.32682	-0.88504	3.24311	-6.26390	8.93372	-5.65669	3.42322	-7.30069	0.93386	0.48689	5.75820	-2.93460	2.07775	-5.74162	3.85192	-10.56037	1.92522	0.39994	3.35821	-4.76116	4.73681	-4.68596	1.68452	-3.58403	6.15419	-8.90252	12.62720	-10.27975	-1.37233	2.29568	6.69920	-7.80605	4.10935	-6.43141	3.62906	-4.18529	2.99935	-1.99722	3.49506	-4.11287	7.74242	-6.74967	3.21796	-5.74602	2.78904	4.02113	3.47807	-6.92341	3.12892	-4.17429	0.89605	-0.91214	10.03969	-4.75313	6.10001	-7.73268	10.10549	-7.98112	9.39949	-11.73643	-1.16646	-0.16252	8.47061	-6.47780	6.76792	-8.64011	3.53338	-12.94352	7.18824	-0.32642	-1.66595	-3.58615	5.94417	-7.60876	1.98093	-13.07114	7.24931	1.71278	0.53605	-6.99158	8.00401	-7.99564
