	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.40933	0.08670	-0.27692	0.04331	-0.00183	0.01908	0.38048	0.05116	-0.29344	0.03835	-0.00486	0.00561	0.54796	-0.25725	0.00133	0.35344	-0.32500	0.00211	0.32842	-0.25514	0.00269	0.32184	-0.26428	-0.00483	0.39046	-0.30319	0.00823	0.31299	-0.31847	0.00187	0.41959	-0.28975	-0.00801	0.30141	-0.25795	0.00411	0.42122	-0.28858	-0.01465	0.47121	-0.24783	-0.01781	0.36159	-0.30169	0.00671	0.36704	-0.28174	-0.00924	0.29593	-0.18826	-0.05061	0.43607	-0.30636	0.00604	0.43769	-0.34122	0.00066	0.47051	-0.32297	0.00615	0.34460	-0.21437	-0.00630	0.48969	-0.32854	0.01479	0.44593	-0.31755	-0.00538
2	0.52926	0.19840	-0.29893	0.08741	-0.00443	0.02183	0.43864	0.06044	-0.27765	0.04050	-0.01744	0.00932	0.58780	-0.20861	-0.00607	0.39037	-0.31833	-0.00566	0.37965	-0.25026	0.00266	0.37507	-0.25111	-0.02076	0.43292	-0.30158	0.00474	0.36415	-0.31715	-0.00998	0.46714	-0.26966	-0.02261	0.35377	-0.24956	-0.00207	0.51278	-0.27672	-0.03141	0.52145	-0.21109	-0.03985	0.42134	-0.29949	0.00709	0.40865	-0.25408	-0.02805	1.05398	-0.51402	-0.04742	0.49450	-0.29712	0.00794	0.50058	-0.31619	-0.01424	0.51780	-0.32527	0.00906	0.41495	-0.19625	-0.00548	0.52935	-0.33231	0.01959	0.51411	-0.29935	-0.01878
3	0.52424	0.06440	-0.23203	0.07191	-0.01674	0.03134	0.49286	0.07087	-0.23625	0.04298	-0.03828	0.01432	0.61864	-0.13104	-0.01944	0.42854	-0.28894	-0.02639	0.44829	-0.23189	-0.00212	0.41872	-0.21423	-0.04539	0.48748	-0.28000	-0.00647	0.42001	-0.29448	-0.03063	0.50563	-0.22705	-0.04480	0.41186	-0.22100	-0.01469	0.60127	-0.23833	-0.05467	0.56266	-0.15075	-0.06970	0.49714	-0.27965	0.00182	0.43974	-0.19599	-0.05340	0.50793	-0.12925	-0.07703	0.56413	-0.27234	0.00552	0.55354	-0.25230	-0.04080	0.57445	-0.30959	0.00138	0.49280	-0.16003	-0.00924	0.56987	-0.31475	0.01330	0.57546	-0.25488	-0.03923
4	0.54173	0.14831	-0.15156	0.13675	-0.03530	0.04159	0.53673	0.08559	-0.16191	0.05016	-0.06430	0.01949	0.64274	-0.02345	-0.03461	0.46475	-0.22815	-0.05987	0.52575	-0.19193	-0.01072	0.43671	-0.14308	-0.07475	0.55026	-0.23071	-0.02357	0.47633	-0.24306	-0.05455	0.52269	-0.15532	-0.07228	0.47609	-0.16805	-0.03194	0.67997	-0.16707	-0.08037	0.60093	-0.06720	-0.10445	0.57762	-0.23460	-0.00799	0.45845	-0.10354	-0.07981	0.14971	0.16077	-0.11771	0.64510	-0.22764	-0.00104	0.59746	-0.14372	-0.07585	0.63534	-0.26553	-0.01725	0.56589	-0.09353	-0.01828	0.61380	-0.26728	-0.00374	0.62835	-0.17972	-0.06298
5	0.62017	0.08060	-0.07493	0.12552	-0.05115	0.04383	0.55928	0.10284	-0.04937	0.06231	-0.08818	0.02621	0.65104	0.11317	-0.04513	0.48468	-0.12665	-0.09916	0.59672	-0.12237	-0.02006	0.42895	-0.03639	-0.10217	0.61012	-0.14694	-0.04216	0.52712	-0.15723	-0.07305	0.50285	-0.04785	-0.09938	0.54000	-0.08607	-0.05046	0.73251	-0.05726	-0.10010	0.62337	0.04210	-0.13822	0.64204	-0.15389	-0.01833	0.45729	0.02579	-0.10063	0.44683	0.13967	-0.12182	0.72492	-0.15574	-0.00870	0.61452	0.01654	-0.11144	0.70504	-0.19370	-0.04088	0.62815	0.00489	-0.02531	0.66166	-0.18550	-0.02575	0.65747	-0.06616	-0.08242
6	0.67222	0.06723	0.04175	0.13377	-0.06253	0.04610	0.56944	0.12414	0.09708	0.07879	-0.10348	0.03541	0.64175	0.27366	-0.04585	0.47927	0.01874	-0.13560	0.65626	-0.02142	-0.02641	0.42176	0.09615	-0.12121	0.66056	-0.02896	-0.05728	0.57660	-0.03806	-0.07925	0.46238	0.08990	-0.12085	0.60142	0.02560	-0.06722	0.77169	0.08304	-0.10686	0.62880	0.17579	-0.16715	0.68946	-0.03712	-0.02493	0.44405	0.18505	-0.11176	0.58492	0.23440	-0.11270	0.79725	-0.05490	-0.01433	0.61597	0.21997	-0.13968	0.76278	-0.08568	-0.06390	0.67079	0.14004	-0.02429	0.69895	-0.06383	-0.04552	0.68246	0.07890	-0.09178
