	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.11587	0.04956	-0.00357	0.02657	0.00006	0.00873	-0.09124	0.03298	0.01668	0.01908	0.00851	0.00998	-0.05738	0.01043	0.01851	-0.13123	0.00715	-0.00480	-0.11432	-0.01230	-0.00514	-0.07926	0.00410	0.00278	-0.13967	0.00332	-0.00128	-0.10021	0.00661	0.01633	-0.08030	0.01098	-0.00534	-0.17729	-0.05269	-0.00959	-0.11646	0.01831	0.02198	-0.07139	-0.01127	0.00812	-0.08473	0.00047	-0.00847	-0.11953	0.00102	0.00569	-0.05555	0.00478	0.00683	-0.18859	-0.03424	-0.00440	-0.10634	0.01693	0.00730	-0.16443	0.01127	-0.00439	-0.02638	0.02073	0.01314	-0.10537	0.04456	0.00038	-0.06142	0.06426	0.01952
2	-0.11367	0.06357	-0.01604	0.03224	-0.00215	0.01447	-0.07099	0.03758	0.00956	0.02515	0.01176	0.01651	-0.02136	0.00619	0.02957	-0.10420	-0.00275	-0.00730	-0.10890	-0.02677	-0.01256	-0.07521	-0.01205	0.00104	-0.13984	-0.01294	-0.00479	-0.07934	0.00456	0.02402	-0.06406	-0.00917	-0.01286	-0.21491	-0.07906	-0.01628	-0.10732	0.01463	0.03238	-0.03984	-0.00552	0.01117	-0.07319	-0.02229	-0.01758	-0.09776	-0.01068	0.00559	-0.11222	-0.01200	0.00611	-0.20018	-0.05126	-0.00959	-0.09004	0.00619	0.00938	-0.14719	0.00549	-0.00688	0.00246	0.02874	0.02320	-0.07909	0.03776	-0.00069	-0.02339	0.06658	0.03039
3	-0.07881	0.10330	-0.02362	0.04736	-0.00612	0.02276	-0.03760	0.04376	0.00346	0.03443	0.01309	0.02432	0.02982	0.00628	0.03991	-0.06325	-0.01435	-0.01279	-0.09803	-0.04632	-0.02553	-0.05993	-0.02755	-0.00326	-0.13334	-0.03575	-0.01255	-0.05068	0.00290	0.03050	-0.03962	-0.03230	-0.02422	-0.25078	-0.10777	-0.02571	-0.07833	0.01413	0.04146	0.01371	0.00409	0.01205	-0.06191	-0.05339	-0.03025	-0.05851	-0.02230	0.00241	0.07545	0.04773	0.01858	-0.20420	-0.07032	-0.01934	-0.06223	-0.00352	0.00964	-0.11783	-0.00476	-0.01272	0.04514	0.04383	0.03386	-0.04100	0.02404	-0.00565	0.02905	0.07032	0.04022
4	-0.05436	0.12320	-0.04451	0.05351	-0.01421	0.03177	0.01413	0.05051	0.00086	0.04589	0.01153	0.03284	0.10027	0.01094	0.04907	-0.00853	-0.02786	-0.02271	-0.07389	-0.06989	-0.04392	-0.01918	-0.03647	-0.01008	-0.11351	-0.06316	-0.02411	-0.00869	0.00255	0.03394	-0.00026	-0.05399	-0.03959	-0.27899	-0.13655	-0.03752	-0.02590	0.01785	0.04755	0.08789	0.01470	0.01170	-0.04848	-0.09234	-0.04653	0.00369	-0.03048	-0.00401	0.06103	0.00511	0.02236	-0.19873	-0.09296	-0.03495	-0.01728	-0.00845	0.00763	-0.08133	-0.02306	-0.02259	0.10596	0.06720	0.04384	0.00218	0.00207	-0.01561	0.09736	0.07742	0.04721
5	-0.01816	0.14568	-0.06330	0.06385	-0.02474	0.04129	0.08568	0.05569	0.00441	0.05717	0.00637	0.04060	0.19088	0.02054	0.05610	0.06629	-0.03716	-0.03638	-0.02924	-0.09291	-0.06593	0.04902	-0.03485	-0.01856	-0.07253	-0.08871	-0.03744	0.04987	0.00438	0.03313	0.05907	-0.06836	-0.05793	-0.28753	-0.15822	-0.04978	0.04799	0.02579	0.04839	0.18379	0.02910	0.01131	-0.02667	-0.13233	-0.06499	0.08880	-0.03143	-0.01289	0.01489	-0.03218	0.02342	-0.17397	-0.11468	-0.05578	0.04781	-0.00486	0.00242	-0.03489	-0.04256	-0.03483	0.18215	0.09669	0.05036	0.05371	-0.02102	-0.02944	0.18015	0.08949	0.04879
6	0.04840	0.17371	-0.06896	0.07991	-0.03520	0.05225	0.16814	0.06060	0.01425	0.06705	-0.00212	0.04681	0.29617	0.03424	0.06125	0.15933	-0.03867	-0.05273	0.03587	-0.10978	-0.08943	0.12847	-0.02442	-0.02771	-0.00749	-0.10453	-0.05022	0.11910	0.00862	0.02864	0.13099	-0.07374	-0.07813	-0.27117	-0.16908	-0.06100	0.12730	0.03572	0.04392	0.29603	0.04819	0.01279	0.00635	-0.16524	-0.08405	0.18331	-0.02441	-0.02280	0.11806	0.00761	0.03147	-0.12908	-0.13239	-0.08057	0.12688	0.00853	-0.00610	0.02251	-0.05965	-0.04773	0.27291	0.12961	0.05107	0.11675	-0.03895	-0.04448	0.26494	0.10697	0.04478
