	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.09501	0.04060	0.02661	0.00614	-0.00491	0.00312	-0.04600	0.01647	0.03331	0.00614	0.00415	0.00217	-0.06967	0.01231	-0.01259	-0.07427	0.03920	0.00188	-0.08788	0.02194	-0.00527	-0.02654	0.02860	0.00324	-0.10994	0.02501	-0.00442	-0.03611	0.03705	0.00400	-0.04142	0.04114	0.00859	-0.07094	0.03067	-0.00362	-0.05025	0.03103	0.00456	-0.06928	0.02413	-0.00110	-0.05487	0.02896	-0.00557	-0.04296	0.03264	0.00272	-0.06982	0.02992	-0.00156	-0.08692	0.02928	-0.00502	-0.06613	0.03334	0.00157	-0.18053	0.03379	-0.00449	-0.02554	0.02079	0.00561	-0.15028	0.03011	-0.00552	-0.05082	0.03598	0.00516
2	-0.10273	0.04104	0.02883	0.01878	-0.00750	0.00571	-0.02935	0.01528	0.03374	0.00812	0.00659	0.00375	-0.05964	-0.00378	-0.02036	-0.05253	0.04263	0.00389	-0.09032	0.02018	-0.00808	-0.02039	0.02751	0.00355	-0.10986	0.02615	-0.00479	-0.01538	0.04098	0.00779	-0.02906	0.04304	0.01116	-0.09103	0.03413	-0.00331	-0.03742	0.03363	0.00904	-0.06759	0.01869	-0.00007	-0.05027	0.02840	-0.00771	-0.03050	0.03104	0.00363	-0.15520	0.07183	-0.01252	-0.09431	0.02653	-0.00915	-0.05143	0.02971	0.00049	-0.17432	0.03479	-0.00359	-0.01134	0.01830	0.00970	-0.13470	0.03138	-0.00546	-0.01607	0.03679	0.01005
3	-0.08390	0.04550	0.01983	0.01795	-0.00669	0.01095	-0.00701	0.01927	0.03266	0.01066	0.01046	0.00641	-0.04889	-0.02427	-0.02954	-0.02694	0.04420	0.00715	-0.09320	0.01747	-0.01182	-0.00959	0.02574	0.00432	-0.10771	0.02686	-0.00472	0.00867	0.04422	0.01365	-0.01410	0.04372	0.01388	-0.11208	0.03863	-0.00281	-0.01216	0.03630	0.01644	-0.05602	0.01040	0.00121	-0.05142	0.02689	-0.01069	-0.01334	0.02758	0.00546	0.00156	0.01364	0.01178	-0.09878	0.02245	-0.01445	-0.03306	0.02307	-0.00032	-0.15997	0.03518	-0.00161	0.00867	0.01431	0.01590	-0.11251	0.03102	-0.00425	0.02875	0.03480	0.01765
4	-0.07747	0.04821	0.01275	0.02643	-0.00851	0.01559	0.02336	0.02767	0.02890	0.01376	0.01541	0.01018	-0.03777	-0.04915	-0.04008	0.00106	0.04247	0.01091	-0.09178	0.01271	-0.01705	0.01362	0.02178	0.00534	-0.10060	0.02584	-0.00493	0.03786	0.04538	0.02108	0.00723	0.04200	0.01605	-0.13105	0.04320	-0.00281	0.02735	0.03751	0.02630	-0.03583	-0.00124	0.00225	-0.05632	0.02397	-0.01501	0.00973	0.02114	0.00786	0.01461	-0.00599	0.01670	-0.10021	0.01661	-0.02157	-0.00814	0.01293	-0.00095	-0.14325	0.03378	0.00029	0.03768	0.00774	0.02456	-0.09249	0.02777	-0.00292	0.08389	0.02913	0.02756
5	-0.07268	0.04235	0.00584	0.03394	-0.01237	0.01869	0.06139	0.03700	0.02078	0.01684	0.02062	0.01477	-0.02589	-0.07814	-0.05097	0.03562	0.03517	0.01428	-0.08136	0.00443	-0.02394	0.04886	0.01377	0.00603	-0.08431	0.02107	-0.00624	0.07201	0.04250	0.02892	0.03701	0.03567	0.01670	-0.14138	0.04547	-0.00366	0.07728	0.03483	0.03709	-0.00472	-0.01744	0.00317	-0.06016	0.01849	-0.02046	0.03792	0.01006	0.01015	-0.03756	0.00648	0.00909	-0.09473	0.00757	-0.03048	0.02469	-0.00196	-0.00149	-0.12297	0.03019	0.00194	0.07330	-0.00121	0.03547	-0.07370	0.02033	-0.00210	0.14584	0.01819	0.03843
6	-0.05163	0.05228	-0.00840	0.04210	-0.01589	0.02381	0.10013	0.04433	0.00774	0.01981	0.02504	0.01994	-0.01400	-0.11047	-0.06148	0.07616	0.02037	0.01597	-0.06282	-0.00855	-0.03268	0.08451	0.00122	0.00562	-0.05718	0.01087	-0.00934	0.10686	0.03475	0.03615	0.06878	0.02419	0.01519	-0.13962	0.04342	-0.00562	0.12414	0.02776	0.04703	0.03524	-0.03855	0.00388	-0.06177	0.00944	-0.02694	0.06541	-0.00602	0.01142	0.01609	-0.01439	0.01449	-0.08421	-0.00553	-0.04114	0.06007	-0.02192	-0.00249	-0.09625	0.02272	0.00261	0.11353	-0.01327	0.04775	-0.05175	0.00707	-0.00263	0.20166	0.00255	0.04869
