	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z
1	0.96493	1.62982	-3.57260	2.43814	-1.82667	0.54396	-22.32979	3.91358	1.83506	0.97819	-4.68174	2.34346	-1.12656	0.57991	-26.55025	3.09765	0.93580	0.88693	-2.31414	-4.31850	-1.07405	-2.05128	-21.37635	-18.80811	1.59314	-1.69052	-1.83165	-25.25582	1.35449	-2.28026	-1.86418	-22.56005	3.71155	-9.90531	-1.57898	-23.86778	-0.28314	0.34749	-2.25765	-26.99668	2.36415	-3.47352	-1.07995	-22.72226	-0.70744	-5.29771	-1.75104	-22.53647	2.68121	-3.44489	-0.59847	-26.90755	-1.43969	-5.39448	-1.95564	-24.15641	2.08359	-3.38629	0.09831	-29.98649	2.28516	3.56030	-1.99933	-4.11244	-1.66313	-0.64973	-18.32293	-23.06695	-0.24880	-3.96783	-0.83266	-31.79969	0.22019	-5.32847	-1.82178	-26.03106	2.65246	-8.07281	-0.70161	-20.73314	0.13920	-9.19896	-1.96569	-12.59496	1.56117	-2.33187	-1.46842	-25.90631	-0.64451	-3.48810	-2.96247	-26.35868	2.20209	-3.02822	-2.17242	-25.38452	3.11838	-1.52944	-1.86502	-23.73930	1.68043	0.94720	-4.56458	-6.21608	-1.25630	-0.98339	-26.89122	-29.40360	3.11838	-1.52944	-1.86502	-23.73930	1.68043	0.94720	-4.56458	-6.21608	-1.25630	-0.98339	-26.89122	-29.40360
2	1.16705	1.62389	-3.27088	2.39115	-1.90185	0.50876	-21.92854	3.93074	2.00091	0.97146	-4.38279	2.31368	-1.10749	0.56636	-26.40618	3.42387	1.13913	1.11727	-2.09164	-3.92937	-0.95580	-2.28873	-20.47351	-17.47667	1.79272	-1.38966	-1.86551	-24.65442	1.50741	-1.98112	-2.04162	-22.98772	3.83430	-9.49052	-1.51590	-23.70212	-0.08540	0.64618	-2.47903	-26.02431	2.54083	-3.32032	-1.07553	-22.19203	-0.48142	-4.82103	-1.91087	-22.43510	2.79660	-3.12888	-0.70907	-26.37754	-1.25298	-4.98997	-2.06344	-24.20794	2.26259	-3.00431	0.10854	-29.47419	2.48055	3.72321	-1.58504	-3.55025	-1.78151	-1.10886	-18.20561	-21.77457	-0.08672	-3.57125	-0.71015	-32.13210	0.42388	-5.26399	-1.67571	-26.44109	2.83734	-7.67871	-0.71545	-20.17212	0.37988	-8.82255	-1.95999	-12.59818	1.79679	-1.94569	-1.46187	-25.12309	-0.44151	-3.25377	-2.88114	-25.78834	2.39802	-2.98311	-2.08321	-24.67883	3.33084	-1.43947	-1.78867	-23.32899	1.81294	1.10672	-4.24733	-5.98460	-1.23304	-0.95160	-27.47740	-29.90950	3.33084	-1.43947	-1.78867	-23.32899	1.81294	1.10672	-4.24733	-5.98460	-1.23304	-0.95160	-27.47740	-29.90950
3	1.38986	1.60535	-2.93687	2.33106	-1.93925	0.49501	-21.50290	4.00834	2.20069	0.96171	-4.02221	2.27941	-1.00178	0.53626	-26.12345	3.79185	1.34757	1.38760	-1.79059	-3.45147	-0.92213	-2.47584	-19.55104	-16.36482	2.00671	-1.07561	-1.78978	-24.01995	1.66598	-1.75887	-2.15549	-23.37774	3.98897	-9.02206	-1.38050	-23.33772	0.19083	0.93848	-2.56553	-25.09728	2.74821	-3.12141	-0.98597	-21.64050	-0.21376	-4.26949	-2.05369	-22.37065	2.96603	-2.70319	-0.70548	-25.64091	-1.03594	-4.52402	-2.15544	-24.33084	2.47245	-2.52603	0.15410	-28.88193	2.68188	3.89246	-1.08950	-3.00621	-1.92805	-1.50542	-17.85301	-20.39622	0.11914	-3.11333	-0.52397	-32.18266	0.64748	-5.15115	-1.51399	-26.70029	3.04310	-7.23460	-0.70160	-19.40809	0.64031	-8.37018	-1.97404	-12.61619	2.07371	-1.54601	-1.36713	-24.24764	-0.22722	-3.01946	-2.69019	-25.11987	2.63046	-2.85148	-1.83896	-23.90639	3.54553	-1.34341	-1.63522	-22.87984	1.95742	1.32265	-3.91195	-5.63558	-1.13368	-0.80827	-27.75323	-30.41632	3.54553	-1.34341	-1.63522	-22.87984	1.95742	1.32265	-3.91195	-5.63558	-1.13368	-0.80827	-27.75323	-30.41632
4	1.64098	1.57562	-2.57769	2.28246	-1.90986	0.49048	-21.04589	4.13144	2.44471	0.94986	-3.58765	2.23663	-0.80218	0.49869	-25.68690	4.16234	1.56090	1.69980	-1.44111	-2.91331	-0.94776	-2.57431	-18.63013	-15.48268	2.23728	-0.75242	-1.57487	-23.34431	1.83373	-1.63642	-2.14947	-23.73027	4.18965	-8.48331	-1.17455	-22.77080	0.56341	1.25181	-2.45741	-24.25101	2.98992	-2.85699	-0.80942	-21.03831	0.10237	-3.69401	-2.10830	-22.31133	3.20879	-2.16381	-0.57417	-24.72754	-0.78074	-4.02919	-2.17631	-24.45070	2.72608	-1.95681	0.25381	-28.19946	2.90215	4.07683	-0.53955	-2.49489	-2.07415	-1.79248	-17.24896	-18.97444	0.38118	-2.58273	-0.26631	-31.95448	0.89954	-5.00171	-1.32991	-26.73655	3.27917	-6.73111	-0.64356	-18.45953	0.92808	-7.88996	-1.97302	-12.59502	2.40207	-1.12247	-1.15774	-23.34752	0.00239	-2.76445	-2.37695	-24.39537	2.90189	-2.60556	-1.47645	-23.06975	3.77217	-1.17856	-1.43403	-22.39502	2.12858	1.60403	-3.54451	-5.14759	-0.96206	-0.54047	-27.64851	-30.86047	3.77217	-1.17856	-1.43403	-22.39502	2.12858	1.60403	-3.54451	-5.14759	-0.96206	-0.54047	-27.64851	-30.86047
5	1.92896	1.53754	-2.18763	2.26176	-1.78619	0.48850	-20.55580	4.27976	2.74193	0.93752	-3.06994	2.18404	-0.50280	0.46769	-25.10061	4.50365	1.78249	2.05344	-1.07280	-2.33838	-0.98831	-2.54922	-17.72870	-14.80777	2.48770	-0.42260	-1.18691	-22.65377	2.01802	-1.59728	-1.96610	-24.02834	4.45107	-7.85614	-0.89072	-22.03034	1.04656	1.62767	-2.14867	-23.49861	3.26687	-2.50965	-0.54999	-20.36247	0.47479	-3.12412	-2.00533	-22.21632	3.53422	-1.51543	-0.30099	-23.71320	-0.47992	-3.52157	-2.07512	-24.50313	3.03634	-1.30161	0.42840	-27.44118	3.15648	4.28401	0.05080	-2.01802	-2.17561	-1.93053	-16.43266	-17.56523	0.71079	-1.97375	0.08303	-31.49072	1.18870	-4.81476	-1.09306	-26.51401	3.55784	-6.16003	-0.52143	-17.38086	1.25433	-7.40030	-1.90555	-12.49299	2.79100	-0.65742	-0.81917	-22.43064	0.25319	-2.45362	-1.95426	-23.67763	3.21349	-2.22641	-1.04770	-22.18419	4.02221	-0.88839	-1.21434	-21.88002	2.34186	1.95599	-3.12779	-4.51530	-0.72259	-0.14289	-27.13602	-31.17430	4.02221	-0.88839	-1.21434	-21.88002	2.34186	1.95599	-3.12779	-4.51530	-0.72259	-0.14289	-27.13602	-31.17430
6	2.26131	1.49590	-1.75114	2.27388	-1.55068	0.49390	-20.04001	4.43131	3.09747	0.92661	-2.46647	2.12315	-0.09754	0.46386	-24.40106	4.79067	2.01923	2.44463	-0.70510	-1.74083	-0.99502	-2.37928	-16.86402	-14.29436	2.76117	-0.08180	-0.60497	-21.99278	2.22799	-1.58923	-1.57777	-24.24425	4.78541	-7.12619	-0.50820	-21.17351	1.64691	2.11227	-1.68546	-22.83737	3.57513	-2.07146	-0.21622	-19.60663	0.90852	-2.56020	-1.70892	-22.05161	3.93659	-0.77571	0.12851	-22.70634	-0.12853	-2.99813	-1.82965	-24.45170	3.41200	-0.56741	0.69867	-26.64658	3.46005	4.51891	0.68216	-1.56570	-2.17275	-1.89616	-15.49256	-16.23197	1.11501	-1.29227	0.56114	-30.86934	1.52215	-4.57298	-0.75547	-26.04587	3.89213	-5.51571	-0.30727	-16.26044	1.63132	-6.88573	-1.72364	-12.29618	3.24529	-0.13201	-0.34652	-21.56576	0.53147	-2.05329	-1.45867	-23.02711	3.56514	-1.70860	-0.59770	-21.27937	4.30718	-0.44402	-0.98805	-21.34157	2.61191	2.37772	-2.64379	-3.75268	-0.41947	0.38177	-26.24076	-31.31578	4.30718	-0.44402	-0.98805	-21.34157	2.61191	2.37772	-2.64379	-3.75268	-0.41947	0.38177	-26.24076	-31.31578
