	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.23996	0.08404	-0.20341	0.03499	0.00296	0.01063	0.26231	0.05372	-0.20309	0.02493	0.00960	0.00886	0.23109	-0.23345	0.00832	0.30014	-0.18074	-0.00251	0.30663	-0.23718	0.00038	0.25953	-0.20132	0.01585	0.36118	-0.25025	0.00921	0.26087	-0.20357	0.00219	0.21340	-0.22020	0.00173	0.18776	-0.18069	0.01786	0.12513	-0.17932	0.01926	0.17073	-0.16065	0.01451	0.27051	-0.23755	0.00372	0.35878	-0.22005	-0.00250	0.10042	-0.16557	0.00333	0.15398	-0.19952	0.00462	0.24572	-0.19754	0.00542	0.32362	-0.20290	0.01301	0.27244	-0.21073	0.00613	0.27682	-0.15581	-0.01552	0.28357	-0.23780	0.01953	0.27682	-0.15581	-0.01552	0.28357	-0.23780	0.01953
2	0.28522	0.08312	-0.20539	0.04471	-0.00343	0.01613	0.29855	0.06400	-0.20794	0.02785	0.00918	0.01301	0.29093	-0.24824	0.00042	0.34428	-0.17375	-0.00719	0.38277	-0.25386	-0.00624	0.29595	-0.19990	0.01899	0.39722	-0.25145	0.01006	0.27877	-0.20356	-0.00479	0.25763	-0.22589	-0.01012	0.21300	-0.19178	0.02020	0.16841	-0.18671	0.01970	0.18977	-0.16617	0.01862	0.31313	-0.25462	-0.00333	0.41061	-0.21566	-0.00902	0.13650	-0.16157	-0.00260	0.23100	-0.20540	-0.00007	0.33818	-0.22958	0.00527	0.36568	-0.18980	0.01528	0.27959	-0.20348	0.00389	0.29706	-0.14086	-0.03040	0.31769	-0.24777	0.02292	0.29706	-0.14086	-0.03040	0.31769	-0.24777	0.02292
3	0.32748	0.08220	-0.19453	0.05489	-0.01510	0.02340	0.31226	0.08041	-0.18774	0.03514	0.00435	0.01786	0.35321	-0.25095	-0.01463	0.39372	-0.15806	-0.01424	0.45136	-0.25687	-0.02037	0.32328	-0.18060	0.01889	0.42441	-0.23917	0.00914	0.29302	-0.19182	-0.01720	0.30597	-0.21798	-0.02938	0.24416	-0.19126	0.01688	0.20892	-0.17997	0.01516	0.20661	-0.16138	0.02150	0.35704	-0.25972	-0.01631	0.45705	-0.19237	-0.01995	0.18173	-0.14524	-0.01386	0.30973	-0.19685	-0.01106	0.21380	-0.13087	-0.00578	0.39415	-0.16299	0.01794	0.28106	-0.18428	-0.00182	0.30787	-0.11506	-0.05135	0.35492	-0.24338	0.02262	0.30787	-0.11506	-0.05135	0.35492	-0.24338	0.02262
4	0.36598	0.08554	-0.16836	0.06533	-0.02977	0.03262	0.34909	0.08633	-0.16473	0.03231	-0.00198	0.02300	0.41563	-0.23923	-0.03270	0.44640	-0.13137	-0.02086	0.51254	-0.24283	-0.04026	0.34897	-0.14613	0.01641	0.44081	-0.21094	0.00776	0.30893	-0.16918	-0.03300	0.34968	-0.18953	-0.05205	0.27838	-0.17316	0.00832	0.24253	-0.15464	0.00693	0.21934	-0.14215	0.02463	0.41320	-0.25586	-0.03242	0.50566	-0.15197	-0.03389	0.23706	-0.11522	-0.02734	0.38569	-0.16859	-0.02737	0.31315	-0.13736	-0.01391	0.41250	-0.12395	0.02346	0.28286	-0.15416	-0.00984	0.30804	-0.07560	-0.07677	0.39360	-0.22091	0.02114	0.30804	-0.07560	-0.07677	0.39360	-0.22091	0.02114
5	0.39419	0.09358	-0.12353	0.07478	-0.04382	0.04279	0.37670	0.09794	-0.12219	0.03523	-0.00842	0.02918	0.46694	-0.20828	-0.04854	0.48519	-0.09065	-0.02364	0.55822	-0.20609	-0.06129	0.36780	-0.09298	0.01115	0.44176	-0.16393	0.00807	0.32433	-0.13527	-0.04917	0.38462	-0.14040	-0.07226	0.31310	-0.13740	-0.00258	0.26518	-0.10907	-0.00283	0.22663	-0.10546	0.02968	0.47042	-0.23668	-0.04816	0.54678	-0.09173	-0.04804	0.29831	-0.07095	-0.03920	0.44418	-0.11264	-0.04547	0.35018	-0.09661	-0.02729	0.41093	-0.06964	0.03272	0.28316	-0.10989	-0.01868	0.29779	-0.02057	-0.10253	0.43494	-0.18096	0.02217	0.29779	-0.02057	-0.10253	0.43494	-0.18096	0.02217
6	0.41406	0.10425	-0.06347	0.08276	-0.05340	0.05288	0.40239	0.10744	-0.06683	0.04007	-0.01208	0.03684	0.50295	-0.16006	-0.05688	0.49970	-0.03639	-0.01999	0.58924	-0.14811	-0.07825	0.39127	-0.03002	0.00500	0.43502	-0.10358	0.01265	0.34327	-0.09467	-0.06286	0.40662	-0.07390	-0.08526	0.34497	-0.08916	-0.01263	0.27697	-0.04796	-0.01119	0.23302	-0.05444	0.03876	0.52519	-0.20385	-0.05955	0.58704	-0.01943	-0.05946	0.35583	-0.01276	-0.04657	0.48433	-0.03189	-0.06015	0.36732	-0.03281	-0.04181	0.39422	-0.00533	0.04646	0.29620	-0.05730	-0.02586	0.29214	0.04465	-0.12436	0.48058	-0.12702	0.02903	0.29214	0.04465	-0.12436	0.48058	-0.12702	0.02903
