	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.09107	0.03589	-0.01937	0.03042	0.00431	0.01265	-0.14460	0.02852	-0.03814	0.01770	-0.00250	0.00972	-0.10131	-0.02684	0.01850	-0.13942	-0.03338	-0.01093	-0.05319	0.02107	0.01312	-0.19321	-0.05755	-0.01144	-0.03803	0.02878	0.00666	-0.13795	-0.00702	0.02077	-0.14090	-0.04723	0.00135	-0.13592	-0.05884	-0.00784	-0.10466	-0.05550	-0.01731	-0.14107	-0.05719	0.00167	-0.08508	-0.00121	0.02745	-0.14256	-0.03139	-0.00693	-0.11261	-0.04275	0.00346	-0.12756	-0.05423	0.00810	-0.08307	-0.01456	-0.00205	-0.12859	-0.03619	-0.01028	-0.13929	-0.03519	0.00512	-0.05489	0.00050	-0.00185	-0.16676	-0.04312	-0.00666	-0.05489	0.00050	-0.00185	-0.16676	-0.04312	-0.00666
2	-0.07849	0.03843	-0.01916	0.03454	0.00179	0.02056	-0.13343	0.03557	-0.04028	0.02453	-0.01129	0.01729	-0.08000	-0.01382	0.02730	-0.11892	-0.03055	-0.02251	-0.05287	0.02545	0.01248	-0.20045	-0.06947	-0.02723	0.00268	0.03443	0.00113	-0.11345	0.00406	0.02780	-0.13383	-0.04971	-0.00288	-0.14000	-0.07066	-0.02270	-0.10285	-0.07029	-0.03349	-0.13633	-0.05885	0.00110	-0.07389	0.00859	0.03749	-0.10642	-0.01960	-0.01934	-0.10788	-0.04574	0.00190	-0.10300	-0.04883	0.01464	-0.07571	-0.01837	-0.01039	-0.10882	-0.04427	-0.02119	-0.11533	-0.03451	0.00360	-0.05146	-0.00330	-0.00883	-0.16382	-0.05240	-0.02160	-0.05146	-0.00330	-0.00883	-0.16382	-0.05240	-0.02160
3	-0.05613	0.04585	-0.01646	0.03945	-0.00350	0.02979	-0.10016	0.06337	-0.03434	0.03666	-0.02549	0.02712	-0.03995	0.00498	0.03654	-0.08629	-0.02293	-0.03733	-0.04486	0.02894	0.00636	-0.19263	-0.07965	-0.04983	0.05719	0.04042	-0.00916	-0.07386	0.02037	0.03391	-0.11662	-0.04934	-0.01084	-0.13319	-0.07813	-0.04525	-0.09336	-0.08358	-0.05445	-0.11757	-0.05486	-0.00317	-0.04961	0.02253	0.04552	-0.04908	0.00143	-0.03865	-0.09787	-0.04522	-0.00275	-0.06804	-0.03879	0.02225	0.03116	0.01288	-0.02655	-0.07803	-0.05011	-0.03447	-0.07953	-0.02831	-0.00051	-0.04312	-0.00542	-0.01873	-0.15031	-0.05709	-0.04379	-0.04312	-0.00542	-0.01873	-0.15031	-0.05709	-0.04379
4	-0.02549	0.05785	-0.01009	0.04476	-0.01048	0.04023	-0.06563	0.07382	-0.02564	0.04473	-0.04325	0.03830	0.01633	0.02888	0.04627	-0.04434	-0.01112	-0.05337	-0.03051	0.03120	-0.00439	-0.17784	-0.08832	-0.07746	0.12193	0.05002	-0.02330	-0.02606	0.04091	0.03950	-0.08742	-0.04322	-0.02153	-0.11252	-0.07635	-0.07208	-0.07473	-0.09185	-0.07774	-0.08452	-0.04389	-0.01146	-0.01937	0.03896	0.05369	0.02368	0.03097	-0.06266	-0.08392	-0.04020	-0.00944	-0.02555	-0.02439	0.03112	0.05772	0.01489	-0.04678	-0.04059	-0.05278	-0.04857	-0.03610	-0.01577	-0.00671	-0.02826	-0.00379	-0.03069	-0.12814	-0.05385	-0.07076	-0.02826	-0.00379	-0.03069	-0.12814	-0.05385	-0.07076
5	0.01325	0.07220	0.00253	0.04983	-0.01784	0.05065	-0.02038	0.09092	-0.00738	0.05327	-0.06180	0.04915	0.08476	0.05740	0.05570	0.01189	0.00836	-0.06771	-0.01018	0.03489	-0.01790	-0.15247	-0.08885	-0.10580	0.19214	0.06762	-0.03971	0.02345	0.06423	0.04413	-0.05019	-0.02986	-0.03288	-0.08097	-0.06236	-0.09797	-0.04645	-0.09090	-0.10003	-0.03889	-0.02352	-0.02296	0.01869	0.05915	0.06077	0.11202	0.07185	-0.08672	-0.06401	-0.02825	-0.01602	0.02585	-0.00267	0.04095	0.11279	0.03270	-0.06916	0.00455	-0.04821	-0.06126	0.01376	0.00500	-0.01391	-0.00469	0.00431	-0.04294	-0.10268	-0.04062	-0.09896	-0.00469	0.00431	-0.04294	-0.10268	-0.04062	-0.09896
6	0.05722	0.08706	0.02237	0.05456	-0.02409	0.06060	0.02585	0.11096	0.01934	0.06149	-0.07864	0.05895	0.15796	0.08890	0.06489	0.07931	0.03609	-0.07917	0.01237	0.04298	-0.03134	-0.12943	-0.08126	-0.13166	0.26568	0.09674	-0.05651	0.06653	0.08921	0.04876	-0.00725	-0.00806	-0.04272	-0.04374	-0.03598	-0.11916	-0.01048	-0.07935	-0.11921	0.00943	0.00514	-0.03621	0.06076	0.08290	0.06812	0.20228	0.12219	-0.10716	-0.03650	-0.00822	-0.02053	0.08234	0.02716	0.05171	0.17404	0.06243	-0.08960	0.05328	-0.03662	-0.07191	0.06151	0.03277	-0.02040	0.02564	0.01985	-0.05376	-0.08070	-0.01857	-0.12589	0.02564	0.01985	-0.05376	-0.08070	-0.01857	-0.12589
