	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_07_CR017_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04498	0.01611	0.00603	0.00884	-0.00005	0.00888	-0.07206	0.01516	0.00908	0.01032	0.00714	0.00995	-0.05292	-0.00365	-0.01327	-0.08902	0.01228	0.00200	-0.03304	0.00983	0.00612	-0.07988	0.01925	0.01486	-0.02893	0.01579	0.00490	-0.08403	0.00195	0.00010	-0.05834	0.00869	0.00472	-0.06185	0.01148	0.01463	-0.03073	0.01997	0.01549	-0.08795	-0.01155	-0.01088	-0.05519	-0.01230	-0.01279	-0.07623	0.00018	0.00199	-0.05961	0.00562	-0.00176	-0.05204	0.00023	-0.00801	-0.04809	0.00740	0.00664	-0.07122	0.00651	-0.00454	-0.08198	0.00808	0.00227	-0.02635	0.00783	0.00429	-0.05578	0.02088	0.01987	-0.02635	0.00783	0.00429	-0.05578	0.02088	0.01987
2	-0.03655	0.02089	0.00557	0.01314	-0.00057	0.01406	-0.05761	0.01730	0.01242	0.01426	0.01100	0.01402	-0.04471	-0.01082	-0.02165	-0.07369	0.01278	0.00461	-0.03529	0.01142	0.00733	-0.06650	0.02729	0.02205	0.00181	0.01836	0.00614	-0.07251	-0.00169	-0.00269	-0.04983	0.01240	0.00770	-0.05574	0.01903	0.02275	-0.01909	0.02766	0.02387	-0.08489	-0.01032	-0.00988	-0.05579	-0.01737	-0.01997	-0.04971	-0.00117	0.00309	-0.06075	0.00289	-0.00302	-0.03499	-0.00549	-0.01317	-0.03549	0.01110	0.00971	-0.06470	0.00101	-0.00922	-0.06258	0.00680	0.00136	-0.01933	0.01058	0.00787	-0.03750	0.03019	0.02953	-0.01933	0.01058	0.00787	-0.03750	0.03019	0.02953
3	-0.02297	0.02810	0.00455	0.01840	-0.00092	0.01997	-0.02898	0.03048	0.01579	0.01905	0.01553	0.01846	-0.03029	-0.02031	-0.03119	-0.04962	0.01274	0.00761	-0.03019	0.01261	0.00906	-0.04297	0.03574	0.02956	0.03900	0.01820	0.00747	-0.05087	-0.00612	-0.00553	-0.03598	0.01668	0.01160	-0.04063	0.02874	0.03237	-0.00261	0.03621	0.03287	-0.07229	-0.00745	-0.00734	-0.04935	-0.02299	-0.02712	-0.01043	-0.00295	0.00441	-0.05937	0.00006	-0.00436	-0.01512	-0.01253	-0.01901	0.03644	0.01188	0.01313	-0.05220	-0.00614	-0.01506	-0.03560	0.00495	0.00083	-0.00829	0.01411	0.01279	-0.01189	0.04017	0.04015	-0.00829	0.01411	0.01279	-0.01189	0.04017	0.04015
4	-0.00647	0.03593	0.00202	0.02443	-0.00161	0.02620	-0.00030	0.03342	0.01845	0.02402	0.01971	0.02243	-0.01160	-0.03252	-0.04127	-0.01992	0.01127	0.01017	-0.01843	0.01250	0.01080	-0.01655	0.04351	0.03627	0.07763	0.01452	0.00825	-0.02364	-0.01161	-0.00808	-0.01743	0.01981	0.01570	-0.01829	0.03786	0.04093	0.01722	0.04372	0.04080	-0.05134	-0.00397	-0.00382	-0.04172	-0.03103	-0.03516	0.03626	-0.00665	0.00501	-0.05559	-0.00325	-0.00599	0.00550	-0.02172	-0.02526	0.06322	0.01459	0.01686	-0.03684	-0.01497	-0.02243	-0.00495	0.00224	0.00050	0.00505	0.01756	0.01842	0.01608	0.04862	0.04965	0.00505	0.01756	0.01842	0.01608	0.04862	0.04965
5	0.01156	0.04223	-0.00260	0.03041	-0.00276	0.03165	0.03123	0.03893	0.01844	0.02828	0.02243	0.02490	0.00944	-0.04704	-0.05063	0.01804	0.00742	0.01216	-0.00131	0.01036	0.01218	0.00945	0.04769	0.03984	0.11249	0.00728	0.00773	0.00453	-0.01805	-0.00984	0.00218	0.02011	0.01886	0.00620	0.04340	0.04597	0.03827	0.04840	0.04606	-0.02392	-0.00072	0.00039	-0.03112	-0.04052	-0.04219	0.08805	-0.01350	0.00453	-0.04802	-0.00793	-0.00798	0.02701	-0.03308	-0.03057	0.10340	0.01351	0.01911	-0.01938	-0.02526	-0.03098	0.02656	-0.00201	0.00007	0.01883	0.01955	0.02358	0.03999	0.05333	0.05604	0.01883	0.01955	0.02358	0.03999	0.05333	0.05604
6	0.02876	0.04666	-0.00968	0.03611	-0.00487	0.03597	0.05852	0.04545	0.01508	0.03164	0.02312	0.02569	0.02938	-0.06394	-0.05938	0.06145	0.00080	0.01325	0.01647	0.00572	0.01247	0.02670	0.04762	0.03964	0.14136	-0.00263	0.00535	0.02797	-0.02534	-0.01077	0.02118	0.01692	0.02009	0.02856	0.04384	0.04657	0.05902	0.04975	0.04807	0.00366	0.00107	0.00425	-0.02040	-0.05202	-0.04849	0.13491	-0.02431	0.00271	-0.03647	-0.01524	-0.01056	0.04712	-0.04697	-0.03474	0.14111	0.00852	0.01944	-0.00209	-0.03624	-0.04050	0.05203	-0.00836	-0.00092	0.03036	0.01906	0.02709	0.05440	0.05348	0.05853	0.03036	0.01906	0.02709	0.05440	0.05348	0.05853
