	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	12.56394	1.82878	38.11382	2.53982	8.05307	2.63542	4.24791	1.86175	15.09849	1.96780	35.73408	3.92536	4.27951	2.38090	2.33132	3.02094	11.99885	35.30418	7.12076	0.72333	12.14099	31.07655	4.84660	-0.01862	11.08440	34.89830	8.85895	3.53130	10.42330	33.54530	5.76734	3.02876	14.60858	36.96865	3.23866	3.08712	12.69302	33.51212	3.82819	4.74274	16.10231	42.94178	3.87184	4.04936	9.96416	35.69415	10.40744	4.29658	14.45551	40.06131	6.39047	4.54327	15.45279	42.45404	8.51625	6.30768	13.84910	38.55985	5.74427	7.06084	12.61669	39.17319	11.18318	4.18640	15.38426	39.36016	6.00804	2.79673	12.31440	37.99852	8.92493	3.95396	13.92139	33.93616	1.36347	3.30986	14.39200	41.30951	10.90165	5.84377	13.00410	38.47899	7.74695	1.49879	14.61959	40.32095	9.61435	2.20087	12.32884	32.59988	1.50716	2.60802	13.89000	38.97416	8.18990	6.30857	9.07100	31.13999	-0.35939	-1.53860	15.44163	39.11559	6.28503	3.47252	11.30240	33.59684	4.63914	-4.10533	11.79649	35.15463	3.39573	7.06280
2	12.65359	1.74196	37.90245	2.45555	7.92326	2.72421	3.67280	1.70740	15.04674	1.97803	35.48117	4.13489	4.62893	2.65438	1.84759	2.99232	12.25866	35.55549	7.38206	0.42366	12.03557	30.88156	6.13068	-0.44653	11.14300	34.60803	8.84878	3.19783	10.34180	33.13532	5.85815	2.88093	14.55910	36.51749	2.78633	2.48260	12.68297	32.82486	4.08523	4.26048	16.05473	42.83724	4.13324	3.43792	9.91148	35.31305	9.72718	3.58944	14.65263	40.38831	7.19390	3.85013	15.59796	42.10239	7.79551	5.88574	13.91730	38.43769	6.60190	6.81766	12.72019	39.13921	11.27156	3.90173	15.35418	39.36713	6.42227	2.09283	12.31411	37.69131	9.32083	3.42083	13.77172	33.12376	0.74383	2.51188	14.24221	40.50444	11.14010	4.72216	13.02619	38.44267	8.16453	1.18756	14.67940	40.19765	9.64054	1.70464	12.39458	32.51159	1.66879	2.09376	13.91706	38.73975	7.76243	5.53583	8.87880	30.55240	-0.18165	-2.26450	15.49533	39.29011	6.04059	3.07716	11.33754	33.27154	4.72629	-4.25104	11.91388	35.17043	3.36315	6.13200
3	12.75547	1.66901	37.75872	2.36759	8.42158	2.75559	2.99599	1.54624	15.02457	1.99780	35.28444	4.34292	5.36947	2.91060	1.13161	2.93883	12.51950	35.89756	8.26713	0.06994	11.93297	30.61834	7.38298	-1.01981	11.21699	34.42174	9.45970	2.85786	10.28849	32.82692	6.41216	2.47118	14.52990	36.19070	3.08200	1.68157	12.67087	32.07470	4.36981	3.41730	16.04271	42.79924	4.85316	2.57315	9.85390	35.02651	9.79552	2.88377	14.85895	40.73754	8.40767	2.91679	15.68373	41.71310	7.58884	5.19777	13.95651	38.25412	7.66640	6.28633	12.82669	39.23885	12.08636	3.58318	15.33143	39.44877	7.43049	1.17542	12.33801	37.43622	10.13983	2.72402	13.63798	32.49871	0.77970	1.50369	14.09734	39.67612	11.59564	3.34582	13.04404	38.45316	9.08448	0.67139	14.72411	40.07517	10.21448	1.17421	12.44564	32.50889	2.32767	1.36263	13.96545	38.60232	8.07169	4.66507	8.74101	30.13359	0.48188	-3.30024	15.52827	39.55937	6.60812	2.67889	11.40762	33.05927	5.23718	-4.47852	12.01378	35.26694	4.14968	5.08983
4	12.86088	1.61362	37.69056	2.29601	9.49261	2.74389	2.28652	1.42166	15.02790	2.02377	35.14339	4.54205	6.45290	3.10696	0.25109	2.86164	12.76299	36.29201	9.67445	-0.29466	11.84090	30.31379	8.58713	-1.60832	11.29843	34.33984	10.59630	2.60538	10.26204	32.60278	7.32811	1.82447	14.52122	36.00157	4.05119	0.68529	12.65726	31.30488	4.69232	2.26741	16.06026	42.83354	6.02768	1.47089	9.79507	34.86264	10.60532	2.26251	15.06533	41.09302	9.94914	1.83806	15.71258	41.31529	7.91136	4.26446	13.96348	37.98970	8.83826	5.52585	12.93002	39.47886	13.58612	3.30897	15.31169	39.59478	8.93659	0.15814	12.37811	37.22324	11.29564	1.96132	13.52194	32.08980	1.46847	0.35450	13.96459	38.86531	12.23260	1.83722	13.05601	38.50462	10.42875	0.01696	14.75028	39.96919	11.29682	0.71098	12.47509	32.58102	3.42856	0.47285	14.03396	38.57002	9.08233	3.77914	8.64171	29.84950	1.59335	-4.58125	15.53884	39.92654	7.94464	2.32025	11.50414	32.96334	6.15642	-4.72644	12.09179	35.44223	5.63457	3.99733
5	12.95169	1.57805	37.69065	2.26217	11.04845	2.72447	1.65685	1.41284	15.04740	2.05312	35.05370	4.72425	7.83707	3.24369	-0.65969	2.76495	12.96320	36.68638	11.46338	-0.62092	11.76491	30.01976	9.79798	-2.03147	11.36792	34.33315	12.11674	2.51706	10.25303	32.43888	8.51420	1.03572	14.52396	35.94548	5.57138	-0.43958	12.63488	30.57974	5.13207	0.97478	16.09634	42.93855	7.64414	0.22652	9.72869	34.82045	12.07486	1.83436	15.25611	41.43304	11.73878	0.76135	15.68280	40.94348	8.77060	3.18909	13.92833	37.63814	10.06605	4.65426	13.01253	39.83679	15.67511	3.17653	15.28484	39.78144	10.81432	-0.80441	12.40971	37.03731	12.71906	1.30081	13.41670	31.89988	2.78230	-0.79648	13.84442	38.10811	13.03989	0.40575	13.05583	38.58409	12.10315	-0.65959	14.74826	39.88737	12.81785	0.45193	12.47239	32.70486	4.90000	-0.46664	14.10120	38.62791	10.73007	3.03633	8.55483	29.65477	3.09334	-5.90906	15.52295	40.37626	9.94164	2.05494	11.61119	32.97129	7.45855	-4.90129	12.13974	35.68515	7.66076	2.97593
6	13.00153	1.56043	37.73229	2.28032	12.96673	2.72907	1.22443	1.56070	15.06672	2.08232	35.00687	4.87666	9.47744	3.33086	-1.44054	2.64873	13.09120	37.01344	13.45228	-0.87062	11.70763	29.80130	11.10838	-2.13296	11.39820	34.34331	13.84721	2.61739	10.24386	32.30527	9.89353	0.24655	14.51520	36.00042	7.50128	-1.54753	12.59083	29.97633	5.81106	-0.23028	16.13251	43.10583	9.67295	-1.00078	9.63784	34.86030	14.03787	1.70020	15.40997	41.72658	13.69079	-0.16205	15.58593	40.63141	10.15356	2.14743	13.83791	37.21036	11.33782	3.80379	13.04800	40.25165	18.18240	3.24832	15.23644	39.96648	12.90838	-1.57476	12.39603	36.86306	14.35388	0.91097	13.30554	31.90817	4.65478	-1.78022	13.72964	37.43089	14.02443	-0.70671	13.03243	38.66880	13.99908	-1.22766	14.70323	39.82328	14.67005	0.50749	12.42460	32.84668	6.65202	-1.32662	14.12500	38.73746	12.90391	2.60183	8.44913	29.51014	4.90458	-6.99399	15.47302	40.86892	12.43005	1.92055	11.70606	33.05645	9.09593	-4.90744	12.14397	35.96331	10.04381	2.16387
