	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	-0.73758	1.25360	2.13795	2.12517	-8.95387	0.75529	-19.55779	4.96062	1.77314	0.25346	2.97137	3.06744	-6.13306	0.70194	-3.14586	2.23413	-1.17987	-0.06720	-8.17882	-20.85469	1.95953	7.70503	-5.60576	-1.14814	0.67721	2.70583	-9.09872	-23.74115	0.99387	3.13017	-6.66166	-10.01090	-1.71008	-0.91790	-9.79679	-14.07755	2.12386	5.49123	-6.41878	-0.24966	1.79736	3.46454	-6.98039	-2.94874	2.04709	0.17910	-7.67467	-16.93733	0.50457	1.36499	-6.02357	-8.41651	-0.39006	2.20597	-9.81254	-15.26770	-0.14780	2.05009	-5.42363	-10.69740	1.44465	0.14511	-8.94838	-19.86195	-0.42109	3.96340	-7.20456	-10.31637	2.15535	4.44700	-9.13216	-19.10962	0.51837	8.08107	-6.24086	-11.51860	0.16495	3.05926	-9.35547	-25.04301	0.88364	1.99684	-6.75119	-11.22064	2.01784	6.14101	-8.87648	-28.83743	-1.13110	-1.43367	-5.94232	-10.78380	2.53416	4.32302	-8.11203	-27.55905	2.76830	-1.65882	-5.41894	4.27961	0.85427	1.64886	-8.36159	-31.69133	0.21798	1.50152	-4.92501	-16.55166	-1.05111	1.78532	-10.09872	-12.94837
2	-0.63117	1.28486	2.36398	2.16798	-9.04429	0.71634	-18.25919	5.30404	1.86857	0.23874	3.30266	3.01472	-6.20125	0.68789	-2.06567	2.18112	-1.14518	0.09216	-8.30707	-20.11099	1.97288	7.57933	-5.33560	-0.70226	0.83112	3.03232	-8.96937	-22.38907	1.12415	3.42115	-6.60144	-9.01918	-1.57946	-0.98083	-9.92887	-12.27750	2.19921	5.91276	-6.51854	0.35810	1.89952	3.96612	-7.30121	-1.74904	2.21457	0.81457	-8.01384	-16.45654	0.53559	1.70003	-5.88449	-7.76023	-0.50169	2.48208	-10.18752	-13.73010	-0.03992	2.39890	-5.52024	-9.75449	1.57909	0.39557	-9.11236	-18.83825	-0.31222	4.34861	-7.15673	-9.35330	2.31398	4.68338	-9.09063	-17.54239	0.63052	8.45189	-6.40716	-9.94486	0.37342	2.91136	-9.01786	-23.76387	1.00973	2.34163	-6.73327	-10.30561	2.10040	6.46373	-8.89278	-27.78736	-1.12536	-1.17858	-6.03356	-10.28616	2.57373	4.72658	-8.34986	-26.09477	3.06375	-1.22394	-5.63410	6.17888	0.79040	1.69138	-8.53463	-31.17009	0.34965	1.91399	-5.28872	-14.99938	-0.95557	2.05542	-10.12677	-13.18190
3	-0.47152	1.30731	2.59872	2.19162	-9.06483	0.70745	-16.95237	5.38076	1.98818	0.22555	3.64280	2.93483	-6.23812	0.73810	-1.03751	2.16570	-1.06143	0.28614	-8.34508	-19.30408	2.03217	7.44077	-4.90473	-0.33798	1.02678	3.32053	-8.79357	-20.75694	1.27230	3.70579	-6.48564	-8.07465	-1.37993	-0.88231	-9.95539	-10.79609	2.27287	6.26843	-6.55118	1.08223	2.02690	4.46071	-7.59807	-0.61573	2.43038	1.43279	-8.22079	-15.91011	0.61392	2.11829	-5.71798	-7.15048	-0.56359	2.76923	-10.44085	-12.24380	0.09321	2.74444	-5.55147	-8.82194	1.76692	0.70186	-9.18911	-17.64854	-0.16466	4.73224	-7.02741	-8.38659	2.48682	4.88888	-9.04280	-15.71058	0.74050	8.79109	-6.65654	-8.39413	0.58340	2.76289	-8.63040	-22.42785	1.16558	2.67871	-6.68095	-9.32669	2.23358	6.75093	-8.85589	-26.46589	-1.07651	-0.86640	-6.14694	-9.60679	2.65007	5.13923	-8.65731	-24.14738	3.35668	-0.71808	-5.86843	7.65172	0.76817	1.69452	-8.62818	-30.31029	0.51043	2.35761	-5.66811	-13.59420	-0.79813	2.31996	-10.01860	-13.43008
4	-0.26511	1.32547	2.85675	2.19395	-8.99439	0.72670	-15.69566	5.23587	2.13552	0.21617	3.98695	2.83820	-6.21612	0.86503	-0.10981	2.17889	-0.92998	0.53491	-8.27165	-18.45560	2.15711	7.35009	-4.34476	-0.05396	1.26120	3.59518	-8.56396	-18.97416	1.43585	3.99412	-6.31361	-7.20757	-1.12654	-0.61752	-9.85504	-9.65721	2.35947	6.57435	-6.50888	1.90599	2.18093	4.92635	-7.81694	0.39280	2.70412	2.01031	-8.23440	-15.24558	0.73986	2.61426	-5.51711	-6.60411	-0.56274	3.08606	-10.53615	-10.83058	0.25682	3.11144	-5.50317	-7.94541	2.00864	1.09283	-9.12760	-16.33557	0.01206	5.10124	-6.81505	-7.45292	2.67538	5.09555	-8.95784	-13.72833	0.84872	9.06427	-6.91645	-6.92870	0.78462	2.64452	-8.22452	-21.08421	1.34342	3.01197	-6.58753	-8.32268	2.41607	7.01805	-8.77623	-24.92641	-0.98806	-0.52072	-6.24883	-8.78628	2.76532	5.54478	-8.97361	-21.83768	3.67519	-0.17967	-6.03760	8.69475	0.79451	1.67524	-8.63273	-29.18137	0.69736	2.79573	-5.98346	-12.38572	-0.58311	2.60107	-9.77892	-13.54069
5	-0.02061	1.34382	3.15754	2.17827	-8.80328	0.76426	-14.52349	4.96188	2.31531	0.21308	4.33970	2.73189	-6.10309	1.02493	0.68390	2.20576	-0.75476	0.85369	-8.07082	-17.57849	2.36395	7.36891	-3.70550	0.17035	1.53036	3.88767	-8.25727	-17.19365	1.61346	4.30255	-6.08689	-6.43266	-0.83744	-0.19743	-9.62247	-8.79831	2.47501	6.86022	-6.38711	2.78618	2.36466	5.35285	-7.89037	1.23668	3.04595	2.56173	-8.00901	-14.44282	0.91089	3.17878	-5.26232	-6.12225	-0.48278	3.45725	-10.44846	-9.48907	0.45761	3.52682	-5.37260	-7.14681	2.30399	1.60017	-8.86376	-14.96717	0.20772	5.44807	-6.50804	-6.59451	2.88524	5.34159	-8.79303	-11.74523	0.96487	9.25584	-7.09377	-5.60542	0.97292	2.58236	-7.82048	-19.78684	1.53514	3.34924	-6.43286	-7.34181	2.64590	7.28582	-8.64592	-23.27369	-0.86455	-0.16415	-6.28639	-7.87922	2.92569	5.94450	-9.19182	-19.35355	4.05399	0.39275	-6.06582	9.35670	0.87292	1.65454	-8.51748	-27.89142	0.91023	3.20450	-6.14542	-11.39331	-0.31886	2.91865	-9.39884	-13.41035
6	0.25201	1.36516	3.52320	2.15354	-8.45849	0.80605	-13.45680	4.66279	2.53195	0.22015	4.71488	2.62139	-5.86562	1.16081	1.32682	2.23161	-0.54260	1.25389	-7.73706	-16.69829	2.66156	7.54524	-3.03674	0.36672	1.82835	4.23060	-7.84512	-15.55910	1.80399	4.65041	-5.80659	-5.75327	-0.52971	0.35666	-9.27054	-8.11299	2.63239	7.16517	-6.18270	3.66310	2.58175	5.74671	-7.74612	1.89721	3.46362	3.13476	-7.51965	-13.53336	1.12136	3.80085	-4.92528	-5.70043	-0.30687	3.90723	-10.15706	-8.21467	0.69852	4.00910	-5.16337	-6.43642	2.64971	2.24874	-8.33786	-13.63560	0.41179	5.77179	-6.08375	-5.84968	3.12331	5.66228	-8.49801	-9.91891	1.10344	9.37853	-7.08881	-4.46951	1.15143	2.59547	-7.42169	-18.59329	1.73374	3.70026	-6.18681	-6.43598	2.91981	7.57449	-8.43088	-21.64343	-0.71072	0.19078	-6.19822	-6.94942	3.14027	6.35797	-9.16675	-16.92669	4.52287	1.03712	-5.89495	9.71369	1.00394	1.65782	-8.23397	-26.56878	1.15011	3.58264	-6.07411	-10.60900	-0.01468	3.29849	-8.88325	-13.00508
