	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_4_CINE_E.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	9.99237	2.96552	-11.63958	3.44927	-1.00180	4.48957	-8.36335	1.65197	7.15009	0.69011	-6.18146	1.93288	-1.98610	2.87042	5.31373	1.72982	10.85303	-10.15135	-0.62097	-10.51831	6.91819	-6.81124	1.39141	7.23500	12.43237	-13.21455	-4.45765	-9.19312	6.96365	-5.46790	-4.28571	3.25845	6.69173	-5.29157	4.76419	-10.09220	9.44657	-5.65908	1.04106	5.37477	6.96228	-4.16113	0.01172	4.85946	10.59654	-14.33057	3.42352	-7.64141	8.90790	-4.03905	-5.83316	4.12622	8.76998	-9.54285	2.52585	-7.25604	4.30700	-6.18099	-1.93341	4.00815	7.68040	-10.30854	1.03680	-9.80519	3.75173	-4.65177	-1.75830	3.19969	12.24421	-12.50041	-4.19454	-5.80194	-3.36573	-8.22112	1.20083	8.43208	5.51244	-11.60008	-2.67045	-7.62936	4.64682	-6.41021	-4.56652	5.45151	5.37205	-14.02967	-5.45327	-6.30927	10.41896	-9.56939	-3.46229	4.39900	9.81720	-15.55445	-5.54992	-7.53699	10.25732	-3.95244	0.75439	7.87754	9.30794	-16.60936	-6.97107	-7.84607	4.37068	-9.05322	-6.39319	5.54295	7.57845	-6.54152	6.14590	-10.73025
2	9.95659	2.79685	-11.35161	3.84341	-0.33618	4.15503	-8.37339	1.78664	7.08490	0.69502	-5.98502	2.10881	-1.18940	2.94895	5.24999	1.78116	10.63470	-9.76808	0.35410	-11.03870	7.07953	-6.02542	0.79851	7.06852	12.35204	-12.79694	-3.71652	-9.09819	6.87844	-4.87125	-3.64756	2.99009	6.88303	-3.97370	5.33791	-10.42246	9.39046	-5.92085	1.49639	5.68826	6.87553	-4.27367	1.61272	4.51140	10.49041	-14.37518	3.63836	-7.36986	8.50304	-3.61650	-5.33534	4.10761	8.64172	-8.85669	3.81700	-7.59242	4.12481	-5.50116	-1.16057	3.49582	7.65882	-10.09055	2.00515	-10.12144	3.54580	-3.68408	-1.81287	3.30575	12.35292	-12.27855	-3.30453	-5.73254	-3.30320	-8.10683	2.59090	8.51161	5.80425	-11.24539	-2.38613	-7.22687	4.50650	-6.01555	-4.14225	5.55040	5.40900	-13.66826	-5.16186	-6.06858	10.36429	-9.77503	-2.75648	4.42836	9.86673	-16.14709	-3.86730	-7.21191	10.81658	-4.50340	2.74649	7.70580	9.39741	-16.85822	-5.78389	-8.31161	4.46417	-9.52651	-4.66276	5.63620	7.66855	-6.16062	5.03351	-10.28613
3	9.82130	2.67260	-10.88608	4.17870	0.32916	3.72326	-8.47812	1.89790	6.97789	0.70089	-5.69738	2.30745	-0.49693	3.14837	5.16153	1.80195	10.32659	-9.34723	1.32722	-11.54745	7.21416	-5.08720	-0.02205	6.90298	12.20519	-12.19591	-2.74988	-9.21352	6.74110	-4.33645	-2.99970	2.72722	6.93213	-2.64747	5.47220	-10.57984	9.27084	-5.89331	1.78190	6.04111	6.74865	-4.32306	3.13427	4.06676	10.28349	-14.22577	3.82235	-7.19965	7.98063	-3.27836	-4.92654	4.22167	8.44076	-8.06815	4.92022	-7.92230	3.90317	-4.74215	-0.51107	3.02396	7.53307	-9.70994	3.11428	-10.57977	3.28376	-2.82949	-1.83399	3.44719	12.42134	-11.80825	-2.26392	-5.89907	-3.24359	-7.79682	3.97225	8.29575	6.06606	-10.84288	-2.07875	-6.84191	4.32388	-5.55535	-3.81244	5.73126	5.41844	-13.06221	-4.76897	-6.04814	10.22804	-9.84658	-1.95422	4.41462	9.84245	-16.39652	-1.96929	-7.12216	11.19929	-4.85121	4.29486	7.51478	9.42116	-16.80051	-4.28176	-9.12618	4.50250	-9.82862	-3.08648	5.55102	7.69398	-5.52814	3.40625	-9.65748
4	9.57396	2.59895	-10.20036	4.41070	0.94260	3.29226	-8.68987	1.96788	6.81803	0.70774	-5.27884	2.44533	0.02376	3.35290	5.05059	1.80601	9.91947	-8.84252	2.09489	-11.88921	7.30213	-4.12535	-0.85520	6.67142	11.98286	-11.36934	-1.62171	-9.61884	6.54168	-3.85171	-2.39965	2.50135	6.81953	-1.35054	5.10221	-10.44665	9.07473	-5.52122	1.93131	6.33626	6.57158	-4.22094	4.37740	3.58582	9.96723	-13.77185	3.95392	-7.17945	7.34791	-3.00768	-4.63703	4.46520	8.15162	-7.13429	5.69947	-8.17030	3.62458	-3.91246	-0.06059	2.64906	7.27048	-9.04751	4.18200	-11.13798	2.97056	-2.11927	-1.79168	3.59772	12.42557	-11.01260	-1.14211	-6.37776	-3.19612	-7.17332	5.13860	7.80662	6.27110	-10.42466	-1.70674	-6.53008	4.09435	-5.01935	-3.56650	5.94342	5.39561	-12.19727	-4.23244	-6.35885	10.01379	-9.69810	-1.16691	4.33853	9.73333	-16.12489	-0.08680	-7.33183	11.39400	-4.85121	5.09192	7.45723	9.36068	-16.43469	-2.54671	-10.27238	4.46662	-9.84544	-1.77658	5.25444	7.62619	-4.69419	1.61522	-8.96502
5	9.21155	2.57678	-9.24267	4.50215	1.46227	2.92435	-9.05106	2.01236	6.59072	0.71726	-4.68074	2.46800	0.32484	3.44702	4.90170	1.80126	9.41378	-8.17739	2.49443	-11.97303	7.32591	-3.23872	-1.51857	6.32233	11.68126	-10.25764	-0.44669	-10.36921	6.27055	-3.38566	-1.91027	2.34364	6.53962	-0.12108	4.32436	-9.99832	8.79209	-4.78549	2.04046	6.41426	6.32908	-3.86594	5.15048	3.13815	9.53879	-12.90465	3.99525	-7.36802	6.61643	-2.73929	-4.49115	4.79862	7.76224	-6.00198	6.06709	-8.30274	3.27383	-3.01424	0.16110	2.39310	6.85220	-7.96629	5.00398	-11.77428	2.61211	-1.50336	-1.70253	3.70125	12.34277	-9.83664	0.01458	-7.27103	-3.17700	-6.12446	5.85767	7.11666	6.39333	-10.01264	-1.21709	-6.37863	3.81348	-4.37268	-3.37337	6.08506	5.33728	-11.05167	-3.52442	-7.13214	9.72632	-9.23729	-0.50426	4.16316	9.53177	-15.14071	1.52696	-7.93206	11.40209	-4.43298	5.05303	7.56951	9.20308	-15.74522	-0.74686	-11.68407	4.33699	-9.46874	-0.86451	4.77466	7.44206	-3.69607	0.05568	-8.42918
6	8.74516	2.60173	-7.97351	4.44215	1.87494	2.60734	-9.63476	2.10432	6.28320	0.73330	-3.85630	2.36721	0.39981	3.37365	4.66764	1.77362	8.82554	-7.27724	2.49074	-11.85543	7.27551	-2.45113	-1.92650	5.83138	11.30577	-8.81787	0.63543	-11.46579	5.92250	-2.89726	-1.57653	2.26421	6.10416	1.00438	3.38780	-9.35236	8.42118	-3.68760	2.23544	6.07894	6.00624	-3.16123	5.31788	2.77059	9.00648	-11.56359	3.92963	-7.83937	5.80411	-2.38132	-4.47707	5.12658	7.26931	-4.62172	6.02786	-8.37743	2.84599	-2.04413	0.18680	2.21403	6.28235	-6.37538	5.44632	-12.51229	2.21724	-0.87607	-1.60430	3.67743	12.15880	-8.26738	1.17659	-8.66295	-3.20384	-4.58031	5.95968	6.30569	6.41199	-9.60425	-0.56683	-6.49073	3.47929	-3.57242	-3.18231	6.02457	5.24464	-9.60261	-2.65037	-8.47229	9.37358	-8.38925	-0.04720	3.83605	9.24152	-13.30940	2.66581	-9.01861	11.24349	-3.61593	4.37351	7.70332	8.94552	-14.70076	0.87343	-13.24007	4.09904	-8.61896	-0.46172	4.17885	7.13069	-2.54623	-0.91719	-8.32976
