	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.29633	0.07728	-0.22635	0.02721	-0.00649	0.00802	0.28330	0.06838	-0.20079	0.05814	-0.00179	0.01098	0.19291	-0.17407	-0.02152	0.17130	-0.07322	-0.01714	0.26589	-0.18951	-0.01946	0.26793	-0.21268	-0.00618	0.25110	-0.25779	-0.00016	0.22236	-0.11586	-0.02443	0.40130	-0.25681	0.01238	0.29799	-0.26294	-0.00249	0.28134	-0.22689	0.00625	0.26304	-0.22713	0.00422	0.25607	-0.18064	-0.00531	0.26213	-0.21762	-0.01148	0.21779	-0.20192	0.00235	0.34884	-0.22251	-0.00756	0.37989	-0.25642	0.00577	0.49577	-0.25549	-0.00178	0.29734	-0.24381	0.00599	0.30969	-0.22322	-0.00595	0.29825	-0.23137	0.00320	0.30675	-0.22724	-0.00284	0.26551	-0.23236	-0.00237	0.32274	-0.20910	-0.00258
2	0.32725	0.08276	-0.21124	0.03414	-0.02229	0.01327	0.32555	0.08609	-0.19786	0.06651	-0.00786	0.01068	0.20778	-0.14690	-0.04619	0.16915	-0.05191	-0.01510	0.29489	-0.16064	-0.04046	0.30313	-0.20504	-0.01804	0.25828	-0.24878	-0.01591	0.23895	-0.10754	-0.02722	0.46865	-0.27132	0.01105	0.34064	-0.24971	-0.01845	0.33652	-0.22255	-0.00000	0.30145	-0.22910	-0.00482	0.29340	-0.16870	-0.01583	0.28434	-0.18863	-0.03728	0.26404	-0.19980	-0.00252	0.38420	-0.19773	-0.02314	0.43927	-0.26580	-0.00312	0.52483	-0.23214	-0.01061	0.34666	-0.24160	0.00011	0.35579	-0.21252	-0.01950	0.34679	-0.23247	-0.00539	0.35992	-0.22820	-0.01593	0.28761	-0.22927	-0.01289	0.37451	-0.20977	-0.01035
3	0.35525	0.08524	-0.17677	0.04332	-0.04754	0.01805	0.36284	0.10325	-0.18134	0.07338	-0.01988	0.01036	0.22485	-0.10341	-0.07712	0.15631	-0.01700	-0.01145	0.32032	-0.11410	-0.06757	0.33499	-0.18484	-0.03749	0.26993	-0.22260	-0.04485	0.24674	-0.09260	-0.03083	0.53010	-0.26883	-0.00356	0.37691	-0.21197	-0.04568	0.38994	-0.20244	-0.01250	0.33630	-0.21458	-0.02747	0.32766	-0.14448	-0.03122	0.30151	-0.13282	-0.07406	0.32135	-0.18546	-0.01371	0.41464	-0.15307	-0.04693	0.47679	-0.25797	-0.02144	0.53404	-0.19039	-0.02460	0.40130	-0.22559	-0.01166	0.40026	-0.18591	-0.04078	0.39002	-0.21884	-0.02128	0.41810	-0.20676	-0.04284	0.31084	-0.20882	-0.03108	0.41604	-0.19671	-0.02351
4	0.38141	0.08651	-0.12093	0.05300	-0.07832	0.02207	0.39482	0.12333	-0.14855	0.07914	-0.03595	0.01479	0.25021	-0.04503	-0.10765	0.13271	0.03584	-0.00542	0.33871	-0.04934	-0.09574	0.36277	-0.14991	-0.06260	0.28883	-0.17594	-0.08409	0.23936	-0.06641	-0.03497	0.58410	-0.24200	-0.03171	0.40310	-0.14783	-0.07912	0.44470	-0.16551	-0.02832	0.37052	-0.17894	-0.06239	0.35751	-0.10628	-0.04946	0.31994	-0.05000	-0.11446	0.38721	-0.15581	-0.02855	0.43562	-0.08606	-0.07594	0.49244	-0.23053	-0.04580	0.53741	-0.13353	-0.04117	0.46563	-0.19573	-0.02681	0.44398	-0.14134	-0.06649	0.43030	-0.18978	-0.04200	0.47669	-0.15666	-0.08028	0.33054	-0.16557	-0.05418	0.44631	-0.16787	-0.03978
5	0.39927	0.08369	-0.04227	0.06220	-0.10853	0.02628	0.41788	0.14340	-0.09637	0.08233	-0.05262	0.02438	0.28420	0.02684	-0.13208	0.10888	0.10697	0.00401	0.34106	0.03295	-0.11995	0.37997	-0.09654	-0.08897	0.31143	-0.10616	-0.12640	0.22231	-0.02767	-0.03885	0.62436	-0.18313	-0.06936	0.41181	-0.05751	-0.11080	0.49514	-0.10928	-0.04379	0.40078	-0.11705	-0.10396	0.38552	-0.05504	-0.06773	0.33568	0.05941	-0.15031	0.44811	-0.10600	-0.04318	0.43851	0.00443	-0.10522	0.48688	-0.18027	-0.07032	0.52243	-0.05600	-0.05643	0.52557	-0.14715	-0.04212	0.47655	-0.07631	-0.09110	0.45925	-0.14133	-0.06378	0.52502	-0.07499	-0.12014	0.34449	-0.10064	-0.07747	0.46068	-0.12066	-0.05468
6	0.40535	0.07741	0.05592	0.06960	-0.13290	0.03152	0.43765	0.15770	-0.02754	0.08294	-0.06620	0.03596	0.32446	0.10464	-0.14778	0.10075	0.19242	0.01681	0.32742	0.12547	-0.13737	0.39340	-0.02762	-0.11216	0.33781	-0.01755	-0.16348	0.21419	0.01987	-0.04169	0.65237	-0.09075	-0.10901	0.40088	0.05519	-0.13419	0.54291	-0.03736	-0.05515	0.42608	-0.02777	-0.14437	0.42367	0.00278	-0.08367	0.34341	0.18916	-0.17706	0.49306	-0.03620	-0.05400	0.42180	0.11416	-0.13020	0.47295	-0.11058	-0.08865	0.49741	0.03905	-0.06682	0.57585	-0.08102	-0.05398	0.48605	0.00985	-0.10984	0.47805	-0.07648	-0.08246	0.54618	0.03723	-0.15417	0.34730	-0.01426	-0.09660	0.46699	-0.05804	-0.06428
