	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.08218	0.02568	-0.00095	0.01430	0.00343	0.00983	-0.01531	0.06339	0.01574	0.03119	0.00337	0.01164	-0.03872	0.00679	0.00402	0.11016	0.04873	0.00011	-0.08537	-0.01150	-0.00503	-0.04539	0.00245	0.01110	-0.08813	-0.02335	-0.00267	0.06298	0.03738	0.00217	-0.02570	0.00821	-0.00340	-0.11559	0.00370	0.00419	-0.07843	-0.02818	-0.01538	-0.06709	0.00205	-0.00482	0.01502	0.03333	0.01705	-0.10697	-0.02345	-0.00104	-0.06696	-0.02494	-0.00900	-0.08327	0.00367	-0.00132	0.01942	0.06707	0.02431	-0.07076	-0.00294	-0.00674	-0.04720	0.00306	0.01179	-0.04956	0.02656	0.02429	-0.10184	-0.01183	-0.00169	-0.12072	0.00563	0.01155	-0.07784	0.00237	0.01529	-0.01051	0.03790	0.00001
2	-0.06169	0.03173	-0.00470	0.02064	0.00259	0.01544	0.01445	0.07403	0.01855	0.03686	-0.00073	0.01971	-0.01210	0.00592	0.00391	0.15138	0.04881	-0.00730	-0.05591	-0.01573	-0.01306	-0.01776	0.00903	0.01563	-0.07811	-0.03322	-0.00235	0.10786	0.03594	-0.01020	0.00068	0.00605	-0.01083	-0.10837	-0.00891	0.00543	-0.06769	-0.03762	-0.03106	-0.04920	-0.01255	-0.01040	0.04575	0.04304	0.02351	-0.09157	-0.03439	-0.00432	-0.05768	-0.03042	-0.02057	-0.05228	-0.00245	-0.00852	0.08006	0.08665	0.03288	-0.04840	-0.00882	-0.01270	-0.02198	0.00920	0.01511	-0.01801	0.03726	0.03533	-0.07229	-0.00817	-0.00928	-0.10531	0.00960	0.01521	-0.05940	0.01158	0.01990	0.01060	0.04156	-0.00591
3	-0.02638	0.03607	-0.00974	0.02877	0.00056	0.02130	0.05764	0.08594	0.02101	0.04347	-0.00819	0.02973	0.02384	0.00458	0.00383	0.20325	0.05119	-0.01941	-0.01074	-0.02015	-0.02340	0.02263	0.01840	0.02053	-0.05669	-0.04342	0.00119	0.16369	0.03225	-0.02813	0.03974	-0.00048	-0.02291	-0.08032	-0.02182	0.00626	-0.04329	-0.04766	-0.05203	-0.01828	-0.03197	-0.01710	0.08940	0.05408	0.02951	-0.05915	-0.04618	-0.00778	-0.03685	-0.03688	-0.03705	-0.00596	-0.01263	-0.01969	0.15960	0.10441	0.03956	-0.01563	-0.01561	-0.02004	0.01354	0.01569	0.01632	0.02760	0.04852	0.04526	-0.02811	-0.00490	-0.02111	-0.06919	0.00799	0.01452	-0.02572	0.02357	0.02313	0.05046	0.04506	-0.01532
4	0.02390	0.03853	-0.01540	0.03723	-0.00167	0.02771	0.11394	0.09803	0.02368	0.05090	-0.01809	0.04129	0.06564	0.00272	0.00320	0.26600	0.05913	-0.03601	0.04831	-0.02399	-0.03357	0.07614	0.03096	0.02597	-0.01913	-0.05081	0.00803	0.22849	0.02796	-0.04964	0.09356	-0.01138	-0.03833	-0.03243	-0.03177	0.00714	-0.00437	-0.05680	-0.07682	0.02806	-0.05384	-0.02373	0.14502	0.06668	0.03456	-0.01131	-0.05742	-0.01055	-0.00247	-0.04359	-0.05729	0.05481	-0.02623	-0.03289	0.25269	0.11945	0.04545	0.02738	-0.02285	-0.02848	0.05762	0.02134	0.01631	0.08787	0.05970	0.05529	0.02991	-0.00234	-0.03581	-0.01018	-0.00128	0.01035	0.02384	0.03638	0.02690	0.11075	0.04911	-0.02736
5	0.08661	0.04086	-0.01972	0.04479	-0.00346	0.03403	0.17993	0.10765	0.02827	0.05824	-0.02919	0.05295	0.11074	0.00181	0.00134	0.33463	0.07414	-0.05625	0.11752	-0.02515	-0.04124	0.14047	0.04690	0.03115	0.03341	-0.05308	0.01610	0.29692	0.02654	-0.07118	0.16135	-0.02347	-0.05452	0.03133	-0.03429	0.00839	0.04694	-0.06151	-0.10233	0.08913	-0.07381	-0.02917	0.20769	0.08109	0.03807	0.04785	-0.06537	-0.01268	0.04508	-0.04835	-0.07923	0.12802	-0.03989	-0.04544	0.34867	0.13139	0.05028	0.08125	-0.02834	-0.03710	0.11029	0.02782	0.01486	0.16202	0.07089	0.06489	0.10029	0.00141	-0.05136	0.06898	-0.01735	0.00541	0.08248	0.04763	0.03147	0.18687	0.05503	-0.04054
6	0.15701	0.04560	-0.02035	0.05067	-0.00455	0.03991	0.24885	0.11427	0.03612	0.06528	-0.04018	0.06391	0.15483	0.00273	-0.00195	0.40219	0.09549	-0.07889	0.19001	-0.02205	-0.04570	0.21002	0.06626	0.03565	0.09566	-0.04931	0.02260	0.36419	0.03187	-0.08974	0.23866	-0.03223	-0.06924	0.10449	-0.02647	0.01024	0.10187	-0.06139	-0.12673	0.16250	-0.08662	-0.03298	0.27030	0.09735	0.04057	0.11085	-0.06748	-0.01516	0.10034	-0.04961	-0.10114	0.20893	-0.04948	-0.05545	0.43780	0.14245	0.05431	0.14602	-0.02965	-0.04574	0.16738	0.03562	0.01275	0.24673	0.08259	0.07470	0.17601	0.00763	-0.06583	0.16162	-0.03464	0.00222	0.14545	0.05654	0.03716	0.26862	0.06390	-0.05372
