	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0001_4_CINE_D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_07_CR018_BAREFOOT_GAIT0003_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04406	0.02935	0.03216	0.00989	-0.00199	0.00339	-0.00510	0.02597	0.02562	0.00781	0.00536	0.00334	0.00346	0.02432	0.00072	0.04164	0.01185	0.00723	-0.05321	0.02030	-0.00907	-0.01548	0.02482	0.00108	-0.00099	0.04927	0.00055	0.03363	0.01981	0.00950	-0.01825	0.03008	0.00185	-0.04704	0.03578	-0.00126	-0.02072	0.03848	0.01054	-0.02458	0.03973	-0.00032	0.02115	0.01909	0.00561	-0.03985	0.03898	0.00137	-0.02780	0.03609	0.00861	-0.06278	0.03169	-0.00114	-0.02759	0.02665	0.00323	-0.03771	0.04311	-0.00026	-0.01483	0.03015	0.00186	-0.06400	0.02294	-0.00536	-0.03088	0.02418	0.00312	-0.09883	0.02719	-0.00065	-0.05909	0.02050	-0.00644	0.00307	0.02061	0.00629
2	-0.03457	0.03403	0.02921	0.01243	-0.00407	0.00441	0.01311	0.02848	0.02784	0.01044	0.00734	0.00448	0.01778	0.02072	-0.00080	0.06776	0.00863	0.00787	-0.04235	0.01406	-0.01116	-0.00082	0.02418	0.00161	0.01224	0.05016	-0.00026	0.05390	0.01946	0.01039	-0.00173	0.03504	0.00246	-0.04902	0.03534	-0.00282	-0.00841	0.04386	0.01460	-0.00652	0.04333	-0.00191	0.04475	0.02056	0.00826	-0.03246	0.03794	0.00167	-0.01302	0.04292	0.01470	-0.05144	0.02650	-0.00343	0.00014	0.03136	0.00531	-0.02063	0.03773	-0.00215	0.00285	0.03085	0.00325	-0.05583	0.01486	-0.00948	-0.01177	0.02672	0.00500	-0.10071	0.02523	-0.00357	-0.05136	0.01545	-0.01088	0.01058	0.02272	0.00732
3	-0.01916	0.03689	0.02292	0.01487	-0.00645	0.00562	0.03747	0.03202	0.02855	0.01359	0.00949	0.00582	0.03398	0.01448	-0.00218	0.09870	0.00304	0.00793	-0.02564	0.00500	-0.01374	0.01848	0.02224	0.00285	0.02640	0.04632	-0.00182	0.07946	0.01711	0.01033	0.02210	0.03849	0.00318	-0.04380	0.03080	-0.00421	0.00942	0.04744	0.01821	0.01667	0.04337	-0.00389	0.07509	0.02033	0.01158	-0.01846	0.03343	0.00222	0.00528	0.04919	0.02147	-0.03268	0.01810	-0.00653	0.04010	0.03543	0.00845	0.00085	0.02908	-0.00452	0.02350	0.02955	0.00511	-0.04085	0.00327	-0.01380	0.01306	0.02805	0.00702	-0.09338	0.02040	-0.00715	-0.03389	0.00785	-0.01527	0.02702	0.02321	0.00826
4	0.00178	0.03742	0.01274	0.01701	-0.00911	0.00704	0.06693	0.03598	0.02663	0.01701	0.01128	0.00728	0.04964	0.00561	-0.00316	0.13171	-0.00554	0.00696	-0.00425	-0.00723	-0.01715	0.04243	0.01850	0.00487	0.04362	0.03699	-0.00391	0.10754	0.01116	0.00839	0.05401	0.03854	0.00355	-0.03086	0.02168	-0.00535	0.03255	0.04827	0.02059	0.04477	0.03845	-0.00631	0.10965	0.01735	0.01504	0.00111	0.02498	0.00286	0.02672	0.05343	0.02768	-0.00719	0.00575	-0.01080	0.08935	0.03701	0.01246	0.02494	0.01791	-0.00751	0.04536	0.02590	0.00701	-0.01940	-0.01220	-0.01829	0.04309	0.02721	0.00865	-0.07469	0.01170	-0.01098	-0.00814	-0.00357	-0.01964	0.05381	0.02106	0.00882
5	0.02713	0.03499	-0.00164	0.01844	-0.01191	0.00846	0.09840	0.03876	0.02071	0.02003	0.01209	0.00884	0.06352	-0.00615	-0.00393	0.16058	-0.01731	0.00451	0.02084	-0.02293	-0.02162	0.06964	0.01232	0.00769	0.06250	0.02219	-0.00609	0.13289	0.00086	0.00407	0.09268	0.03300	0.00298	-0.01064	0.00780	-0.00609	0.05810	0.04439	0.02065	0.07533	0.02733	-0.00915	0.14265	0.01087	0.01795	0.02510	0.01196	0.00322	0.05130	0.05355	0.03192	0.02400	-0.01101	-0.01642	0.14126	0.03389	0.01690	0.04993	0.00329	-0.01103	0.06848	0.01876	0.00863	0.00986	-0.03115	-0.02209	0.07671	0.02255	0.00908	-0.04372	-0.00152	-0.01493	0.02170	-0.01783	-0.02286	0.08815	0.01487	0.00857
6	0.05574	0.02982	-0.01972	0.01932	-0.01503	0.00996	0.12749	0.04011	0.01056	0.02215	0.01159	0.01069	0.07558	-0.01984	-0.00516	0.18042	-0.03162	0.00060	0.04811	-0.04119	-0.02737	0.09613	0.00345	0.01093	0.08092	0.00342	-0.00810	0.15151	-0.01264	-0.00202	0.13428	0.02045	0.00087	0.01547	-0.01048	-0.00662	0.08023	0.03573	0.01812	0.10653	0.00974	-0.01252	0.16812	0.00158	0.02017	0.05278	-0.00480	0.00276	0.07800	0.04876	0.03339	0.05898	-0.03118	-0.02327	0.18839	0.02501	0.02110	0.07549	-0.01416	-0.01501	0.09101	0.00800	0.00951	0.04677	-0.05366	-0.02542	0.11042	0.01349	0.00780	0.00001	-0.01935	-0.01920	0.05251	-0.03538	-0.02539	0.12391	0.00400	0.00706
