	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	5.44943	1.54596	24.40932	2.85602	2.03377	2.48072	2.57001	1.19655	4.15557	1.45506	25.35228	3.30397	2.79683	2.97687	-1.28868	1.63847	4.27824	20.57867	-0.95459	1.46870	3.11783	27.09794	5.09326	1.09092	4.41935	6.86134	23.43134	26.31711	2.46732	5.06121	4.36622	2.32813	4.28368	22.21147	-3.19586	-2.06444	3.63642	22.80192	4.13533	3.18734	2.44245	25.66980	6.08079	-1.20139	4.24343	24.78195	4.23793	0.12823	4.69453	20.97432	-2.16016	3.19690	3.01472	20.12674	2.15446	-1.93318	8.26227	27.78560	1.79140	3.48658	5.53329	24.05995	1.05420	-3.70286	6.16127	27.59206	2.25914	1.76016	3.73224	30.05094	4.81958	-2.77410	5.28204	25.79356	3.67053	0.76603	6.87691	28.81948	2.13032	0.14741
2	5.36947	1.52306	23.93950	2.64800	1.74936	2.13339	1.86951	1.43107	4.02017	1.41160	24.65801	3.00982	2.13615	2.80250	-2.08344	1.69133	4.22935	20.34382	-0.18288	0.91627	2.98787	26.30726	4.63606	0.57818	4.36374	6.77345	22.81214	25.60820	0.67717	3.44640	4.31061	1.54503	4.25502	21.90310	-3.14818	-2.49578	3.67685	22.69738	5.00689	2.66240	2.36074	25.01446	5.26479	-2.05297	4.11430	24.18498	3.69292	-0.92807	4.56125	20.81759	-1.37810	2.58784	2.88223	19.88137	3.03698	-2.48804	8.18461	27.20040	1.06313	2.51377	5.34181	23.23898	-0.07796	-4.67782	6.04192	26.89395	1.81606	0.59459	3.58505	28.81979	3.00545	-3.79224	5.12462	25.14255	3.54620	-0.17441	6.63436	27.91415	0.67910	-0.81075
3	5.28339	1.49574	23.54452	2.46848	1.96009	2.19457	1.03684	1.74133	3.89051	1.36330	24.11154	2.73882	2.11797	2.83030	-2.98772	1.75934	4.17244	20.20528	0.94851	0.27394	2.88539	25.66535	4.73717	-0.10877	4.31382	6.65955	22.32052	24.96612	-0.34483	2.50226	4.25448	0.64218	4.22877	21.74718	-2.50764	-2.96969	3.71814	22.59021	6.04884	1.98761	2.29782	24.51254	5.18076	-3.06128	3.98943	23.73273	3.81683	-2.05004	4.42001	20.65719	-0.32449	1.81359	2.75132	19.69015	4.23598	-2.97005	8.09048	26.67550	0.89052	1.34645	5.14450	22.63823	-0.40509	-5.67227	5.92821	26.34057	1.99977	-0.74893	3.43423	27.72536	1.92712	-5.06579	4.96450	24.60076	3.96015	-1.27457	6.39262	27.18075	-0.04137	-2.00384
4	5.18771	1.46910	23.21242	2.33578	2.59057	2.41588	0.12263	2.08685	3.76881	1.31223	23.72930	2.51985	2.69219	2.95426	-3.92291	1.85627	4.09063	20.10274	2.30817	-0.41607	2.81167	25.18976	5.33757	-0.92525	4.27568	6.52683	21.97826	24.42896	-0.61801	2.23543	4.17399	-0.33565	4.20586	21.71735	-1.40323	-3.46565	3.74662	22.42642	7.12651	1.19589	2.25677	24.17192	5.76926	-4.12769	3.87340	23.44626	4.57003	-3.13604	4.26310	20.45857	0.89534	0.91358	2.61555	19.52545	5.64591	-3.30609	7.97968	26.21605	1.21776	0.05446	4.94328	22.28813	0.06354	-6.56167	5.82077	25.93414	2.73249	-2.18997	3.28618	26.84443	1.60191	-6.49414	4.79835	24.15418	4.82687	-2.41520	6.15774	26.65113	-0.04746	-3.36678
5	5.07745	1.44793	22.92429	2.25721	3.55779	2.59297	-0.77768	2.40475	3.65368	1.26077	23.51292	2.37397	3.78691	3.07400	-4.77072	1.99070	3.96740	19.98737	3.80091	-1.06211	2.76149	24.88454	6.37479	-1.77714	4.25344	6.38262	21.77535	24.01774	-0.23066	2.60112	4.03330	-1.29592	4.18194	21.76849	0.03107	-3.94010	3.74822	22.16473	8.14072	0.37154	2.23457	23.98617	6.94358	-5.09620	3.76642	23.33175	5.88443	-4.05126	4.08239	20.20123	2.20408	-0.02041	2.47072	19.36633	7.16612	-3.43292	7.85056	25.81301	1.96839	-1.23985	4.73915	22.20020	1.27513	-7.19514	5.71406	25.65454	3.92122	-3.57993	3.14383	26.22905	2.01051	-7.90082	4.62092	23.78035	6.05652	-3.42803	5.93129	26.33680	0.60965	-4.77220
6	4.94819	1.43583	22.66225	2.23163	4.78218	2.66670	-1.54408	2.62301	3.54084	1.21074	23.45013	2.31265	5.31360	3.13189	-5.40101	2.15207	3.79369	19.83767	5.36943	-1.55328	2.72490	24.74188	7.78164	-2.54447	4.24673	6.23317	21.67041	23.73449	0.66737	3.50503	3.78994	-2.12415	4.14873	21.84992	1.68282	-4.32658	3.71214	21.78809	9.04760	-0.36418	2.22216	23.93588	8.59087	-5.79495	3.66445	23.37809	7.65993	-4.66667	3.87325	19.88879	3.56349	-0.86297	2.31711	19.19993	8.70731	-3.31497	7.70094	25.45111	3.06092	-2.37880	4.53237	22.36562	3.13618	-7.44293	5.59839	25.46990	5.47851	-4.71906	3.00681	25.90059	3.09461	-9.07178	4.42724	23.45757	7.56509	-4.14016	5.71017	26.22913	1.85539	-6.04576
