	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.41080	0.05492	-0.27371	0.06213	-0.00286	0.02618	0.33341	0.07729	-0.30539	0.04499	0.01011	0.01022	0.35089	-0.23930	-0.00731	0.36624	-0.29336	0.01073	0.33017	-0.29329	-0.00450	0.35074	-0.29855	0.00518	0.38149	-0.20384	-0.03817	0.43778	-0.31964	0.01704	0.20158	-0.24707	0.01433	0.43708	-0.38463	0.02636	0.47303	-0.33206	0.01699	0.31466	-0.31543	0.00859
2	0.46343	0.05210	-0.27964	0.06918	-0.00818	0.03378	0.37499	0.08936	-0.31734	0.05420	0.00391	0.01150	0.41763	-0.23747	-0.01877	0.40976	-0.29544	0.00235	0.38972	-0.30547	-0.01155	0.39834	-0.30350	-0.00373	0.42039	-0.20441	-0.05123	0.49668	-0.34238	0.02183	0.21001	-0.24841	0.00752	0.47801	-0.40977	0.02239	0.51900	-0.33428	0.01544	0.36407	-0.34147	0.00650
3	0.50905	0.06324	-0.27291	0.07665	-0.01664	0.03967	0.42152	0.10052	-0.31541	0.06339	-0.01019	0.01076	0.46422	-0.21898	-0.03284	0.45039	-0.28307	-0.01340	0.45015	-0.30531	-0.02227	0.45460	-0.29537	-0.02044	0.44525	-0.19778	-0.06474	0.56622	-0.35669	0.02171	0.22517	-0.23385	-0.00784	0.51699	-0.41496	0.00603	0.56051	-0.31821	0.00931	0.43183	-0.35988	-0.00323
4	0.55622	0.08741	-0.25662	0.08562	-0.02678	0.04523	0.47895	0.11629	-0.30033	0.07518	-0.02889	0.00953	0.50117	-0.18995	-0.04698	0.49448	-0.25826	-0.03357	0.51410	-0.29493	-0.03539	0.52188	-0.27419	-0.04155	0.46484	-0.18467	-0.08038	0.64966	-0.36310	0.01825	0.24752	-0.19998	-0.02606	0.57274	-0.40432	-0.01780	0.60923	-0.28878	0.00201	0.52302	-0.37030	-0.01895
5	0.58826	0.11597	-0.22266	0.09452	-0.03532	0.04895	0.52986	0.13214	-0.26352	0.08751	-0.04770	0.00918	0.51655	-0.14528	-0.05811	0.52428	-0.21195	-0.05526	0.56171	-0.26536	-0.04735	0.58494	-0.23474	-0.06114	0.47157	-0.15962	-0.09265	0.72628	-0.35195	0.01405	0.27034	-0.14195	-0.04232	0.61700	-0.36340	-0.04441	0.63863	-0.23379	-0.00457	0.62087	-0.36375	-0.03570
6	0.60361	0.14011	-0.17240	0.10148	-0.03965	0.05120	0.56781	0.15017	-0.20454	0.10111	-0.06169	0.01135	0.51670	-0.09094	-0.06411	0.54114	-0.14695	-0.07456	0.59407	-0.22080	-0.05545	0.63097	-0.17575	-0.07332	0.47144	-0.12515	-0.09908	0.78341	-0.31965	0.01270	0.28401	-0.05653	-0.05203	0.64380	-0.29110	-0.06672	0.64288	-0.15387	-0.00812	0.71288	-0.33611	-0.04806
