	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.13125	0.08012	-0.03145	0.04141	0.00710	0.00914	-0.18867	0.03767	-0.00535	0.01958	0.01132	0.01068	-0.13339	-0.04212	-0.00229	-0.19815	-0.01532	0.00291	-0.14947	0.02771	0.01557	-0.18148	-0.00304	0.01414	-0.02138	0.02979	0.01953	-0.15886	-0.05582	0.00682	-0.18069	-0.02990	-0.00418	-0.25774	-0.01343	0.01295	-0.21136	-0.05765	0.00432	-0.16449	0.00187	0.02650
2	-0.12435	0.08964	-0.03692	0.04691	0.00557	0.01632	-0.19381	0.04839	-0.00481	0.02794	0.01015	0.01877	-0.11998	-0.04883	-0.01037	-0.20347	-0.02709	-0.00252	-0.13481	0.03691	0.01807	-0.17907	-0.00222	0.01540	-0.00277	0.03230	0.02815	-0.16108	-0.06199	0.00478	-0.19760	-0.03522	-0.01813	-0.27910	-0.01933	0.01127	-0.21356	-0.06917	-0.00030	-0.16880	0.01808	0.03681
3	-0.10232	0.09519	-0.04211	0.05107	-0.00026	0.02469	-0.18084	0.05759	-0.00302	0.03703	0.00361	0.02784	-0.08931	-0.05301	-0.02220	-0.19041	-0.04032	-0.01269	-0.10309	0.04577	0.01680	-0.15728	-0.00094	0.01255	0.02442	0.03274	0.03497	-0.14779	-0.06874	-0.00391	-0.19697	-0.03664	-0.03984	-0.27684	-0.02257	0.00292	-0.19659	-0.07944	-0.00990	-0.16042	0.03655	0.04191
4	-0.07155	0.10143	-0.04948	0.05705	-0.01024	0.03411	-0.15468	0.06554	-0.00248	0.04620	-0.00789	0.03736	-0.05015	-0.05717	-0.03668	-0.16424	-0.05693	-0.02739	-0.06044	0.05232	0.01187	-0.12269	-0.00202	0.00565	0.06093	0.03309	0.03981	-0.12597	-0.08044	-0.02007	-0.17850	-0.03621	-0.06752	-0.25856	-0.02491	-0.01160	-0.17101	-0.09341	-0.02400	-0.14366	0.05286	0.04167
5	-0.02767	0.10235	-0.05383	0.06253	-0.02362	0.04366	-0.11035	0.06979	-0.00115	0.05390	-0.02343	0.04565	0.00023	-0.05548	-0.05186	-0.12201	-0.07255	-0.04499	-0.00305	0.05822	0.00358	-0.07574	-0.00443	-0.00509	0.10378	0.03487	0.04150	-0.08900	-0.09147	-0.04300	-0.13475	-0.03091	-0.09732	-0.21478	-0.02330	-0.03137	-0.12567	-0.10323	-0.04111	-0.11178	0.06606	0.03459
6	0.02488	0.09719	-0.05324	0.06822	-0.03862	0.05325	-0.05106	0.06963	0.00156	0.05948	-0.04061	0.05216	0.05562	-0.04663	-0.06631	-0.07210	-0.08484	-0.06293	0.06437	0.06512	-0.00625	-0.02149	-0.00757	-0.01778	0.14823	0.04076	0.04094	-0.03970	-0.10026	-0.07024	-0.06527	-0.02111	-0.12577	-0.14700	-0.01636	-0.05346	-0.06461	-0.10682	-0.05888	-0.06490	0.07414	0.02251
