	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04789	0.01041	0.00787	0.02280	-0.00832	0.01638	-0.05890	0.01990	0.03222	0.01530	0.00813	0.00493	-0.03773	0.00733	-0.00332	-0.05902	0.04406	0.00733	-0.06335	0.00771	-0.00074	-0.04502	0.04324	0.00921	-0.04135	-0.02349	-0.03240	-0.06068	0.01801	-0.00176	-0.04641	0.02358	0.01415	-0.09601	0.04688	0.00860	-0.05181	0.02961	0.00422	-0.04360	0.02786	0.01026
2	-0.04863	0.01061	0.00766	0.02415	-0.00910	0.01731	-0.05570	0.02056	0.03512	0.01654	0.01206	0.00777	-0.04303	0.00567	-0.00501	-0.05573	0.04639	0.01027	-0.06482	0.00616	-0.00230	-0.03789	0.04712	0.01394	-0.03942	-0.02439	-0.03390	-0.06351	0.01632	-0.00388	-0.04797	0.02733	0.02002	-0.09145	0.04915	0.01347	-0.04855	0.03303	0.00638	-0.03632	0.03456	0.01694
3	-0.04415	0.01316	0.00809	0.02446	-0.00837	0.01720	-0.04702	0.02116	0.03809	0.01783	0.01707	0.01085	-0.04284	0.00431	-0.00578	-0.04742	0.04804	0.01409	-0.06366	0.00488	-0.00309	-0.02570	0.05046	0.01983	-0.03066	-0.02283	-0.03190	-0.06219	0.01491	-0.00525	-0.04372	0.03103	0.02589	-0.07789	0.05051	0.01958	-0.04092	0.03598	0.00946	-0.02373	0.04359	0.02613
4	-0.03867	0.01784	0.00746	0.02522	-0.00805	0.01738	-0.03693	0.02262	0.04070	0.01989	0.02239	0.01431	-0.03893	0.00225	-0.00648	-0.03735	0.04912	0.01800	-0.06260	0.00287	-0.00377	-0.01305	0.05263	0.02598	-0.01930	-0.02306	-0.03050	-0.06231	0.01286	-0.00714	-0.03503	0.03419	0.03090	-0.06252	0.05139	0.02592	-0.03414	0.03781	0.01193	-0.01105	0.05404	0.03729
5	-0.02969	0.02277	0.00570	0.02491	-0.00768	0.01664	-0.02409	0.02318	0.04148	0.02220	0.02712	0.01759	-0.02961	-0.00077	-0.00704	-0.02465	0.04784	0.02117	-0.05645	0.00035	-0.00363	-0.00085	0.05200	0.03125	-0.00493	-0.02318	-0.02755	-0.05992	0.00995	-0.00925	-0.02093	0.03485	0.03329	-0.04393	0.04983	0.03129	-0.02429	0.03680	0.01313	0.00228	0.06400	0.04934
6	-0.01916	0.02657	0.00174	0.02381	-0.00858	0.01546	-0.00957	0.02243	0.03936	0.02479	0.03006	0.02069	-0.01730	-0.00514	-0.00830	-0.01208	0.04390	0.02278	-0.04532	-0.00360	-0.00344	0.00979	0.04764	0.03429	0.00814	-0.02512	-0.02527	-0.05546	0.00512	-0.01270	-0.00165	0.03145	0.03200	-0.02322	0.04511	0.03424	-0.01200	0.03209	0.01194	0.01507	0.07163	0.06050
