	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	11.20769	1.15827	25.39326	1.32435	-0.13560	3.13138	-2.39766	1.99341	11.88853	1.29877	25.85953	1.23263	-3.35081	1.58315	-2.42792	1.80809	10.61204	27.17821	1.74103	-0.01164	10.59430	25.51578	-3.35638	-6.61210	10.70985	26.14572	0.77007	-2.53808	10.94539	27.01877	-1.09900	-1.20180	10.69540	24.81999	0.34483	-3.63174	13.38545	26.61605	-5.19530	-1.00590	12.55754	27.22034	1.11611	-2.16617	13.02136	27.60034	-1.40149	-1.29257	12.63831	24.08227	-4.43232	-2.97668	12.29436	26.33438	-2.38998	-0.81205	11.14487	25.54486	0.54483	-3.39136	11.38528	24.70624	-3.78287	-2.96576	11.50435	24.50610	-0.60331	1.81115	9.83606	23.44718	-4.95596	-2.01428	11.80053	23.54244	-3.92905	-2.91173	12.29956	24.89084	-5.64712	-1.78410	11.77131	24.34952	-3.08666	-2.75529	13.86305	26.32668	-2.20627	-2.26812	8.64265	26.54316	6.17849	-5.40510	11.26051	26.13908	-3.47375	-4.32249
2	11.15143	1.13528	24.94843	1.20061	-0.21839	2.92068	-2.89304	1.85276	11.92679	1.26806	25.78185	1.11050	-2.79912	1.11965	-2.85728	1.82325	10.58797	26.79361	1.64247	-0.67550	10.59646	25.50569	-2.42475	-7.17182	10.67153	25.43542	0.17866	-3.20446	11.02449	26.75399	-1.27400	-1.76068	10.66374	24.42366	0.35028	-4.17573	13.40983	26.76621	-4.00066	-1.47745	12.44108	26.65075	1.02635	-2.85920	13.05714	27.26321	-1.67789	-1.86279	12.57222	23.81323	-4.29575	-3.47086	12.35199	26.24057	-1.65230	-1.10158	11.12143	25.03505	0.22815	-4.00664	11.40322	24.57874	-3.08648	-3.25225	11.38640	24.03214	-0.74226	1.17148	9.98121	23.66356	-3.56550	-2.17625	11.77539	23.39861	-3.66989	-3.19016	12.33512	24.99063	-4.81281	-2.25455	11.67534	24.05083	-2.69485	-3.18368	13.82237	25.92297	-2.56090	-2.88580	8.61917	25.85102	5.79291	-5.33569	11.28608	26.13291	-2.93589	-4.62963
3	11.06765	1.11275	24.61476	1.08058	0.20154	2.67363	-3.38087	1.66684	11.95066	1.23391	25.77767	1.01943	-1.83649	0.88254	-3.34729	1.75703	10.54793	26.51179	2.01691	-1.44255	10.59010	25.59285	-1.01614	-7.54032	10.60349	24.86629	0.21425	-3.85971	11.09064	26.56397	-0.96284	-2.43069	10.59992	24.11334	0.78726	-4.63084	13.39945	26.93321	-2.50774	-2.08722	12.30000	26.18246	1.38313	-3.54988	13.07946	27.04072	-1.42294	-2.51139	12.47729	23.65626	-3.64816	-3.96443	12.40340	26.17755	-0.62678	-1.49427	11.06533	24.64716	0.48496	-4.61157	11.41143	24.52930	-2.04116	-3.56123	11.24169	23.69675	-0.34921	0.44274	10.12129	23.93367	-1.91247	-2.48356	11.72466	23.39878	-2.86257	-3.54043	12.35517	25.14765	-3.59664	-2.85630	11.54697	23.87230	-1.76580	-3.57080	13.76611	25.60580	-2.42165	-3.55913	8.56923	25.20245	5.75462	-5.08124	11.28959	26.25200	-1.85652	-4.94879
4	10.95101	1.09207	24.37832	0.98409	1.05482	2.41588	-3.78240	1.46152	11.95058	1.19752	25.81347	0.96626	-0.57842	0.90597	-3.85720	1.60154	10.48719	26.31967	2.80641	-2.23722	10.57180	25.73643	0.71020	-7.65525	10.49998	24.44760	0.83225	-4.38491	11.13277	26.43782	-0.22573	-3.17269	10.49725	23.87025	1.58217	-4.92099	13.34382	27.07391	-0.85088	-2.78361	12.13039	25.81299	2.14303	-4.13366	13.07859	26.92213	-0.69654	-3.18623	12.34891	23.58577	-2.57330	-4.38770	12.43769	26.11412	0.57427	-1.97827	10.96581	24.37201	1.25371	-5.07893	11.39795	24.52614	-0.76162	-3.84511	11.06766	23.48373	0.50221	-0.28167	10.24315	24.19929	-0.17644	-2.93391	11.64377	23.50002	-1.62228	-3.90742	12.35245	25.31823	-2.12332	-3.53703	11.38441	23.77177	-0.43588	-3.85430	13.68953	25.36730	-1.83232	-4.21853	8.48473	24.61935	6.05994	-4.63725	11.25803	26.43938	-0.40181	-5.26139
5	10.79774	1.07390	24.22213	0.92337	2.27119	2.17282	-4.00530	1.27203	11.91520	1.16098	25.85887	0.94743	0.86700	1.03481	-4.32278	1.37057	10.40160	26.19723	3.94419	-2.93815	10.53392	25.89836	2.60573	-7.48996	10.35770	24.18120	1.97271	-4.65250	11.13741	26.36257	0.86022	-3.90828	10.35096	23.67412	2.66707	-4.97477	13.23335	27.15999	0.87070	-3.47524	11.92920	25.53661	3.26044	-4.49546	13.04359	26.89220	0.42313	-3.80997	12.18311	23.57510	-1.15394	-4.65357	12.44196	26.02485	1.85419	-2.51343	10.81523	24.19733	2.47036	-5.27353	11.35051	24.54271	0.65771	-4.04155	10.86257	23.37088	1.73769	-0.88168	10.33085	24.40871	1.49569	-3.48153	11.52833	23.65197	-0.06645	-4.19574	12.31719	25.46351	-0.50733	-4.21056	11.18798	23.70727	1.16708	-3.95782	13.58662	25.19795	-0.85290	-4.77123	8.36069	24.12953	6.71276	-4.02974	11.17663	26.63782	1.26288	-5.52601
6	10.60732	1.05798	24.13044	0.89575	3.78517	1.96432	-3.96807	1.12434	11.83407	1.12693	25.89385	0.95312	2.42093	1.14412	-4.66328	1.10208	10.28919	26.12251	5.36222	-3.40303	10.46518	26.05242	4.56540	-7.05420	10.17750	24.06067	3.55905	-4.56292	11.09058	26.32525	2.21400	-4.52640	10.16039	23.50925	3.98861	-4.74202	13.06248	27.18507	2.61287	-4.04330	11.69580	25.34585	4.68753	-4.54098	12.96451	26.93502	1.85224	-4.29374	11.97806	23.60247	0.53985	-4.67786	12.40378	25.89849	3.15534	-3.02498	10.61161	24.11086	4.06735	-5.09980	11.26132	24.56639	2.16343	-4.08406	10.62683	23.33364	3.28265	-1.24468	10.37039	24.52852	3.02093	-4.03259	11.37527	23.80564	1.70306	-4.29290	12.23942	25.55664	1.16651	-4.77055	10.96146	23.64960	2.94778	-3.81710	13.45085	25.08861	0.44801	-5.12178	8.19716	23.76393	7.71359	-3.29938	11.03221	26.80212	3.01055	-5.68117
