	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	1.06131	0.86371	1.90931	1.52531	-0.83322	0.57132	-11.93739	3.27331	0.07377	0.71553	-0.77436	1.48373	-0.17378	0.69458	-17.52047	1.59286	-0.18546	-0.55717	-1.27263	-11.87188	0.92079	-2.69258	-0.00596	-17.50795	2.69252	2.52232	-0.31532	-8.86279	0.10148	-1.33273	-1.00472	-14.98076	1.10911	0.82686	-1.00290	-10.50069	0.63981	0.29208	0.25047	-17.94600	1.99817	4.36333	-1.63404	-8.69020	0.01209	-1.40246	-0.89567	-18.24025	0.89596	2.12075	-0.38352	-15.72850	0.34596	2.68339	-0.71759	-19.31874	0.95647	1.04071	-0.01405	-8.85038	-1.08216	-0.82118	0.26608	-18.29969	1.27705	2.35850	-1.01083	-11.74411	0.96791	-1.82154	0.80448	-16.67203	0.24623	0.13942	-0.13246	-13.62101	-0.98525	-0.55045	0.75578	-20.09395	0.20135	2.88689	-1.23171	-18.73622	-0.39104	-0.32996	-0.95348	-16.46590	1.42168	3.39151	-1.33477	-10.76816	0.20813	-1.76813	-0.23718	-15.67940
2	1.12921	0.87706	2.10093	1.53225	-0.73206	0.58552	-11.44775	3.24372	0.08686	0.71902	-0.51228	1.43554	-0.19243	0.64751	-17.29144	1.57757	-0.08323	-0.42720	-1.21552	-11.68321	1.01207	-2.36604	-0.03722	-17.19617	2.80867	2.67081	-0.12817	-8.16291	0.10942	-1.23067	-0.86258	-14.44438	1.16595	1.07418	-0.94668	-9.84185	0.74353	0.68230	0.18671	-17.46656	2.11360	4.51086	-1.55060	-7.85226	-0.04132	-1.22504	-0.90044	-17.83443	0.99405	2.35224	-0.27233	-15.04327	0.32423	2.72421	-0.83306	-18.72044	1.03002	1.18860	0.17638	-8.49414	-1.05663	-0.40529	0.27041	-18.12574	1.31134	2.55492	-0.90382	-11.47285	0.92487	-1.45441	0.62244	-17.40889	0.29302	0.35720	-0.15895	-13.24634	-0.93911	-0.31136	0.75262	-19.93865	0.22860	3.03238	-1.09197	-17.99562	-0.38434	-0.02189	-0.87850	-16.25560	1.43007	3.69536	-1.22898	-10.68505	0.17593	-1.51461	-0.24469	-15.52350
3	1.22227	0.88914	2.30140	1.53190	-0.67356	0.57545	-10.96771	3.20053	0.12459	0.72516	-0.22520	1.37340	-0.22214	0.60981	-17.06475	1.63825	0.03461	-0.24231	-1.18420	-11.54471	1.14226	-1.90656	-0.08711	-16.80850	2.94562	2.89725	-0.05683	-7.54235	0.13935	-1.08679	-0.76189	-14.01693	1.25171	1.31225	-0.89716	-9.13431	0.88254	1.08089	0.12136	-16.95687	2.24987	4.66314	-1.48294	-7.11279	-0.08863	-1.00321	-0.91033	-17.49484	1.11706	2.56252	-0.22007	-14.35443	0.31741	2.76181	-0.93244	-18.15332	1.12352	1.35968	0.27668	-8.16855	-0.99976	0.00451	0.25614	-17.95497	1.35961	2.72576	-0.83016	-11.21292	0.89019	-1.09403	0.41299	-18.07968	0.36476	0.57643	-0.24552	-12.87284	-0.85603	-0.05633	0.76012	-19.80641	0.30518	3.15508	-0.91043	-17.19087	-0.35067	0.30209	-0.80654	-16.06761	1.47073	4.00418	-1.18500	-10.54335	0.16919	-1.25435	-0.27369	-15.30837
4	1.35026	0.89872	2.51578	1.52392	-0.64197	0.54639	-10.49557	3.15599	0.19575	0.73589	0.08576	1.30234	-0.26525	0.57923	-16.82082	1.75028	0.17758	-0.00877	-1.15545	-11.40683	1.31779	-1.31924	-0.18629	-16.35775	3.11253	3.18449	-0.08937	-6.99503	0.20076	-0.89811	-0.70205	-13.65736	1.37802	1.55922	-0.84105	-8.40082	1.06399	1.49125	0.05047	-16.43131	2.41249	4.82052	-1.42136	-6.47531	-0.12018	-0.74249	-0.93426	-17.19739	1.27268	2.76011	-0.20803	-13.69164	0.33721	2.80778	-0.99353	-17.61459	1.24841	1.56315	0.29634	-7.83530	-0.89978	0.40197	0.21170	-17.77182	1.42845	2.87257	-0.78734	-10.93854	0.87032	-0.75921	0.20024	-18.60868	0.46728	0.80474	-0.35513	-12.49927	-0.73118	0.21657	0.76749	-19.68130	0.44784	3.28688	-0.67057	-16.36773	-0.28032	0.63249	-0.74608	-15.86323	1.55736	4.31488	-1.18772	-10.34519	0.19889	-0.97345	-0.32021	-15.02482
5	1.52095	0.90525	2.75359	1.50857	-0.61743	0.51300	-10.04619	3.11702	0.30990	0.75324	0.42479	1.23214	-0.33121	0.55250	-16.55580	1.87812	0.35463	0.27138	-1.10500	-11.24460	1.54610	-0.61793	-0.36269	-15.89146	3.31765	3.51999	-0.19817	-6.52465	0.30506	-0.65855	-0.68518	-13.33417	1.55381	1.83919	-0.76610	-7.68756	1.29360	1.91912	-0.03499	-15.91482	2.60463	4.98874	-1.35295	-5.94697	-0.12431	-0.44660	-0.98980	-16.92161	1.46708	2.96098	-0.21164	-13.09095	0.39735	2.88128	-1.01096	-17.11753	1.41453	1.80835	0.25611	-7.48630	-0.74697	0.79605	0.12053	-17.56662	1.52344	3.00271	-0.75734	-10.64695	0.87337	-0.45737	0.00023	-18.94515	0.60490	1.05329	-0.45093	-12.13235	-0.55956	0.51421	0.75237	-19.55292	0.66888	3.46561	-0.37317	-15.58668	-0.16211	0.96829	-0.71361	-15.62491	1.69998	4.62568	-1.21509	-10.11486	0.27644	-0.65064	-0.38800	-14.68884
6	1.73649	0.90945	3.02416	1.48682	-0.57891	0.49270	-9.64188	3.08411	0.47405	0.77854	0.79675	1.17526	-0.43432	0.53128	-16.27742	1.98910	0.57087	0.59739	-1.00890	-11.05987	1.83149	0.17024	-0.63053	-15.46836	3.56476	3.89704	-0.34162	-6.14030	0.46292	-0.36118	-0.71688	-13.03198	1.78181	2.17325	-0.65983	-7.04713	1.57165	2.36657	-0.14706	-15.43310	2.82525	5.17602	-1.26315	-5.53268	-0.08989	-0.11806	-1.09831	-16.65316	1.70170	3.18284	-0.20436	-12.58248	0.51070	3.00350	-1.00374	-16.68120	1.62499	2.09862	0.18391	-7.13886	-0.53831	1.19869	-0.02890	-17.33435	1.64634	3.12803	-0.71197	-10.35283	0.90642	-0.18653	-0.18429	-19.07174	0.77824	1.33252	-0.50481	-11.78323	-0.33848	0.84460	0.68653	-19.41398	0.96964	3.72123	-0.04074	-14.90071	0.01333	1.31487	-0.73139	-15.35638	1.90136	4.93462	-1.23762	-9.88075	0.41064	-0.26523	-0.48861	-14.32999
