	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.37066	0.04791	-0.23520	0.03002	-0.00100	0.00339	0.32384	0.04036	-0.24400	0.02413	0.00503	0.00774	0.29950	-0.19840	-0.00394	0.32518	-0.27397	0.01833	0.32990	-0.22769	-0.00488	0.32633	-0.23689	0.00304	0.43195	-0.25469	-0.00020	0.35249	-0.25553	0.00223	0.35527	-0.22766	0.00019	0.34430	-0.26440	0.01300	0.38173	-0.25092	0.00202	0.39284	-0.24067	0.00347	0.40196	-0.24998	-0.00280	0.24355	-0.19570	-0.01019	0.35063	-0.22839	-0.00528	0.29660	-0.23680	0.00500	0.42803	-0.27994	0.00525	0.32579	-0.26169	0.01019	0.41406	-0.25653	0.00161	0.28992	-0.21549	0.00529	0.31358	-0.17779	-0.00195	0.34139	-0.25885	-0.00004
2	0.40045	0.04924	-0.24267	0.03476	-0.00347	0.00686	0.37619	0.04362	-0.25718	0.02960	0.00548	0.01278	0.32676	-0.20519	-0.00354	0.38708	-0.29430	0.02844	0.36283	-0.23309	-0.01220	0.39138	-0.25944	0.00185	0.45608	-0.26211	0.00293	0.41014	-0.26590	0.00093	0.38564	-0.23590	0.00071	0.39432	-0.28267	0.01301	0.41459	-0.26638	0.00173	0.43940	-0.25232	0.00725	0.44941	-0.26208	-0.01270	0.28498	-0.19162	-0.01987	0.38458	-0.23364	-0.01138	0.34919	-0.24353	0.00381	0.45557	-0.29224	0.00484	0.38402	-0.28093	0.01343	0.43581	-0.26420	0.00215	0.33147	-0.23302	0.01102	0.33321	-0.17186	-0.00723	0.38992	-0.26807	-0.00502
3	0.41973	0.04921	-0.23847	0.03872	-0.00807	0.01243	0.41406	0.04806	-0.25556	0.03628	0.00456	0.01890	0.35017	-0.20329	-0.00549	0.43905	-0.30014	0.03953	0.38783	-0.22777	-0.02381	0.44539	-0.26915	-0.00423	0.46354	-0.25692	0.00687	0.44477	-0.25530	-0.00112	0.40460	-0.23290	0.00081	0.43150	-0.28548	0.00844	0.43634	-0.27031	-0.00049	0.46770	-0.25261	0.01242	0.48503	-0.26168	-0.02687	0.30772	-0.17017	-0.03100	0.40993	-0.22762	-0.02124	0.38320	-0.23460	0.00276	0.47262	-0.29143	0.00223	0.42938	-0.28430	0.01617	0.44355	-0.25754	0.00190	0.36511	-0.24228	0.01509	0.34367	-0.15521	-0.01464	0.42680	-0.26158	-0.01250
4	0.43680	0.05094	-0.22342	0.04359	-0.01280	0.01929	0.44421	0.05628	-0.24208	0.04461	0.00415	0.02619	0.37669	-0.19195	-0.00928	0.48232	-0.29080	0.05372	0.40770	-0.20967	-0.03746	0.49408	-0.26529	-0.01403	0.46587	-0.24184	0.01319	0.46481	-0.22892	-0.00172	0.42655	-0.22258	0.00192	0.46512	-0.27598	0.00204	0.45656	-0.26491	-0.00282	0.48614	-0.24540	0.02016	0.51581	-0.24809	-0.04104	0.31403	-0.13390	-0.04099	0.43548	-0.21184	-0.03329	0.41082	-0.21798	0.00325	0.49468	-0.28251	-0.00055	0.47347	-0.27924	0.02070	0.44098	-0.23485	0.00379	0.39144	-0.24102	0.01823	0.34769	-0.12598	-0.02242	0.45982	-0.24228	-0.01990
5	0.43976	0.05375	-0.19001	0.04827	-0.01328	0.02701	0.45068	0.06509	-0.20786	0.05197	0.00711	0.03402	0.40010	-0.16648	-0.01062	0.49445	-0.25354	0.07209	0.41561	-0.17410	-0.04788	0.52670	-0.23993	-0.02306	0.44737	-0.20762	0.02602	0.45375	-0.17755	0.00261	0.43794	-0.19734	0.00775	0.48081	-0.24562	-0.00372	0.46143	-0.24105	-0.00095	0.47418	-0.21877	0.03259	0.53017	-0.21381	-0.04875	0.29921	-0.08209	-0.04599	0.44830	-0.17909	-0.04296	0.41134	-0.18313	0.00610	0.50401	-0.25484	0.00047	0.49232	-0.25296	0.02935	0.41435	-0.18667	0.01255	0.40261	-0.22300	0.02398	0.33832	-0.07912	-0.02844	0.47147	-0.20200	-0.02282
6	0.42723	0.06030	-0.13875	0.05424	-0.00635	0.03546	0.44235	0.07366	-0.15842	0.05646	0.01650	0.04210	0.41474	-0.12466	-0.00603	0.48404	-0.19403	0.09695	0.40595	-0.11967	-0.05101	0.54453	-0.19381	-0.02658	0.41188	-0.15640	0.04774	0.43003	-0.11211	0.01554	0.43706	-0.15746	0.02048	0.48371	-0.19833	-0.00512	0.44915	-0.19909	0.00867	0.44173	-0.17570	0.05174	0.52422	-0.15934	-0.04536	0.27615	-0.02431	-0.04299	0.44478	-0.12961	-0.04692	0.40160	-0.14014	0.01277	0.50045	-0.21002	0.00864	0.49540	-0.21206	0.04508	0.37129	-0.11723	0.03152	0.39766	-0.18683	0.03554	0.31278	-0.01401	-0.03126	0.46867	-0.14684	-0.01792
