	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.12115	0.02192	-0.00900	0.01425	0.00809	0.00636	-0.12864	0.03254	-0.00386	0.01991	0.00469	0.00556	-0.14297	-0.02490	0.00737	-0.19261	-0.04596	-0.00168	-0.14253	-0.03025	-0.00268	-0.11282	0.01081	0.01221	-0.15195	-0.01151	0.01061	-0.11362	0.00475	0.00464	-0.12307	-0.02348	0.00292	-0.17693	-0.02301	0.00352	-0.11798	0.00435	0.01506	-0.09262	0.01696	0.00117	-0.10061	-0.00080	0.00416	-0.09911	0.00532	0.01099	-0.12643	-0.01406	0.01203	-0.12088	-0.01706	0.00101	-0.12617	0.00418	0.00991	-0.11115	0.00788	0.00347	-0.09115	0.01226	0.01841	-0.13844	-0.01060	-0.00163	-0.08866	-0.00580	0.00310	-0.12817	0.01234	0.01325
2	-0.09792	0.02573	-0.00005	0.01694	0.01203	0.01088	-0.11284	0.04041	0.00327	0.02440	0.00409	0.00836	-0.12671	-0.02081	0.01206	-0.19333	-0.04632	-0.00356	-0.12722	-0.02235	-0.00407	-0.10166	0.02048	0.01728	-0.12243	-0.00293	0.01828	-0.08336	0.01839	0.00268	-0.09897	-0.01415	0.00660	-0.16964	-0.01822	0.00179	-0.09811	0.01785	0.02273	-0.07155	0.02352	0.00041	-0.07080	0.00917	0.00137	-0.07225	0.01954	0.00985	-0.10520	-0.00643	0.01783	-0.10876	-0.01931	-0.00197	-0.10788	0.01301	0.01601	-0.09228	0.01674	0.00180	-0.05594	0.02867	0.02968	-0.12660	-0.00661	-0.00573	-0.06598	-0.00255	-0.00017	-0.10895	0.02447	0.01837
3	-0.05965	0.03093	0.01058	0.01944	0.01283	0.01658	-0.08282	0.04800	0.01308	0.02850	0.00042	0.01162	-0.09792	-0.01339	0.01578	-0.17729	-0.04153	-0.00827	-0.09551	-0.01198	-0.00845	-0.07843	0.03309	0.01995	-0.07594	0.00789	0.02353	-0.03427	0.03461	-0.00338	-0.05804	-0.00116	0.00892	-0.14473	-0.00958	-0.00292	-0.06324	0.03302	0.02744	-0.03846	0.03043	-0.00343	-0.02647	0.01863	-0.00736	-0.03111	0.03575	0.00498	-0.06982	0.00285	0.02089	-0.08730	-0.01925	-0.00667	-0.07732	0.02178	0.01984	-0.05903	0.02847	-0.00321	-0.00438	0.04703	0.03780	-0.10108	-0.00024	-0.01397	-0.02792	0.00110	-0.01009	-0.07654	0.03906	0.02109
4	-0.01043	0.03814	0.02079	0.02265	0.00979	0.02338	-0.04165	0.05521	0.02428	0.03233	-0.00677	0.01554	-0.05937	-0.00407	0.01795	-0.14342	-0.03216	-0.01720	-0.04963	-0.00187	-0.01648	-0.04490	0.04763	0.01975	-0.01764	0.01897	0.02519	0.02926	0.05194	-0.01364	-0.00770	0.01077	0.00879	-0.10622	0.00101	-0.01063	-0.01651	0.04795	0.02876	0.00524	0.03711	-0.01178	0.02828	0.02636	-0.02203	0.02234	0.05256	-0.00298	-0.02836	0.01022	0.02100	-0.06306	-0.01824	-0.01292	-0.03979	0.02882	0.02049	-0.01879	0.04100	-0.01186	0.06100	0.06709	0.04101	-0.06425	0.00618	-0.02744	0.02536	0.00363	-0.02678	-0.03271	0.05573	0.02096
5	0.05145	0.04608	0.03231	0.02618	0.00331	0.03010	0.01400	0.06106	0.03738	0.03511	-0.01728	0.01964	-0.00964	0.00812	0.01806	-0.08502	-0.01763	-0.03010	0.01291	0.01005	-0.02642	0.00264	0.06450	0.01581	0.05503	0.03255	0.02278	0.10797	0.07049	-0.02746	0.05311	0.02389	0.00681	-0.05148	0.01412	-0.02079	0.04549	0.06371	0.02612	0.06254	0.04431	-0.02478	0.09380	0.03445	-0.04029	0.08610	0.06850	-0.01357	0.02351	0.01928	0.01837	-0.02838	-0.01289	-0.02016	0.00723	0.03529	0.01774	0.03205	0.05449	-0.02364	0.13699	0.08889	0.03775	-0.01226	0.01421	-0.04532	0.09612	0.00687	-0.04784	0.02588	0.07371	0.01726
6	0.12127	0.05389	0.04519	0.03007	-0.00510	0.03573	0.07781	0.06565	0.05065	0.03723	-0.03008	0.02385	0.04895	0.02297	0.01639	-0.00890	-0.00201	-0.04619	0.08756	0.02323	-0.03623	0.06083	0.08192	0.00867	0.13514	0.04857	0.01682	0.19147	0.08893	-0.04338	0.11854	0.03694	0.00363	0.01276	0.02742	-0.03211	0.11833	0.08010	0.02050	0.12772	0.05171	-0.04191	0.16655	0.04393	-0.05832	0.15315	0.08219	-0.02516	0.08280	0.03102	0.01484	0.00969	-0.00426	-0.02773	0.06002	0.04162	0.01236	0.08731	0.06760	-0.03744	0.21597	0.11225	0.02869	0.05118	0.02217	-0.06610	0.17885	0.01127	-0.06970	0.09291	0.09079	0.01060
