	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.07912	0.01119	0.00133	0.00316	-0.00422	0.00237	-0.05412	0.01493	0.00600	0.00435	0.00281	0.00331	-0.06914	0.00390	-0.00355	-0.07185	0.00058	0.00100	-0.09167	-0.00137	-0.00627	-0.03933	0.01051	0.00310	-0.09180	-0.00367	-0.00937	-0.06392	0.00056	-0.00050	-0.09338	0.00650	-0.00335	-0.07346	0.00945	0.00318	-0.08348	-0.00189	-0.00432	-0.06388	0.00741	0.00127	-0.06320	0.00283	-0.00258	-0.03021	0.01228	0.01161	-0.08049	0.00385	-0.00411	-0.03951	0.00118	0.00181	-0.06882	0.00060	-0.00292	-0.04639	0.00385	0.00218	-0.08112	-0.00023	-0.00513	-0.06144	0.00901	0.00335	-0.06811	0.00278	-0.00055	-0.05123	0.00514	0.00112
2	-0.07222	0.01162	0.00008	0.00322	-0.00422	0.00289	-0.04746	0.01635	0.00712	0.00472	0.00388	0.00383	-0.06406	0.00189	-0.00441	-0.07121	0.00131	0.00214	-0.08951	-0.00209	-0.00486	-0.03282	0.01145	0.00417	-0.08217	-0.00600	-0.01033	-0.05168	0.00222	0.00038	-0.08632	0.00597	-0.00270	-0.06907	0.01049	0.00403	-0.07771	-0.00163	-0.00406	-0.05600	0.00827	0.00197	-0.05545	-0.00067	-0.00352	-0.02036	0.01453	0.01383	-0.07547	0.00240	-0.00379	-0.03704	0.00096	0.00148	-0.06205	0.00018	-0.00391	-0.03683	0.00545	0.00368	-0.06746	-0.00116	-0.00595	-0.05692	0.01080	0.00559	-0.06201	0.00193	0.00138	-0.04263	0.00568	0.00157
3	-0.05746	0.01217	-0.00068	0.00352	-0.00326	0.00345	-0.03436	0.01785	0.00895	0.00486	0.00586	0.00425	-0.05310	0.00013	-0.00478	-0.06450	0.00380	0.00440	-0.07922	-0.00164	-0.00255	-0.02072	0.01337	0.00657	-0.06305	-0.00713	-0.00959	-0.02979	0.00448	0.00240	-0.07021	0.00579	-0.00103	-0.05725	0.01173	0.00519	-0.06308	-0.00026	-0.00229	-0.04011	0.00984	0.00378	-0.04156	-0.00449	-0.00448	-0.00547	0.01661	0.01628	-0.06303	0.00138	-0.00232	-0.03109	0.00161	0.00152	-0.04928	-0.00015	-0.00406	-0.02094	0.00790	0.00640	-0.04446	-0.00207	-0.00540	-0.04574	0.01336	0.00882	-0.04765	0.00164	0.00387	-0.02796	0.00677	0.00327
4	-0.03834	0.01418	-0.00203	0.00426	-0.00226	0.00406	-0.01662	0.02011	0.01066	0.00519	0.00838	0.00490	-0.03842	-0.00226	-0.00513	-0.05162	0.00734	0.00750	-0.06342	-0.00147	-0.00057	-0.00458	0.01573	0.01005	-0.03860	-0.00836	-0.00840	-0.00119	0.00561	0.00461	-0.05131	0.00480	0.00059	-0.04049	0.01253	0.00624	-0.04292	0.00085	0.00005	-0.01794	0.01145	0.00630	-0.02451	-0.00932	-0.00611	0.01462	0.01829	0.01925	-0.04834	-0.00023	-0.00078	-0.02432	0.00176	0.00161	-0.03423	-0.00142	-0.00401	-0.00304	0.00992	0.00961	-0.01484	-0.00376	-0.00397	-0.02955	0.01616	0.01261	-0.02684	0.00088	0.00568	-0.00807	0.00781	0.00600
5	-0.01373	0.01700	-0.00410	0.00540	-0.00113	0.00467	0.00687	0.02300	0.01143	0.00583	0.01113	0.00563	-0.01950	-0.00551	-0.00520	-0.03060	0.01040	0.01079	-0.04026	-0.00208	0.00113	0.01689	0.01803	0.01479	-0.00741	-0.00939	-0.00623	0.03428	0.00475	0.00674	-0.02753	0.00288	0.00248	-0.01815	0.01191	0.00686	-0.01506	0.00186	0.00329	0.01197	0.01230	0.00936	-0.00398	-0.01538	-0.00855	0.03825	0.01812	0.02155	-0.02821	-0.00210	0.00121	-0.01360	0.00092	0.00178	-0.01578	-0.00343	-0.00346	0.01863	0.01124	0.01326	0.01963	-0.00637	-0.00191	-0.00691	0.01849	0.01650	0.00075	-0.00146	0.00588	0.01797	0.00817	0.00964
6	0.01377	0.01994	-0.00748	0.00682	-0.00067	0.00561	0.03236	0.02628	0.01033	0.00692	0.01343	0.00660	0.00214	-0.01009	-0.00534	-0.00462	0.01121	0.01328	-0.01167	-0.00461	0.00170	0.04118	0.01915	0.02009	0.02615	-0.01107	-0.00419	0.07003	0.00114	0.00816	-0.00153	-0.00041	0.00400	0.00619	0.00897	0.00659	0.01774	0.00186	0.00648	0.04425	0.01138	0.01215	0.01887	-0.02280	-0.01221	0.06250	0.01580	0.02271	-0.00404	-0.00464	0.00298	-0.00226	-0.00156	0.00179	0.00373	-0.00666	-0.00321	0.04048	0.01104	0.01668	0.05372	-0.01034	-0.00043	0.01967	0.01933	0.01971	0.03258	-0.00602	0.00354	0.04620	0.00686	0.01315
