	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.31449	0.07102	-0.21492	0.03069	-0.00375	0.00685	0.24746	0.06109	-0.20571	0.03625	-0.00557	0.01213	0.28828	-0.20766	0.00152	0.25039	-0.19468	-0.00234	0.30764	-0.19369	-0.00159	0.19027	-0.17579	-0.00726	0.16357	-0.18512	-0.02225	0.31391	-0.23926	-0.00205	0.17653	-0.14472	-0.03248	0.31614	-0.16829	-0.01038	0.31081	-0.24520	0.00267	0.29444	-0.21825	0.00217	0.14975	-0.17110	-0.00497	0.41445	-0.23102	-0.00794	0.28837	-0.25821	0.00120	0.34869	-0.24219	0.00043	0.26336	-0.24929	0.00557	0.28163	-0.20751	0.00156	0.32744	-0.22430	0.00254	0.23265	-0.18284	-0.01786	0.41866	-0.25962	0.00137	0.28256	-0.20761	-0.00309
2	0.35133	0.08479	-0.20911	0.03335	-0.01624	0.01100	0.29507	0.07435	-0.20571	0.04138	-0.01672	0.01930	0.31246	-0.20980	-0.00727	0.32258	-0.20390	-0.00814	0.33774	-0.19192	-0.00834	0.22413	-0.16545	-0.02426	0.19940	-0.16955	-0.04754	0.33588	-0.22866	-0.02030	0.21024	-0.13294	-0.05725	0.35385	-0.15710	-0.02383	0.37361	-0.25170	-0.00806	0.32604	-0.22231	-0.00890	0.16699	-0.17292	-0.01536	0.48103	-0.22809	-0.02045	0.33292	-0.25998	-0.00985	0.42492	-0.25116	-0.00317	0.30826	-0.25503	-0.00145	0.33037	-0.20701	-0.00300	0.33275	-0.22099	-0.00970	0.25303	-0.16831	-0.03828	0.46918	-0.23923	-0.00623	0.36854	-0.21211	-0.00825
3	0.38607	0.09449	-0.19190	0.03912	-0.03575	0.01659	0.34557	0.09052	-0.19350	0.04759	-0.03431	0.02746	0.34583	-0.20713	-0.02336	0.40196	-0.20561	-0.01994	0.37325	-0.17817	-0.02094	0.26392	-0.14176	-0.04841	0.23433	-0.13619	-0.08223	0.35133	-0.20225	-0.04739	0.23971	-0.10776	-0.08800	0.38750	-0.13352	-0.04339	0.43467	-0.24513	-0.02533	0.35829	-0.21651	-0.02698	0.19201	-0.16800	-0.03118	0.53820	-0.21630	-0.03722	0.38189	-0.24592	-0.02956	0.49150	-0.25073	-0.01152	0.36470	-0.25037	-0.01422	0.37826	-0.19633	-0.01254	0.34579	-0.20825	-0.03134	0.27529	-0.14185	-0.06793	0.50301	-0.20066	-0.01999	0.45489	-0.20151	-0.01918
4	0.42130	0.10268	-0.16197	0.05035	-0.06008	0.02285	0.39903	0.10788	-0.16645	0.05532	-0.05587	0.03530	0.39158	-0.19690	-0.04500	0.48485	-0.19570	-0.03609	0.41836	-0.14980	-0.03773	0.30446	-0.10247	-0.07627	0.26218	-0.08233	-0.12027	0.35841	-0.15828	-0.07994	0.27048	-0.06909	-0.12132	0.42082	-0.09698	-0.06765	0.48468	-0.21936	-0.04599	0.39482	-0.19910	-0.05003	0.22784	-0.15542	-0.04948	0.59089	-0.19788	-0.05633	0.43620	-0.21261	-0.05509	0.55098	-0.24103	-0.02420	0.43608	-0.23525	-0.03047	0.42303	-0.17253	-0.02589	0.37758	-0.18500	-0.05846	0.29335	-0.09850	-0.10382	0.53012	-0.14353	-0.03907	0.54661	-0.17241	-0.03634
5	0.44873	0.10792	-0.11522	0.06507	-0.08537	0.02917	0.44965	0.12477	-0.12064	0.06423	-0.07672	0.04147	0.44194	-0.17224	-0.06906	0.56100	-0.16916	-0.05196	0.46301	-0.10165	-0.05441	0.33569	-0.04749	-0.10409	0.28298	-0.00851	-0.15346	0.35281	-0.09758	-0.11307	0.30581	-0.01647	-0.15139	0.45351	-0.04821	-0.09396	0.52716	-0.17431	-0.06492	0.43126	-0.16648	-0.07481	0.26547	-0.13156	-0.06686	0.62432	-0.16730	-0.07420	0.48865	-0.15505	-0.08080	0.58963	-0.21365	-0.03763	0.50865	-0.20234	-0.04731	0.45962	-0.13138	-0.03979	0.42009	-0.14489	-0.08618	0.29821	-0.03493	-0.14057	0.53986	-0.05946	-0.06009	0.63414	-0.11602	-0.05630
6	0.46119	0.11457	-0.05264	0.08234	-0.10775	0.03516	0.49552	0.14153	-0.05633	0.07451	-0.09274	0.04568	0.48701	-0.12953	-0.09235	0.61993	-0.12182	-0.06302	0.49699	-0.03134	-0.06700	0.34342	0.02155	-0.12885	0.30238	0.08150	-0.17642	0.33037	-0.02630	-0.14231	0.34582	0.04947	-0.17477	0.47744	0.01065	-0.11943	0.57346	-0.11542	-0.07731	0.46351	-0.12021	-0.09777	0.29312	-0.09477	-0.08043	0.63192	-0.12637	-0.08752	0.53654	-0.07423	-0.10110	0.60447	-0.16886	-0.04810	0.56965	-0.14954	-0.06225	0.49624	-0.07430	-0.05054	0.45487	-0.08407	-0.10955	0.28466	0.04632	-0.17265	0.53424	0.05038	-0.07898	0.72105	-0.03281	-0.07457
