	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.10495	0.02599	0.00431	0.02244	-0.00462	0.00920	-0.15071	0.01778	-0.01049	0.01843	-0.00398	0.01092	-0.10730	0.01473	-0.00539	-0.13630	0.00108	0.01135	-0.17110	-0.03572	-0.01761	-0.06855	-0.01077	-0.00726	-0.13408	-0.00897	-0.00284	-0.14159	-0.02220	-0.01394	-0.14430	-0.02726	-0.00901	-0.08809	-0.01561	-0.01730	-0.13529	0.03276	0.00470	-0.07586	-0.00400	-0.01328	-0.14138	-0.01509	-0.00824	-0.13352	0.00829	0.01121	-0.17548	-0.00783	-0.01508	-0.13918	-0.00331	0.00203	-0.17673	-0.01830	-0.01454	-0.13507	-0.00868	-0.00158	-0.10054	0.05425	0.00374	-0.08859	-0.00279	-0.00857	-0.10623	0.02449	0.00261	-0.15739	-0.01692	0.01310
2	-0.09030	0.02830	-0.00063	0.02793	-0.00860	0.01587	-0.14219	0.02108	-0.01339	0.02217	-0.00914	0.01782	-0.10922	-0.00210	-0.01013	-0.12657	0.01456	0.01667	-0.15573	-0.04380	-0.03165	-0.06779	-0.02426	-0.01341	-0.11553	-0.01092	-0.00816	-0.13584	-0.03674	-0.02652	-0.13310	-0.03100	-0.01599	-0.07400	-0.02636	-0.03112	-0.12183	0.03209	0.00312	-0.06401	-0.01425	-0.02366	-0.13430	-0.02012	-0.01594	-0.10943	0.01750	0.01503	-0.17918	-0.02159	-0.02798	-0.12827	0.00197	0.00816	-0.16509	-0.02751	-0.02494	-0.13133	-0.01584	-0.00617	-0.08858	0.05532	0.00594	-0.06254	-0.00538	-0.01258	-0.06329	0.02801	0.00231	-0.15922	-0.00977	0.01962
3	-0.06269	0.03403	-0.00518	0.03453	-0.01434	0.02352	-0.12019	0.02717	-0.01462	0.02887	-0.01736	0.02513	-0.10231	-0.02248	-0.01633	-0.09911	0.03212	0.02011	-0.12804	-0.04955	-0.04941	-0.06117	-0.03664	-0.02117	-0.08322	-0.01144	-0.01686	-0.11308	-0.04983	-0.04196	-0.10831	-0.03194	-0.02462	-0.04810	-0.03537	-0.04861	-0.09373	0.03240	-0.00105	-0.04230	-0.02292	-0.03640	-0.11348	-0.02423	-0.02669	-0.06855	0.02625	0.01694	-0.17292	-0.03783	-0.04497	-0.10019	0.00816	0.01390	-0.14573	-0.03791	-0.03839	-0.11621	-0.02196	-0.01485	-0.05506	0.05588	0.00894	-0.02811	-0.00613	-0.01766	-0.00804	0.03123	-0.00108	-0.14113	0.00409	0.02311
4	-0.02429	0.04218	-0.00740	0.04056	-0.02096	0.03109	-0.08636	0.03622	-0.01435	0.03867	-0.02818	0.03259	-0.08893	-0.04517	-0.02389	-0.05626	0.05130	0.02153	-0.09158	-0.05470	-0.07073	-0.04613	-0.04366	-0.02912	-0.03803	-0.00924	-0.02812	-0.07251	-0.05661	-0.05711	-0.07446	-0.03000	-0.03391	-0.00982	-0.03979	-0.06728	-0.04905	0.03509	-0.00727	-0.01215	-0.02730	-0.04993	-0.07910	-0.02564	-0.03853	-0.01458	0.03435	0.01754	-0.15702	-0.05568	-0.06550	-0.05803	0.01321	0.01818	-0.12601	-0.05195	-0.05455	-0.08622	-0.02601	-0.02766	-0.00543	0.05665	0.01278	0.01401	-0.00179	-0.02314	0.05068	0.03616	-0.00767	-0.10592	0.02331	0.02291
5	0.02481	0.05164	-0.00321	0.04562	-0.02688	0.03746	-0.04082	0.04574	-0.01049	0.04990	-0.03992	0.03919	-0.06898	-0.06602	-0.03180	0.00285	0.07237	0.02060	-0.04492	-0.05674	-0.09286	-0.02053	-0.04126	-0.03548	0.01603	-0.00215	-0.03964	-0.01533	-0.05053	-0.06799	-0.03456	-0.02325	-0.04221	0.04007	-0.03668	-0.08417	0.00607	0.04204	-0.01394	0.02770	-0.02263	-0.06143	-0.03391	-0.02391	-0.04913	0.05314	0.04504	0.01759	-0.12974	-0.07143	-0.08695	0.00205	0.02108	0.02138	-0.09888	-0.06400	-0.07060	-0.03978	-0.02584	-0.04311	0.05432	0.05904	0.01728	0.06378	0.01247	-0.02763	0.11190	0.04738	-0.01657	-0.05139	0.04804	0.01864
6	0.08117	0.06202	0.01023	0.05091	-0.03096	0.04229	0.01073	0.05476	-0.00243	0.06130	-0.05119	0.04488	-0.04500	-0.08123	-0.03931	0.07335	0.09438	0.01775	0.00967	-0.05523	-0.11441	0.01754	-0.02695	-0.03907	0.07112	0.01129	-0.04953	0.05034	-0.02897	-0.07235	0.00849	-0.01054	-0.04883	0.09734	-0.02528	-0.09784	0.06052	0.05498	-0.01983	0.07748	-0.00545	-0.06914	0.01754	-0.01876	-0.05677	0.12683	0.06091	0.01852	-0.09568	-0.08270	-0.10736	0.07579	0.03449	0.02393	-0.06379	-0.07209	-0.08516	0.01410	-0.02180	-0.05956	0.11804	0.06589	0.02228	0.12049	0.04079	-0.02973	0.17285	0.06805	-0.02687	0.01197	0.07615	0.01185
