	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.06810	0.02724	0.00608	0.00829	0.00079	0.00529	-0.06602	0.02194	0.01451	0.00683	0.00479	0.00539	-0.05986	0.02044	0.00422	-0.06368	0.01500	0.00537	-0.08576	0.01545	0.00276	-0.02267	0.01045	0.00239	-0.03663	0.02017	0.01426	-0.06618	0.00226	0.00472	-0.03805	0.01403	0.01259	-0.06543	-0.00344	-0.00317	-0.07438	0.00402	-0.00090	-0.03286	0.01758	0.01188	-0.06759	0.00322	0.00078	-0.08884	-0.00209	-0.00415	-0.08539	0.02363	0.00869	-0.09719	0.00128	-0.00510	-0.09966	0.02075	0.00337	-0.06952	0.01807	0.00186	-0.08753	0.00799	0.00132	-0.05427	-0.00157	-0.00406	-0.10617	0.00786	-0.00012	-0.03958	0.01074	-0.00084
2	-0.05756	0.02675	0.00580	0.00893	0.00109	0.00595	-0.05480	0.02293	0.01675	0.00890	0.00830	0.00805	-0.05202	0.02301	0.00571	-0.05479	0.01723	0.00908	-0.06826	0.01861	0.00597	-0.01716	0.00900	0.00315	-0.01809	0.02736	0.02305	-0.05995	0.00284	0.00651	-0.02679	0.02113	0.01979	-0.05740	-0.00658	-0.00600	-0.06285	0.00376	-0.00078	-0.02134	0.01628	0.01219	-0.06610	0.00305	0.00225	-0.08015	-0.00206	-0.00469	-0.07345	0.02794	0.01307	-0.09687	0.00103	-0.00537	-0.08578	0.02297	0.00696	-0.06541	0.01627	0.00211	-0.07828	0.00952	0.00134	-0.03415	-0.00064	-0.00279	-0.07824	0.00560	0.00087	-0.02643	0.00920	0.00152
3	-0.04071	0.02492	0.00444	0.00965	0.00108	0.00668	-0.03636	0.02659	0.01970	0.01144	0.01279	0.01101	-0.03951	0.02434	0.00748	-0.03455	0.01987	0.01413	-0.04283	0.02201	0.00976	-0.01112	0.00685	0.00329	0.00637	0.03615	0.03376	-0.04725	0.00361	0.00802	-0.00885	0.02972	0.02850	-0.04433	-0.01093	-0.01055	-0.04283	0.00444	0.00074	-0.00800	0.01299	0.01082	-0.05861	0.00430	0.00413	-0.06116	-0.00309	-0.00487	-0.05742	0.03203	0.01733	-0.08663	0.00129	-0.00444	-0.06964	0.02526	0.01088	-0.05498	0.01464	0.00250	-0.05615	0.00894	0.00109	-0.01203	-0.00119	-0.00213	-0.04094	0.00162	0.00215	-0.00029	0.00858	0.00619
4	-0.02011	0.02304	0.00127	0.01091	0.00000	0.00788	-0.01253	0.03300	0.02246	0.01401	0.01750	0.01412	-0.02484	0.02441	0.00886	-0.00521	0.02221	0.02027	-0.01269	0.02497	0.01341	-0.00399	0.00335	0.00194	0.03570	0.04460	0.04498	-0.02838	0.00349	0.00789	0.01350	0.03836	0.03798	-0.02851	-0.01747	-0.01737	-0.01372	0.00565	0.00376	0.00498	0.00731	0.00725	-0.04528	0.00629	0.00583	-0.03394	-0.00650	-0.00587	-0.03987	0.03479	0.02006	-0.06776	0.00114	-0.00284	-0.05744	0.02684	0.01381	-0.03620	0.01281	0.00251	-0.02630	0.00549	0.00035	0.01029	-0.00410	-0.00304	-0.00266	-0.00439	0.00285	0.03587	0.00805	0.01237
5	0.00336	0.02099	-0.00413	0.01291	-0.00257	0.00977	0.01528	0.04097	0.02347	0.01625	0.02150	0.01734	-0.00902	0.02312	0.00924	0.03228	0.02301	0.02701	0.02109	0.02619	0.01610	0.00490	-0.00191	-0.00132	0.06700	0.05027	0.05504	-0.00394	0.00167	0.00526	0.03811	0.04520	0.04712	-0.01209	-0.02652	-0.02630	0.01992	0.00634	0.00796	0.01696	-0.00140	0.00089	-0.02760	0.00734	0.00635	0.00125	-0.01296	-0.00857	-0.02211	0.03421	0.01961	-0.03675	0.00040	-0.00043	-0.04523	0.02660	0.01490	-0.00961	0.00947	0.00149	0.00726	-0.00137	-0.00088	0.03168	-0.00975	-0.00613	0.03339	-0.01259	0.00250	0.07893	0.00602	0.01942
6	0.02773	0.02092	-0.01168	0.01558	-0.00678	0.01242	0.04295	0.04882	0.02157	0.01841	0.02403	0.02109	0.00595	0.02049	0.00802	0.07327	0.02107	0.03342	0.05618	0.02478	0.01709	0.01674	-0.00884	-0.00627	0.09630	0.05207	0.06331	0.02290	-0.00205	0.00036	0.06390	0.04943	0.05558	0.00332	-0.03746	-0.03671	0.05046	0.00553	0.01263	0.02851	-0.01263	-0.00771	-0.00715	0.00588	0.00490	0.03917	-0.02250	-0.01372	-0.00750	0.02918	0.01519	0.00387	-0.00162	0.00201	-0.03180	0.02370	0.01362	0.01726	0.00348	-0.00131	0.04240	-0.01127	-0.00248	0.05121	-0.01821	-0.01172	0.06321	-0.02274	0.00040	0.11853	0.00061	0.02586
