	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	13.34121	0.85157	35.35626	1.73079	0.69175	3.08403	0.28286	1.57706	14.62630	2.12741	34.42736	2.73274	-0.33804	4.69883	-1.10937	2.05036	12.95696	33.21218	-3.09441	-1.18564	12.64454	33.45123	-0.79466	0.01636	12.10078	35.94172	3.79419	1.61786	13.77663	36.25835	4.03451	-3.42851	12.93070	35.68242	3.17445	1.44067	16.33749	37.53666	-2.43730	-0.59492	12.59630	34.81823	0.34639	1.53322	14.03721	35.74713	-2.80522	3.71520	12.99029	37.85617	6.30910	1.08197	16.74562	39.60370	0.62972	0.02168	13.64434	37.48123	-0.07830	2.47019	12.94118	34.57481	3.67810	-1.09635	13.65110	33.22741	-1.86133	-2.41405	14.66097	34.83874	-2.18963	-5.28943	14.84178	38.18470	5.72538	1.00460	19.23101	34.96614	-5.35671	-1.48899	13.07144	34.76970	-1.46896	-2.10139	12.84438	31.44601	-4.80610	-1.55587	15.16320	35.84928	-2.67644	0.12787	12.12395	29.97916	-1.11865	-0.55137	13.45070	34.12957	-0.01756	0.94712	13.27755	35.63926	11.76766	-1.47079	13.77157	35.40727	-0.31744	-1.57162	13.79789	32.81105	0.05057	-1.90066	12.70537	33.07149	-0.84237	0.72636	12.43505	30.70346	-5.04687	-0.79816
2	13.38609	0.84236	35.64783	1.73221	2.10579	3.13867	-0.52686	1.57233	14.55110	2.06035	34.44235	2.65514	0.12873	3.98213	-2.09882	2.08471	12.89894	33.65984	-1.21333	-1.80773	12.61164	33.39963	0.41752	-0.88654	11.98761	36.07466	5.20811	0.94047	13.73472	36.26173	3.93624	-4.46080	13.11162	35.77713	4.85820	0.96674	16.18731	37.58978	-1.25879	-1.83840	12.50136	35.34811	2.51144	0.12825	14.01925	35.95657	-1.85678	3.04471	13.02072	38.00603	7.47026	0.01378	16.67801	39.36769	0.10764	-1.20663	13.55569	38.13214	2.46358	1.64654	12.91372	34.35832	4.03396	-2.17039	13.49400	33.16777	-1.55517	-3.63473	14.61158	35.05107	-0.99679	-6.10463	14.72789	38.22687	7.03265	0.18071	19.05445	34.94492	-4.96298	-2.68937	13.04968	35.03096	-0.51747	-2.68295	12.76688	31.83080	-3.24519	-2.42465	15.36275	36.41906	-1.19736	-0.68449	12.22684	30.15616	0.21128	-1.54409	13.29952	34.16669	0.83068	0.15034	13.20304	35.28635	9.41878	-2.60953	13.67638	35.77604	0.97948	-2.12682	13.78223	32.99126	1.10215	-2.78433	13.07592	33.63658	0.50422	0.06073	12.42371	30.55627	-5.23358	-1.61006
3	13.47398	0.86976	36.00484	1.71930	3.93200	3.06097	-1.45940	1.52691	14.50937	2.00388	34.54734	2.60768	1.18219	3.47148	-3.21190	2.05150	12.84312	34.19342	1.18203	-2.41120	12.58800	33.37292	1.92925	-2.06767	11.94374	36.25167	6.93684	0.08296	13.70568	36.45606	4.76836	-5.47019	13.34136	35.62384	6.07907	0.21883	16.08795	37.74887	0.45124	-3.30324	12.43748	35.87748	4.96846	-1.37915	14.01760	36.24928	-0.28374	2.15015	13.10737	38.24093	9.05751	-1.28066	16.61823	39.22542	0.26940	-2.69849	13.50275	38.76132	5.13343	0.59503	12.88682	34.19844	5.01587	-3.39715	13.38480	33.38015	-0.35628	-4.82705	14.58725	35.33529	0.72837	-6.85594	14.63326	38.19678	8.52835	-0.85628	18.91677	35.09267	-3.82294	-4.03629	13.07612	35.53641	1.31336	-3.25422	12.72278	32.30526	-1.23680	-3.47872	15.62641	37.17752	0.88773	-1.58550	12.33545	30.24071	1.56207	-2.74992	13.16375	34.28567	2.24280	-0.73939	13.13124	35.01525	8.03151	-3.52237	13.64260	36.27954	2.92325	-2.75936	13.80859	33.18110	2.52036	-3.75084	13.48250	34.25814	2.21940	-0.77627	12.47428	30.69414	-4.56452	-2.57400
4	13.59064	0.93035	36.36759	1.71927	6.02539	2.86520	-2.40953	1.42402	14.49024	1.96224	34.72005	2.61132	2.73294	3.16249	-4.31965	1.94740	12.77976	34.77665	3.95174	-2.86601	12.55950	33.33350	3.61058	-3.41210	11.95595	36.41518	8.84031	-0.88460	13.67644	36.82227	6.45894	-6.27212	13.60980	35.23153	6.83279	-0.73815	16.03282	38.01110	2.56653	-4.82218	12.39936	36.34749	7.54572	-2.81087	14.03259	36.60887	1.77796	1.08343	13.22437	38.49909	10.96544	-2.61096	16.56324	39.17635	1.08949	-4.35532	13.48462	39.30614	7.77449	-0.61368	12.84766	34.07848	6.50051	-4.59130	13.31171	33.80385	1.61269	-5.81969	14.57547	35.66536	2.86970	-7.40892	14.55961	38.06415	10.08494	-1.97216	18.81565	35.38684	-2.01962	-5.31197	13.13344	36.22239	3.85982	-3.73351	12.69579	32.79406	1.03876	-4.63043	15.91979	38.00422	3.31526	-2.49201	12.43012	30.20562	2.87334	-4.03068	13.03271	34.42736	4.07988	-1.65491	13.06664	34.89256	7.71881	-4.11831	13.65711	36.83949	5.34692	-3.39518	13.85014	33.32986	4.22254	-4.66249	13.88904	34.84122	4.12004	-1.73212	12.57209	31.05576	-3.17928	-3.62308
5	13.71451	1.01432	36.68242	1.76383	8.26358	2.65972	-3.22204	1.26620	14.47449	1.93602	34.93609	2.67858	4.68656	3.01664	-5.23802	1.80006	12.69561	35.36971	6.95427	-3.06948	12.50298	33.25757	5.38573	-4.70382	12.00024	36.51534	10.81590	-1.81712	13.63360	37.31997	8.86118	-6.66740	13.89946	34.65615	7.23751	-1.75140	16.00052	38.35836	4.97766	-6.15752	12.37422	36.70866	10.11699	-3.93636	14.05703	37.01235	4.19250	-0.04266	13.33871	38.72076	13.09880	-3.71203	16.50644	39.21946	2.52764	-5.97253	13.48707	39.71653	10.30718	-1.81174	12.77809	33.97697	8.34243	-5.53374	13.25582	34.36472	4.17743	-6.42711	14.55810	36.01827	5.31845	-7.61784	14.49932	37.80909	11.61636	-2.95821	18.73777	35.79118	0.33162	-6.24631	13.19800	37.00784	6.90519	-4.02271	12.66182	33.23234	3.45025	-5.69843	16.19864	38.77862	5.86268	-3.29769	12.48979	30.05277	4.15230	-5.17018	12.89200	34.53664	6.20035	-2.47385	13.01036	34.95023	8.48484	-4.33548	13.69672	37.37805	8.05396	-3.92796	13.87449	33.40835	6.14645	-5.32016	14.25445	35.30932	6.07985	-2.68081	12.69739	31.57137	-1.24582	-4.62823
6	13.82055	1.11013	36.90889	1.86277	10.55135	2.59061	-3.74037	1.07749	14.43679	1.92114	35.16947	2.80691	6.94863	2.98909	-5.78341	1.66206	12.57893	35.92468	10.03520	-2.97875	12.38954	33.13919	7.24064	-5.66627	12.04599	36.52078	12.80866	-2.52804	13.56595	37.88794	11.75701	-6.54085	14.18750	33.99880	7.51153	-2.61873	15.95680	38.75066	7.58929	-7.07094	12.34401	36.92633	12.60242	-4.53461	14.07388	37.42859	6.83823	-1.08593	13.41580	38.85807	15.37154	-4.32760	16.43599	39.35137	4.52923	-7.26701	13.48499	39.96068	12.71751	-2.77670	12.65708	33.86224	10.38311	-6.04332	13.19547	34.98446	7.13426	-6.52331	14.51398	36.37286	7.97888	-7.38345	14.43523	37.43063	13.08897	-3.59483	18.65669	36.25648	3.09655	-6.61453	13.24390	37.80085	10.19686	-4.05384	12.59200	33.57553	5.93169	-6.44597	16.41589	39.39553	8.36247	-3.91325	12.49606	29.81281	5.45670	-5.93768	12.72645	34.57220	8.47713	-3.05396	12.96140	35.17609	10.20587	-4.14688	13.73497	37.82870	10.83609	-4.26404	13.84879	33.41263	8.24830	-5.54536	14.54036	35.61390	8.02489	-3.45720	12.82669	32.17678	1.07673	-5.43606
