	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	0.92990	0.82380	0.88419	1.44496	-6.29174	0.66981	-12.15278	3.47264	2.55531	1.10591	2.25264	1.79318	-8.76577	0.64202	-8.45467	3.70545	1.18789	1.76382	-6.45611	-14.01593	2.69857	2.20037	-9.28749	-10.38087	0.75197	-1.38485	-6.56058	-16.73207	1.43448	-1.05369	-9.46825	-0.91783	0.58954	1.87540	-6.73009	-12.94040	2.19697	0.81706	-8.55816	-8.95611	2.95532	2.28952	-5.84161	-12.09832	3.03729	2.64492	-8.21359	-13.15579	0.50732	2.00111	-7.63122	-9.14770	5.55269	3.49123	-8.77368	-9.67984	0.31432	-1.26239	-5.25878	-17.01990	2.05140	3.10771	-9.91953	-1.79954	1.75058	-0.56009	-5.98687	-10.48843	4.45696	4.38199	-9.34944	-7.36779	0.77288	0.17089	-7.12744	-12.37734	3.65470	0.92747	-7.91267	-1.56389	-0.11772	0.16230	-5.95929	-18.76159	3.24203	3.22890	-8.98306	-12.72692	-0.53586	-0.30926	-5.98466	-10.75441	2.90734	2.00462	-7.98611	-10.14474	2.44087	2.01498	-6.16916	-10.06147	1.16540	2.00525	-8.94055	-13.70788	1.88594	2.59716	-6.71197	-7.36251	4.09494	5.52848	-8.65384	-10.34231	1.59395	2.13591	-5.37481	-5.67082	0.77673	0.00007	-7.90859	-6.93402
2	1.09963	0.83944	1.40714	1.46077	-6.48249	0.63658	-11.45481	3.48864	2.64139	1.10140	2.63981	1.77144	-8.92469	0.64773	-8.27805	3.37085	1.38388	2.16348	-6.73972	-13.18933	2.83867	2.25453	-9.23028	-9.74617	1.04673	-0.71667	-6.75970	-15.88817	1.51422	-0.77755	-9.69994	-0.94451	0.76318	2.31518	-6.74467	-12.56867	2.27407	1.20001	-8.59906	-9.09952	3.20439	2.77224	-6.06094	-10.91308	3.14770	3.09531	-8.42269	-12.77738	0.66778	2.41070	-7.72045	-8.72046	5.67691	3.86613	-8.86238	-8.98578	0.54782	-0.77725	-5.54643	-16.15805	2.18542	3.50133	-9.93213	-1.62666	1.96967	0.30382	-6.28570	-9.08435	4.51641	4.86016	-9.57922	-7.20652	0.92853	0.48518	-6.97935	-11.57843	3.74913	1.74110	-8.19432	-1.91533	0.04745	0.56689	-6.30338	-17.63476	3.40156	3.64019	-9.16989	-11.98136	-0.49533	-0.00676	-6.03155	-10.67171	3.05108	2.40888	-8.00283	-10.30595	2.59187	2.62279	-6.42342	-9.39279	1.19453	2.06054	-9.49904	-12.01960	1.99083	3.41738	-7.20416	-6.35819	4.08168	5.82870	-8.76202	-9.98237	1.77881	2.73585	-5.47291	-4.84011	0.89449	0.63827	-8.06722	-7.11471
3	1.31139	0.86024	1.94183	1.47277	-6.64197	0.63462	-10.66567	3.49694	2.77336	1.08813	3.05856	1.71619	-9.06771	0.63646	-7.96485	3.02226	1.62506	2.58532	-6.95573	-12.28563	2.99965	2.36007	-9.11256	-9.06510	1.39914	-0.05435	-6.89474	-14.91909	1.65114	-0.37051	-9.89771	-1.20299	0.95620	2.76229	-6.72364	-11.96998	2.41937	1.68398	-8.72162	-8.89130	3.48171	3.26564	-6.21071	-9.76614	3.28997	3.54947	-8.58989	-12.37635	0.85898	2.82778	-7.77486	-8.30899	5.81236	4.25127	-8.96708	-8.19277	0.85102	-0.21815	-5.82552	-15.21779	2.35014	3.85497	-9.87766	-1.50392	2.23380	1.18541	-6.67226	-7.73144	4.60564	5.29391	-9.78699	-6.78157	1.12023	0.83071	-6.75602	-10.76486	3.85399	2.57919	-8.54952	-2.19237	0.28959	0.99366	-6.64799	-16.53796	3.59831	4.05089	-9.31525	-11.09472	-0.39927	0.33700	-6.00706	-10.52208	3.22833	2.85210	-8.01955	-10.29497	2.80727	3.21865	-6.69151	-8.60192	1.25456	2.19974	-9.86790	-10.51580	2.15007	4.12084	-7.61833	-5.33368	4.11081	6.07564	-8.81967	-9.50654	1.99737	3.38895	-5.56721	-4.07710	1.07378	1.38059	-8.35485	-7.32376
4	1.56812	0.88377	2.49256	1.47433	-6.74751	0.66030	-9.80950	3.48088	2.95313	1.06892	3.50976	1.64012	-9.17850	0.62037	-7.51259	2.67268	1.91116	3.02780	-7.05926	-11.34338	3.18868	2.55131	-8.92829	-8.32605	1.80375	0.61396	-6.95082	-13.86764	1.84857	0.13787	-10.03894	-1.59561	1.17611	3.24307	-6.71644	-11.16020	2.62574	2.26053	-8.90577	-8.34538	3.78189	3.76086	-6.26861	-8.71267	3.46150	4.00926	-8.69724	-11.94488	1.09347	3.25999	-7.77383	-7.91786	5.96726	4.64289	-9.08352	-7.32595	1.22317	0.39314	-6.08693	-14.24854	2.54780	4.17786	-9.73969	-1.40892	2.54525	2.05254	-7.10290	-6.50270	4.72682	5.70220	-9.93542	-6.16373	1.35418	1.23535	-6.50101	-9.95339	3.98465	3.42370	-8.95604	-2.32814	0.61083	1.45702	-6.89236	-15.50483	3.82936	4.47096	-9.40064	-10.11117	-0.24096	0.74731	-5.94620	-10.28941	3.44144	3.34268	-8.02097	-10.12229	3.08325	3.80949	-6.93108	-7.69892	1.35597	2.40829	-10.08650	-9.23673	2.37009	4.70642	-7.85981	-4.32942	4.19867	6.29627	-8.81446	-8.93937	2.24362	4.09631	-5.62844	-3.39303	1.31352	2.20304	-8.71295	-7.45904
5	1.87208	0.90752	3.06544	1.46205	-6.76758	0.68272	-8.93356	3.43610	3.18116	1.04728	3.99758	1.56193	-9.23129	0.62420	-6.95746	2.35282	2.24138	3.48410	-7.00525	-10.40742	3.41540	2.86430	-8.68003	-7.54895	2.25474	1.29894	-6.91087	-12.80382	2.10361	0.71155	-10.08396	-2.02882	1.43130	3.77643	-6.74274	-10.20287	2.88430	2.90857	-9.10869	-7.54429	4.10060	4.25205	-6.21284	-7.80501	3.66040	4.48271	-8.73679	-11.48129	1.38620	3.71973	-7.67377	-7.56270	6.15073	5.04839	-9.19699	-6.43753	1.66290	1.03613	-6.31267	-13.30882	2.78094	4.49673	-9.50049	-1.33489	2.90265	2.88443	-7.49209	-5.46840	4.88049	6.10704	-9.98039	-5.45661	1.64058	1.73183	-6.25459	-9.18242	4.15778	4.27858	-9.38766	-2.31028	1.00755	1.96570	-6.93168	-14.56417	4.09253	4.91617	-9.40803	-9.10517	-0.01514	1.24291	-5.88038	-9.97715	3.69478	3.88795	-7.98496	-9.82809	3.41432	4.40809	-7.08621	-6.73479	1.50865	2.65453	-10.15376	-8.20232	2.65207	5.21135	-7.85003	-3.38730	4.35726	6.52692	-8.71834	-8.34290	2.51372	4.83899	-5.62544	-2.79938	1.60745	3.08506	-9.06669	-7.44669
6	2.22306	0.92860	3.66196	1.43606	-6.65496	0.67831	-8.09597	3.37034	3.45575	1.02646	4.52369	1.50046	-9.18120	0.66546	-6.35953	2.09902	2.61268	3.94677	-6.74580	-9.52691	3.68705	3.32682	-8.36689	-6.78274	2.74640	2.00593	-6.74468	-11.80905	2.40799	1.31342	-9.97762	-2.43145	1.72773	4.35975	-6.77233	-9.19044	3.18534	3.59687	-9.24424	-6.61296	4.43303	4.74047	-6.01240	-7.07875	3.88677	4.97409	-8.69508	-10.99002	1.75035	4.21841	-7.40767	-7.26022	6.37051	5.47541	-9.26808	-5.59936	2.16696	1.69230	-6.45617	-12.45847	3.05321	4.84903	-9.14129	-1.27988	3.29923	3.66140	-7.71190	-4.67461	5.06519	6.52243	-9.85501	-4.75807	1.99213	2.34384	-6.02107	-8.49501	4.38727	5.15120	-9.78653	-2.16776	1.47068	2.51293	-6.67508	-13.73872	4.38663	5.39808	-9.30034	-8.16143	0.28085	1.82690	-5.80927	-9.60708	3.99279	4.49116	-7.87553	-9.47139	3.79335	5.02224	-7.08944	-5.78512	1.72004	2.90657	-10.02248	-7.41217	2.98973	5.68890	-7.53929	-2.54266	4.59175	6.79685	-8.47867	-7.78708	2.80376	5.58559	-5.52944	-2.30668	1.94461	4.00598	-9.34385	-7.24994
